fixtureId,startTime,statusId,participant1Name,participant2Name,hasOdds,seasonId
id1002843258178525,2025-04-05 18:00:00+00:00,2,Atletico Ottawa,HFX Wanderers FC,False,128641.0
id1002843258178527,2025-04-05 21:30:00+00:00,2,Forge FC Hamilton,Cavalry FC,False,128641.0
id1002843258178529,2025-04-06 00:00:00+00:00,2,Pacific FC,Valour FC,False,128641.0
id1002843258178531,2025-04-06 23:00:00+00:00,2,Vancouver FC,York United FC,False,128641.0
id1002843258178533,2025-04-12 21:00:00+00:00,2,Pacific FC,Forge FC Hamilton,False,128641.0
id1002843258178535,2025-04-13 19:00:00+00:00,2,York United FC,HFX Wanderers FC,False,128641.0
id1002843258178537,2025-04-13 22:00:00+00:00,2,Vancouver FC,Atletico Ottawa,False,128641.0
id1002843258178539,2025-04-18 23:00:00+00:00,2,Cavalry FC,Vancouver FC,False,128641.0
id1002843258178541,2025-04-19 17:00:00+00:00,2,Atletico Ottawa,York United FC,False,128641.0
id1002843258178543,2025-04-19 19:30:00+00:00,2,HFX Wanderers FC,Pacific FC,False,128641.0
id1002843258178545,2025-04-19 22:00:00+00:00,2,Forge FC Hamilton,Valour FC,False,128641.0
id1002843258178547,2025-04-26 00:00:00+00:00,2,Valour FC,HFX Wanderers FC,False,128641.0
id1002843258178549,2025-04-26 21:00:00+00:00,2,Cavalry FC,Atletico Ottawa,False,128641.0
id1002843258178551,2025-04-27 00:00:00+00:00,2,Vancouver FC,Pacific FC,False,128641.0
id1002843258178553,2025-04-27 18:00:00+00:00,2,York United FC,Forge FC Hamilton,False,128641.0
id1002843258178555,2025-05-03 00:00:00+00:00,2,York United FC,Cavalry FC,False,128641.0
id1002843258178557,2025-05-03 17:00:00+00:00,2,Atletico Ottawa,Pacific FC,False,128641.0
id1002843258178559,2025-05-03 20:00:00+00:00,2,HFX Wanderers FC,Forge FC Hamilton,False,128641.0
id1002843258178561,2025-05-03 23:00:00+00:00,2,Valour FC,Vancouver FC,False,128641.0
id1002843258178563,2025-05-10 18:00:00+00:00,2,Atletico Ottawa,Valour FC,False,128641.0
id1002843258178565,2025-05-10 21:30:00+00:00,2,HFX Wanderers FC,Cavalry FC,False,128641.0
