	Total points
Goals Openplay	0.894949823979764
Clean Sheets	0.8145330633878565
Goals	0.7992063781998758
Goals from Inside Box	0.7972736140016765
Total Passes	0.7427056000042938
Open Play Passes	0.7407716349028515
Total Successful Passes ( Excl Crosses & Corners ) 	0.7389463388241385
Successful Open Play Passes	0.7376464704549098
Successful Short Passes	0.7268025102320654
Successful Passes Own Half	0.6973933159321573
Shots On Target ( inc goals )	0.6690559990392542
Goal Assists	0.6650357127402889
Total Shots	0.6495704592564089
Successful Passes Opposition Half	0.6466065546699375
Passing Accuracy	0.6439779753283345
Home Goals	0.6356093250672878
Accuracy (%)	0.6304908286049554
Key Passes (Attempt Assists)	0.6218226247722852
Possession Percentage	0.621185746899059
Away Goals	0.6202561647994898
Passing % Opp Half	0.5828247334525528
GK Successful Distribution	0.5670837807870521
Other Goals	0.5574024631026888
Overruns	0.5445470149667622
Shots Off Target (inc woodwork)	0.538048610137483
Corners Taken (incl short corners)	0.5193916627720251
Corners Won	0.5193916627720251
corners	0.5193916627720251
Left Foot Goals	0.5153817163576944
Ground Duels lost	0.5141814347013813
Blocked Shots	0.5125451968684241
Goal Conversion	0.510874180382095
Times Tackled	0.5075881744599775
Right Foot Goals	0.4987697257266475
Hit Woodwork	0.48933882814746604
Ground Duels	0.48327648384244837
Own Goals Accrued	0.4399423659001651
Unsuccessful Dribbles	0.4280479987579581
Successful Long Passes	0.42681644649654277
Throw Ins to Own Player	0.4243059441129951
Number of Defensive Actions	0.405753425548631
Ground Duels won	0.3674757717394108
Total offside	0.35010577698474926
Offsides	0.35010577698474926
PutThrough/Blocked Distribution	0.34099086249334287
Headed Goals	0.339153543850976
Fouls suffered	0.3357514922744753
Total Fouls Won	0.3357514922744753
Successful Crosses open play	0.3321946207066772
Goal Kicks	0.2969881136632275
Unsuccessful Crosses open play	0.29641435437145847
Handballs conceded	0.28111458436479747
Duels	0.28056545270994226
Unsuccessful Short Passes	0.2777461410705281
Duels won	0.2735119921461666
Penalties Taken	0.25410546659771205
Foul Won Penalty	0.25410546659771205
Total Losses Of Possession	0.2519216120077548
Goals from Outside Box	0.25070379807123866
Unsuccessful Crosses & Corners	0.2463239850720708
Successful Dribbles	0.23876935027442295
Penalty kick taken	0.23362623259610274
Number of Opposition Passes	0.22824759267473135
Duels lost	0.2247017394229912
Successful Crosses & Corners	0.22303791310724635
Fouls committed	0.2224782280253481
Total Fouls Conceded	0.2224782280253481
Successful Lay-offs	0.21809533673290998
Recoveries	0.21703610683411423
Shooting Accuracy	0.21668818429011186
Foul Attempted Tackle	0.16917534924121747
Unsuccessful Corners into Box	0.16088870329510038
Tackles Lost	0.12268561281705402
Clearances Off the Line	0.12019987686876883
Shots On Conceded Outside Box	0.1111992892408493
Set Pieces Goals	0.10830387426704885
Unsuccessful Passes Opposition Half	0.09434385718683973
PutThrough/Blocked Distribution Won	0.08089887316807498
Last Player Tackle	0.06921081584066019
Successful Corners into Box	0.06734988660113478
Crossing Accuracy	0.06248959259695822
Yellow Cards	0.0623027700035197
Yellow cards	0.0623027700035197
Blocks	0.047784563826493806
Tackles Won	0.042440006288607814
Last Man Tackle	0.02852231674764493
Penalty Goals	0.024937027708315688
Interceptions	0.013375023642629736
Aerial Duels won	0.012313521149307567
Total Unsuccessful Passes ( Excl Crosses & Corners )	-0.0005143445496877143
Aerial Duels Won Percentage	-0.002381368453283305
Throw Ins to Opposition Player	-0.0026313926253348913
Unsuccessful Passes Own Half	-0.013787643600310283
Points Gained from Losing Positions	-0.02608054455139782
Duels Won Percentage	-0.029019053954371262
Catches	-0.032076441831826556
Cross Complete Percentage	-0.03781906288100144
Tackles Won Percentage	-0.04791443429819877
Attempts from Set Pieces	-0.06098005291764219
Penalties Saved	-0.08096807024324663
Tackle Success	-0.0970107778126354
Unsuccessful Launches	-0.16365526269118366
Goals Conceded Outside Box	-0.16751886698603785
Red Card - 2nd Yellow	-0.17167571043645657
Aerial Duels	-0.17261730898592254
Total Shots Conceded	-0.19079007656233618
Successful Launches	-0.19943926703714657
Points Dropped from Winning Positions	-0.24126741056225487
Total Clearances	-0.25254699950615583
PPDA	-0.26592463576447806
Unsuccessful lay-offs	-0.29821020946517074
Red cards	-0.30624566253882923
Drops	-0.3227487109642975
Aerial Duels lost	-0.3347995135316487
Unsuccessful Long Passes	-0.3402118888867173
Penalty conceded	-0.3518946404902297
Penalty Goals Conceded	-0.3547735010399164
Penalties Conceded	-0.358025571723822
Total Red Cards	-0.3647567525112913
Straight Red Cards	-0.36668757151200354
Own Goals Conceded	-0.4560439692250851
GK Unsuccessful Distribution	-0.5247218147439784
Shots On Conceded Inside Box	-0.7008442867396915
Goals Conceded Inside Box	-0.7978923299563345
Goals Conceded	-0.8013192896857955
