Stat_Name,Total Points
Goals From Inside Box,0.7639845074432037
Goals,0.7523872790015478
Yellow Cards,0.7320546435544031
Clean Sheets,0.6961693497276087
Total Passes,0.6953774910628043
Total Successful Passes ( Excl Crosses & Corners ),0.6927867498802417
Successful Short Passes,0.692514458488679
Open Play Passes,0.6864686691184535
Successful Passes Own Half,0.6859533009508622
Successful Open Play Passes,0.6843844064564693
Overruns,0.6712377213226873
Corners Won,0.648826254823944
Corners Taken (Incl Short Corners),0.648826254823944
Corners,0.648826254823944
Passing Accuracy,0.6188376381408387
Possession Percentage,0.6152029796419423
Goal Assists,0.6064349122164645
Goal Conversion,0.6045437149298273
Accuracy (%),0.6032074078072258
Fouls Suffered,0.5952621556422469
Total Fouls Won,0.5952621556422469
Blocked Shots,0.5819758036018797
Total Fouls Conceded,0.5811427960824254
Fouls Committed,0.5811427960824254
Away Goals,0.5804304062688104
Successful Passes Opposition Half,0.574102417691882
Recoveries,0.5673322802887296
Foul Attempted Tackle,0.526924927410084
Total Losses Of Possession,0.520250648659975
Key Passes (Attempt Assists),0.51046016569402
Home Goals,0.5050159378751304
Total Shots,0.4985304352718466
Throw Ins To Own Player,0.4952565172369267
Shots On Target ( Inc Goals ),0.48441083767059817
Right Foot Goals,0.476798076771531
Duels,0.47084352625751136
Passing % Opp Half,0.4522787444050539
Unsuccessful Crosses Open Play,0.4389402675912421
Duels Lost,0.43803097938673025
Headed Goals,0.43129403129418237
Ground Duels Lost,0.42984540899882606
Goal Kicks,0.42648621414521953
Left Foot Goals,0.4211293532500165
Own Goals Accrued,0.4191502343081184
Ground Duels,0.41623226110693995
Unsuccessful Short Passes,0.41556845882960675
Unsuccessful Passes Opposition Half,0.414089225186044
Unsuccessful Crosses & Corners,0.40475305391071337
Duels Won,0.39550682648208096
Shots Off Target (Inc Woodwork),0.389401743778476
Successful Crosses & Corners,0.3696882127278876
Successful Corners Into Box,0.36947533024685714
Unsuccessful Dribbles,0.3692075007493081
Putthrough/Blocked Distribution,0.3667838789500042
Times Tackled,0.36059892523567405
Total Offside,0.3549957729238743
Offsides,0.3549957729238743
Other Goals,0.3535868468139432
Gk Successful Distribution,0.3343496607016323
Ground Duels Won,0.30338327937546206
Total Unsuccessful Passes ( Excl Crosses & Corners ),0.28938831747424104
Successful Crosses Open Play,0.2874631930074839
Penalties Saved,0.2676400309033393
Goals From Outside Box,0.26163816964306086
Aerial Duels Won,0.24665043090192704
Successful Lay-Offs,0.23477163186025501
Tackle Success,0.21832220823047102
Aerial Duels,0.2097923253449459
Catches,0.19287159761904943
Successful Long Passes,0.18280214642474635
Hit Woodwork,0.18202720509073633
Unsuccessful Corners Into Box,0.16790597020611425
Throw Ins To Opposition Player,0.1393563745635439
Penalties Taken,0.13180913542808168
Foul Won Penalty,0.13180913542808168
Penalty Kick Taken,0.13180913542808168
Penalty Goals,0.12105951987203824
Aerial Duels Lost,0.1132437740736764
Crossing Accuracy,0.09780370030831265
Goals Conceded Outside Box,0.08799490010416844
Shooting Accuracy,0.08336939262910592
Putthrough/Blocked Distribution Won,0.0651813663548053
Attempts From Set Pieces,0.06253262245788066
Unsuccessful Lay-Offs,0.038022194690194314
Blocks,0.032354135573970065
Successful Dribbles,0.03162485054859491
Points Gained From Losing Positions,0.01910479810311786
Tackles Won,0.018214470942289392
Shots On Conceded Outside Box,0.008495219277106381
Drops,0.0021025530401890032
Handballs Conceded,-0.026135743299849894
Straight Red Cards,-0.032647746641978226
Clearances Off The Line,-0.051664843918108404
Interceptions,-0.06733238234645783
Unsuccessful Launches,-0.09527425284091932
Last Man Tackle,-0.12735366466935158
Unsuccessful Long Passes,-0.13981234211179291
Points Dropped From Winning Positions,-0.16124514055794686
Red Cards,-0.1771860209715293
Total Clearances,-0.19461812020046731
Unsuccessful Passes Own Half,-0.1952856203194397
Set Pieces Goals,-0.20324253216716337
Tackles Lost,-0.22546441974703443
Successful Launches,-0.22598015817071987
Total Shots Conceded,-0.23102895604015877
Total Red Cards,-0.2827451353199954
Penalties Conceded,-0.31427510911129347
Penalty Goals Conceded,-0.31641541818898256
Penalty Conceded,-0.3248053520399014
Red Card - 2Nd Yellow,-0.34049844523942363
Own Goals Conceded,-0.5769182926886095
Gk Unsuccessful Distribution,-0.6116626220263742
Shots On Conceded Inside Box,-0.6720876834058888
Goals Conceded Inside Box,-0.7423927313117095
