Stat_Name,Total Points
Goals,0.8260192247304805
Goals From Inside Box,0.7857565111392254
Last Player Tackle,0.7365705095710957
Successful Passes Own Half,0.7339336073358602
Clean Sheets,0.6987166578619363
Total Successful Passes ( Excl Crosses & Corners ),0.6959658193165559
Successful Open Play Passes,0.6933109963872087
Successful Short Passes,0.6915133868712179
Goal Assists,0.69087518962413
Total Passes,0.6905453222907073
Passing Accuracy,0.689042361545413
Open Play Passes,0.6854970930000001
Accuracy (%),0.6742475118988396
Blocked Shots,0.6282969613588634
Corners,0.6213708259727759
Corners Taken (Incl Short Corners),0.6213708259727759
Corners Won,0.6213708259727759
Away Goals,0.6201631003696703
Home Goals,0.605062834046568
Gk Successful Distribution,0.5916887769151915
Shots On Target ( Inc Goals ),0.5860880787208702
Left Foot Goals,0.5738372660449345
Successful Passes Opposition Half,0.5687198996033949
Total Shots,0.5615309301701515
Ground Duels Lost,0.5597870805719534
Goal Conversion,0.5536394803490348
Possession Percentage,0.5530167799765809
Passing % Opp Half,0.5325160011983276
Key Passes (Attempt Assists),0.5310740387108888
Own Goals Accrued,0.5192598377064387
Throw Ins To Own Player,0.4607491860575639
Times Tackled,0.4555786508715457
Unsuccessful Crosses Open Play,0.4549356162938951
Other Goals,0.45333950359163006
Ground Duels,0.437576272397725
Shots Off Target (Inc Woodwork),0.43422517668852306
Unsuccessful Crosses & Corners,0.421950313163276
Overruns,0.4190028079886602
Right Foot Goals,0.4123726044275678
Goals From Outside Box,0.405779940862152
Unsuccessful Dribbles,0.4018046573415524
Headed Goals,0.397334192873211
Successful Crosses Open Play,0.39648475264009386
Yellow Cards,0.39591792981754076
Hit Woodwork,0.3952186942863702
Putthrough/Blocked Distribution,0.3849411204269762
Total Losses Of Possession,0.36829465164982833
Fouls Committed,0.35763064967287084
Total Fouls Conceded,0.35763064967287084
Fouls Suffered,0.3547869250611804
Total Fouls Won,0.3547869250611804
Successful Crosses & Corners,0.3514757344865371
Foul Attempted Tackle,0.33828846193038126
Duels,0.32879649856440313
Catches,0.316022564344156
Goal Kicks,0.31117446260303416
Shots On Conceded Outside Box,0.2930810446678907
Duels Lost,0.29061733667663525
Penalties Saved,0.2879671295649915
Unsuccessful Short Passes,0.27441386445211424
Total Offside,0.27136236104826256
Offsides,0.27136236104826256
Unsuccessful Passes Opposition Half,0.26425527552175065
Unsuccessful Corners Into Box,0.26121134852074535
Duels Won,0.23833587817324745
Successful Long Passes,0.2298038137271604
Recoveries,0.2287828881728356
Shooting Accuracy,0.21290325748573954
Ground Duels Won,0.20173749110431388
Successful Corners Into Box,0.1956469725216615
Handballs Conceded,0.19426461872414244
Goals Conceded Outside Box,0.17466608162110997
Successful Lay-Offs,0.14429728990572777
Aerial Duels Won,0.12995818783539806
Attempts From Set Pieces,0.08424971201994634
Throw Ins To Opposition Player,0.07718060748019474
Putthrough/Blocked Distribution Won,0.07004839894595688
Successful Dribbles,0.0653401925211986
Penalties Taken,0.056527789701808044
Foul Won Penalty,0.056527789701808044
Crossing Accuracy,0.05517172444485142
Penalty Kick Taken,0.04589872184081209
Last Man Tackle,0.028522316747645063
Blocks,0.01663521886088815
Tackle Success,0.01591880764578995
Aerial Duels Won Percentage,-0.007767335012100178
Total Unsuccessful Passes ( Excl Crosses & Corners ),-0.011417603084216906
Clearances Off The Line,-0.024821038770882493
Penalty Goals,-0.028245204533192035
Duels Won Percentage,-0.038654454091657714
Tackles Won Percentage,-0.04503185175987619
Points Dropped From Winning Positions,-0.0518153777971128
Total Shots Conceded,-0.05322494998149915
Cross Complete Percentage,-0.054994826255327214
Set Pieces Goals,-0.06806914076276117
Red Card - 2Nd Yellow,-0.07334328676457867
Aerial Duels,-0.0754039190276101
Tackles Won,-0.07710365444953739
Tackles Lost,-0.08519705488488584
Points Gained From Losing Positions,-0.09083462436929261
Interceptions,-0.10741120881942262
Unsuccessful Launches,-0.17706050065607504
Total Clearances,-0.2067098519634007
Drops,-0.2388486743927085
Straight Red Cards,-0.2479183603066314
Unsuccessful Passes Own Half,-0.259751519657971
Successful Launches,-0.26337414485589333
Penalties Conceded,-0.26860905894479753
Aerial Duels Lost,-0.27280636607473846
Penalty Goals Conceded,-0.2757921513020094
Red Cards,-0.2813571990883762
Penalty Conceded,-0.28895799967794433
Unsuccessful Long Passes,-0.3032699462579949
Unsuccessful Lay-Offs,-0.32224846338698304
Total Red Cards,-0.35480070526929325
Gk Unsuccessful Distribution,-0.5331187860386439
Own Goals Conceded,-0.592443678935007
Shots On Conceded Inside Box,-0.6443500203837536
Goals Conceded Inside Box,-0.7652018594194313
