Season,Date,Hometeam,Awayteam,Homescore,Awayscore,Status,Venue,Result,Home_Prior,Away_Prior
2022,2022-04-07T23:30:00Z,Inter Toronto,HFX Wanderers,0,1,FINISHED,York Lions Stadium,2,-6.212942346816782,-18.65030609587324
2022,2022-04-09T19:00:00Z,Atlético Ottawa,Cavalry,1,0,FINISHED,TD Place Stadium,0,-3.3060322952750765,22.3002213653662
2022,2022-04-10T20:00:00Z,Edmonton,Valour,1,1,FINISHED,Clarke Field,1,-48.740166522180374,-8.092312512876008
2022,2022-04-10T23:00:00Z,Pacific,Forge,2,1,FINISHED,Starlight Stadium,0,7.804509356352445,58.056646379829616
2022,2022-04-16T01:00:00Z,Edmonton,Inter Toronto,1,1,FINISHED,Clarke Field,1,-48.740166522180374,-6.212942346816782
2022,2022-04-16T17:00:00Z,Atlético Ottawa,HFX Wanderers,1,0,FINISHED,TD Place Stadium,0,-3.3060322952750765,-18.65030609587324
2022,2022-04-16T20:00:00Z,Forge,Cavalry,2,2,FINISHED,Hamilton Stadium,1,58.056646379829616,22.3002213653662
2022,2022-04-17T20:00:00Z,Pacific,Valour,3,2,FINISHED,Starlight Stadium,0,7.804509356352445,-8.092312512876008
2022,2022-04-22T23:30:00Z,Inter Toronto,Cavalry,2,0,FINISHED,York Lions Stadium,0,-6.212942346816782,22.3002213653662
2022,2022-04-23T20:00:00Z,Forge,Edmonton,3,0,FINISHED,Hamilton Stadium,0,58.056646379829616,-48.740166522180374
2022,2022-04-23T23:00:00Z,Pacific,HFX Wanderers,2,1,FINISHED,Starlight Stadium,0,7.804509356352445,-18.65030609587324
2022,2022-04-24T19:00:00Z,Atlético Ottawa,Valour,1,6,FINISHED,TD Place Stadium,2,-3.3060322952750765,-8.092312512876008
2022,2022-04-28T01:00:00Z,Edmonton,Pacific,0,0,FINISHED,Clarke Field,1,-48.740166522180374,7.804509356352445
2022,2022-04-29T23:30:00Z,Inter Toronto,Atlético Ottawa,2,2,FINISHED,York Lions Stadium,1,-6.212942346816782,-3.3060322952750765
2022,2022-04-30T18:00:00Z,HFX Wanderers,Edmonton,3,1,FINISHED,Wanderers Grounds,0,-18.65030609587324,-48.740166522180374
2022,2022-05-01T21:30:00Z,Cavalry,Pacific,2,0,FINISHED,ATCO Field,0,22.3002213653662,7.804509356352445
2022,2022-05-06T23:00:00Z,Inter Toronto,Forge,1,0,FINISHED,York Lions Stadium,0,-6.212942346816782,58.056646379829616
2022,2022-05-07T02:00:00Z,Edmonton,Cavalry,0,3,FINISHED,Clarke Field,2,-48.740166522180374,22.3002213653662
2022,2022-05-07T19:00:00Z,Valour,HFX Wanderers,0,0,FINISHED,Princess Auto Stadium,1,-8.092312512876008,-18.65030609587324
2022,2022-05-07T22:00:00Z,Atlético Ottawa,Pacific,0,1,FINISHED,TD Place Stadium,2,-3.3060322952750765,7.804509356352445
2022,2022-05-14T20:00:00Z,Forge,Atlético Ottawa,1,1,FINISHED,Hamilton Stadium,1,58.056646379829616,-3.3060322952750765
2022,2022-05-14T23:00:00Z,Pacific,Edmonton,2,1,FINISHED,Starlight Stadium,0,7.804509356352445,-48.740166522180374
2022,2022-05-15T18:00:00Z,HFX Wanderers,Cavalry,2,2,FINISHED,Wanderers Grounds,1,-18.65030609587324,22.3002213653662
2022,2022-05-15T21:00:00Z,Valour,Inter Toronto,1,0,FINISHED,Princess Auto Stadium,0,-8.092312512876008,-6.212942346816782
2022,2022-05-20T22:00:00Z,HFX Wanderers,Forge,0,4,FINISHED,Wanderers Grounds,2,-18.65030609587324,58.056646379829616
2022,2022-05-21T02:00:00Z,Pacific,Inter Toronto,0,0,FINISHED,Starlight Stadium,1,7.804509356352445,-6.212942346816782
2022,2022-05-21T19:30:00Z,Cavalry,Valour,2,1,FINISHED,ATCO Field,0,22.3002213653662,-8.092312512876008
2022,2022-05-22T20:00:00Z,Edmonton,Atlético Ottawa,1,2,FINISHED,Clarke Field,2,-48.740166522180374,-3.3060322952750765
2022,2022-05-28T23:00:00Z,Pacific,Valour,2,2,FINISHED,Starlight Stadium,1,7.804509356352445,-8.092312512876008
2022,2022-05-29T18:00:00Z,Inter Toronto,Cavalry,0,1,FINISHED,York Lions Stadium,2,-6.212942346816782,22.3002213653662
2022,2022-06-01T01:00:00Z,Edmonton,Forge,3,4,FINISHED,Clarke Field,2,-48.740166522180374,58.056646379829616
2022,2022-06-02T00:00:00Z,Valour,Atlético Ottawa,0,1,FINISHED,Princess Auto Stadium,2,-8.092312512876008,-3.3060322952750765
2022,2022-06-04T18:00:00Z,HFX Wanderers,Inter Toronto,1,0,FINISHED,Wanderers Grounds,0,-18.65030609587324,-6.212942346816782
