Team,Year,Total Points,Strength_Score
Cavalry,2025,42,32.861798918177385
Atlético Ottawa,2025,56,26.356936776845746
Forge,2025,58,22.728166932831318
HFX Wanderers,2025,39,17.320950394672135
Inter Toronto,2025,38,8.706321483341034
Valour,2025,26,-33.35503725468295
Vancouver FC,2025,21,-36.766576347902685
Pacific,2025,23,-37.060333086291116
Forge,2024,50,34.8913487159185
Cavalry,2024,48,33.00086003024204
Atlético Ottawa,2024,44,12.667156301770241
Inter Toronto,2024,39,12.080748142016292
Pacific,2024,34,-7.449207381360003
HFX Wanderers,2024,30,-14.680888099519896
Vancouver FC,2024,30,-29.933139358744974
Valour,2024,28,-39.51890756659873
Cavalry,2023,55,37.85427175054976
Pacific,2023,40,30.067360969209034
Forge,2023,42,24.900684667836227
HFX Wanderers,2023,42,8.801220859456729
Inter Toronto,2023,38,-0.432854476252292
Valour,2023,26,-10.503979023772594
Atlético Ottawa,2023,36,-33.14668898239959
Vancouver FC,2023,29,-58.096808140001755
Forge,2022,47,60.03562139253662
Cavalry,2022,47,23.284442241402736
Pacific,2022,46,11.479423309106298
Atlético Ottawa,2022,49,-1.1885147729226346
Valour,2022,37,-6.9981427560569145
Inter Toronto,2022,34,-7.920922410583022
HFX Wanderers,2022,29,-20.8615508830551
Edmonton,2022,20,-54.1466487973287
Forge,2021,50,41.29877685003045
Pacific,2021,45,39.14502410216608
Cavalry,2021,50,16.44426907538474
Inter Toronto,2021,36,1.6752201687965373
Valour,2021,35,-7.589496940643327
HFX Wanderers,2021,35,-17.093614483681623
Edmonton,2021,28,-27.995405711874717
Atlético Ottawa,2021,26,-47.586812802582934
