match_id,fatigue_home,fatigue_away,travel_km_away,tz_change_away,weather_temp,weather_rain_prob,avg_goals_home,avg_goals_away,rain_impact_home,rain_impact_away
2022-04-07_York_vs_Wanderers,0.0,1.1354,1270.8,-1,9.0,0.25,1.2,1.2,0.3,0.3
2022-04-09_Atlético_vs_Cavalry,0.0,2.4403,2880.6,2,9.0,0.25,1.2,1.2,0.3,0.3
2022-04-10_Edmonton_vs_Valour,0.0,1.0987,1197.5,-1,8.0,0.3,1.2,1.2,0.36,0.36
2022-04-10_Pacific_vs_Forge,0.0,3.1921,3384.3,-3,10.0,0.4,1.2,1.2,0.48,0.48
2022-04-16_Edmonton_vs_York,0.5,2.3444,2688.8,-2,8.0,0.3,1.0,0.0,0.3,0.0
2022-04-16_Atlético_vs_Wanderers,0.0,0.1762,352.4,0,9.0,0.25,1.0,1.0,0.25,0.25
2022-04-16_Forge_vs_Cavalry,3.6921,0.2035,407.0,0,9.0,0.25,1.0,0.0,0.25,0.0
2022-04-17_Pacific_vs_Valour,0.0,0.9509,901.8,-1,10.0,0.4,2.0,1.0,0.8,0.4
2022-04-22_York_vs_Cavalry,2.3444,0.0318,63.7,0,9.0,0.25,0.5,1.0,0.125,0.25
2022-04-23_Forge_vs_Edmonton,0.0,2.3511,2702.2,2,9.0,0.25,1.5,1.0,0.375,0.25
2022-04-23_Pacific_vs_Wanderers,0.0,3.2941,3588.1,-3,10.0,0.4,2.5,0.5,1.0,0.2
2022-04-24_Atlético_vs_Valour,0.0,3.2941,3588.1,3,9.0,0.25,1.0,1.5,0.25,0.375
2022-04-28_Edmonton_vs_Pacific,3.8511,2.4509,901.8,1,8.0,0.3,0.6667,2.3333,0.19999999999999998,0.7000000000000001
2022-04-29_York_vs_Atlético,0.0,0.6762,352.4,0,9.0,0.25,1.0,1.0,0.25,0.25
2022-04-30_Wanderers_vs_Edmonton,4.242,6.3412,3682.4,3,7.0,0.35,0.6667,0.5,0.2333333333333333,0.175
2022-05-01_Cavalry_vs_Pacific,2.3482,3.1501,300.2,0,14.0,0.35,0.6667,1.75,0.2333333333333333,0.6124999999999999
2022-05-06_York_vs_Forge,0.0,0.0318,63.7,0,16.0,0.3,1.25,2.0,0.375,0.6
2022-05-07_Edmonton_vs_Cavalry,3.3412,0.6501,300.2,0,14.0,0.35,0.6,1.0,0.21,0.35
2022-05-07_Valour_vs_Wanderers,1.3376,2.2877,2575.3,-2,15.0,0.3,3.0,1.25,0.8999999999999999,0.375
2022-05-07_Atlético_vs_Pacific,0.1762,2.4403,2880.6,2,16.0,0.3,1.25,1.4,0.375,0.42
2022-05-14_Forge_vs_Atlético,0.0318,0.2035,407.0,0,16.0,0.3,1.5,1.0,0.44999999999999996,0.3
2022-05-14_Pacific_vs_Edmonton,3.2941,0.9509,901.8,-1,14.0,0.25,1.2,0.4,0.3,0.1
2022-05-15_Wanderers_vs_Cavalry,2.2877,3.3412,3682.4,3,12.0,0.35,1.0,1.4,0.35,0.48999999999999994
2022-05-15_Valour_vs_York,0.0,1.248,1496.0,-1,15.0,0.3,2.25,1.2,0.6749999999999999,0.36
2022-05-20_Wanderers_vs_Forge,0.5,1.1538,1307.6,1,12.0,0.35,1.2,1.4,0.42,0.48999999999999994
2022-05-21_Pacific_vs_York,0.0,2.4571,1914.3,-2,14.0,0.25,1.0,1.2,0.25,0.3
2022-05-21_Cavalry_vs_Valour,3.3813,1.6033,1206.5,-1,14.0,0.35,1.8,2.0,0.63,0.7
2022-05-22_Edmonton_vs_Atlético,0.9509,2.3511,2702.2,-2,14.0,0.35,0.4,1.0,0.13999999999999999,0.35
2022-05-28_Pacific_vs_Valour,0.0,0.8643,728.6,-1,14.0,0.25,0.6,2.0,0.15,0.5
2022-05-29_York_vs_Cavalry,3.1917,2.3482,2696.4,2,16.0,0.3,1.0,1.8,0.3,0.54
2022-06-01_Edmonton_vs_Forge,0.0,3.3412,3682.4,-3,18.0,0.4,0.6,2.0,0.24,0.8
2022-06-02_Valour_vs_Atlético,3.4571,1.0987,1197.5,1,21.0,0.35,2.0,1.2,0.7,0.42
2022-06-04_Wanderers_vs_York,0.0,1.1354,1270.8,1,17.0,0.35,1.2,0.6,0.42,0.21
2022-06-05_Atlético_vs_Pacific,4.3376,3.2941,3588.1,3,22.0,0.35,1.2,1.0,0.42,0.35
2022-06-05_Valour_vs_Edmonton,3.0,2.5987,1197.5,1,21.0,0.35,0.8,1.2,0.27999999999999997,0.42
2022-06-11_Cavalry_vs_Wanderers,2.3482,3.3813,3762.5,-3,18.0,0.4,2.0,1.2,0.8,0.48
