Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue
2025,2025-04-05T18:00:00Z,Atlético Ottawa,HFX Wanderers,2,2,FINISHED,TD Place Stadium
2025,2025-04-05T21:30:00Z,Forge,Cavalry,1,0,FINISHED,Hamilton Stadium
2025,2025-04-06T00:00:00Z,Pacific,Valour,2,0,FINISHED,Starlight Stadium
2025,2025-04-06T23:00:00Z,Vancouver FC,York United,0,2,FINISHED,Willoughby Community Park at the Langley Events Centre
2025,2025-04-12T21:00:00Z,Pacific,Forge,0,2,FINISHED,Starlight Stadium
2025,2025-04-13T19:00:00Z,York United,HFX Wanderers,1,2,FINISHED,York Lions Stadium
2025,2025-04-13T22:00:00Z,Vancouver FC,Atlético Ottawa,1,4,FINISHED,Willoughby Community Park at the Langley Events Centre
2025,2025-04-18T23:00:00Z,Cavalry,Vancouver FC,1,1,FINISHED,ATCO Field
2025,2025-04-19T17:00:00Z,Atlético Ottawa,York United,3,2,FINISHED,TD Place Stadium
2025,2025-04-19T19:30:00Z,HFX Wanderers,Pacific,3,1,FINISHED,Wanderers Grounds
2025,2025-04-19T22:00:00Z,Forge,Valour,1,1,FINISHED,Hamilton Stadium
2025,2025-04-26T00:00:00Z,Valour,HFX Wanderers,0,1,FINISHED,Princess Auto Stadium
2025,2025-04-26T21:00:00Z,Cavalry,Atlético Ottawa,1,3,FINISHED,ATCO Field
2025,2025-04-27T00:00:00Z,Vancouver FC,Pacific,1,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2025,2025-04-27T18:00:00Z,York United,Forge,2,2,FINISHED,York Lions Stadium
2025,2025-05-03T00:00:00Z,York United,Cavalry,1,2,FINISHED,York Lions Stadium
2025,2025-05-03T17:00:00Z,Atlético Ottawa,Pacific,3,1,FINISHED,TD Place Stadium
2025,2025-05-03T20:00:00Z,HFX Wanderers,Forge,0,0,FINISHED,Wanderers Grounds
2025,2025-05-03T23:00:00Z,Valour,Vancouver FC,1,3,FINISHED,Princess Auto Stadium
2025,2025-05-10T18:00:00Z,Atlético Ottawa,Valour,5,2,FINISHED,TD Place Stadium
2025,2025-05-10T21:30:00Z,HFX Wanderers,Cavalry,0,3,FINISHED,Wanderers Grounds
2025,2025-05-11T00:00:00Z,Pacific,York United,2,1,FINISHED,Starlight Stadium
2025,2025-05-13T15:00:00Z,Forge,Atlético Ottawa,2,2,FINISHED,Hamilton Stadium
