Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue,Result,NaiveProbHome,NaiveProbDraw,NaiveProbAway
2022,2022-04-07 23:30:00+00:00,York United,HFX Wanderers,0,1,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-09 19:00:00+00:00,Atlético Ottawa,Cavalry,1,0,FINISHED,TD Place Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-10 20:00:00+00:00,Edmonton,Valour,1,1,FINISHED,Clarke Field,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-10 23:00:00+00:00,Pacific,Forge,2,1,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-16 01:00:00+00:00,Edmonton,York United,1,1,FINISHED,Clarke Field,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-16 17:00:00+00:00,Atlético Ottawa,HFX Wanderers,1,0,FINISHED,TD Place Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-16 20:00:00+00:00,Forge,Cavalry,2,2,FINISHED,Hamilton Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-17 20:00:00+00:00,Pacific,Valour,3,2,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-22 23:30:00+00:00,York United,Cavalry,2,0,FINISHED,York Lions Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-23 20:00:00+00:00,Forge,Edmonton,3,0,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-23 23:00:00+00:00,Pacific,HFX Wanderers,2,1,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-24 19:00:00+00:00,Atlético Ottawa,Valour,1,6,FINISHED,TD Place Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-28 01:00:00+00:00,Edmonton,Pacific,0,0,FINISHED,Clarke Field,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-29 23:30:00+00:00,York United,Atlético Ottawa,2,2,FINISHED,York Lions Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-04-30 18:00:00+00:00,HFX Wanderers,Edmonton,3,1,FINISHED,Wanderers Grounds,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-01 21:30:00+00:00,Cavalry,Pacific,2,0,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-06 23:00:00+00:00,York United,Forge,1,0,FINISHED,York Lions Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-07 02:00:00+00:00,Edmonton,Cavalry,0,3,FINISHED,Clarke Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-07 19:00:00+00:00,Valour,HFX Wanderers,0,0,FINISHED,Princess Auto Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-07 22:00:00+00:00,Atlético Ottawa,Pacific,0,1,FINISHED,TD Place Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-14 20:00:00+00:00,Forge,Atlético Ottawa,1,1,FINISHED,Hamilton Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-14 23:00:00+00:00,Pacific,Edmonton,2,1,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-15 18:00:00+00:00,HFX Wanderers,Cavalry,2,2,FINISHED,Wanderers Grounds,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-15 21:00:00+00:00,Valour,York United,1,0,FINISHED,Princess Auto Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-20 22:00:00+00:00,HFX Wanderers,Forge,0,4,FINISHED,Wanderers Grounds,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-21 02:00:00+00:00,Pacific,York United,0,0,FINISHED,Starlight Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-21 19:30:00+00:00,Cavalry,Valour,2,1,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-22 20:00:00+00:00,Edmonton,Atlético Ottawa,1,2,FINISHED,Clarke Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-28 23:00:00+00:00,Pacific,Valour,2,2,FINISHED,Starlight Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-05-29 18:00:00+00:00,York United,Cavalry,0,1,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-01 01:00:00+00:00,Edmonton,Forge,3,4,FINISHED,Clarke Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-02 00:00:00+00:00,Valour,Atlético Ottawa,0,1,FINISHED,Princess Auto Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-04 18:00:00+00:00,HFX Wanderers,York United,1,0,FINISHED,Wanderers Grounds,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-05 17:00:00+00:00,Atlético Ottawa,Pacific,2,1,FINISHED,TD Place Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-05 20:00:00+00:00,Valour,Edmonton,1,1,FINISHED,Princess Auto Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-11 19:30:00+00:00,Cavalry,HFX Wanderers,1,0,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-12 20:00:00+00:00,Forge,Pacific,3,0,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-14 23:00:00+00:00,Atlético Ottawa,York United,0,0,FINISHED,TD Place Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-15 02:00:00+00:00,Edmonton,HFX Wanderers,1,2,FINISHED,Clarke Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-16 00:00:00+00:00,Valour,Cavalry,2,4,FINISHED,Princess Auto Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-18 20:00:00+00:00,York United,Pacific,0,0,FINISHED,York Lions Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-19 18:00:00+00:00,HFX Wanderers,Forge,0,3,FINISHED,Wanderers Grounds,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-19 21:00:00+00:00,Edmonton,Atlético Ottawa,1,0,FINISHED,Clarke Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-25 21:00:00+00:00,Pacific,HFX Wanderers,0,3,FINISHED,Starlight Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-26 16:00:00+00:00,York United,Valour,1,3,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-26 23:00:00+00:00,Cavalry,Edmonton,3,1,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-29 23:00:00+00:00,Forge,Valour,0,1,FINISHED,Hamilton Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-30 22:30:00+00:00,HFX Wanderers,Atlético Ottawa,0,2,FINISHED,Wanderers Grounds,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-01 01:30:00+00:00,Pacific,Cavalry,3,3,FINISHED,Starlight Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-01 22:00:00+00:00,Edmonton,York United,3,0,FINISHED,Clarke Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-03 20:00:00+00:00,Forge,Atlético Ottawa,0,1,FINISHED,Hamilton Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
