playerName,season,team,position,role,GamesPlayed,Minutes,Goals,Assists,Shots,GoalInvolvements,ShotsOnTarget,KeyPasses,Tackles,FoulsCommitted,FoulsSuffered,Offsides,YellowCards,RedCards,PassPct,GAA,SavePct,G_per_game,A_per_game,S_per_game,SOT_per_game,KP_per_game,Minutes_per_game,playerId
A. Achinioti-Jönsson,2020,Forge,Midfielder,midfielder,11,792,3,0,6,0,4,0,10,12,13,0,1,0,82.0,1.02,0.0,0.2727272727272727,0.0,0.5454545454545454,0.36363636363636365,0.0,72.0,cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c
A. Bouka,2020,Valour,Defender,defender,2,70,0,0,0,0,0,0,1,1,2,0,0,0,53.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,35.0,cpl::Football_Player::270eb17b99df4a3ea3a65d918a9c385e
A. Coupland,2020,Whitecaps,Midfielder,midfielder,3,97,0,0,0,0,0,0,2,4,2,0,1,0,75.0,6.49,0.0,0.0,0.0,0.0,0.0,0.0,32.333333333333336,cpl::Football_Player::8b3bce6c12a8410c97766fbccc51d981
A. De Carolis,2020,Wanderers,Defender,defender,6,371,1,0,2,0,1,0,5,6,4,1,1,0,73.0,1.94,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,61.833333333333336,cpl::Football_Player::cfb4634bc5a0472c9999c3364d73937c
A. Díaz,2020,Vancouver FC,Forward,forward,10,609,3,2,13,0,8,2,1,4,5,3,0,0,70.0,1.63,0.0,0.3,0.2,1.3,0.8,0.2,60.9,cpl::Football_Player::cd1e9f98817545a8904ffd9556963f44
A. García,2020,Wanderers,Forward,forward,10,758,6,0,19,0,11,0,0,17,24,13,0,0,81.0,1.19,0.0,0.6,0.0,1.9,1.1,0.0,75.8,cpl::Football_Player::4a3790eed104423781b21001cbce69e9
A. Hojabrpour,2020,Forge,Midfielder,midfielder,10,385,0,0,3,0,0,0,11,5,2,0,0,0,80.0,1.64,0.0,0.0,0.0,0.3,0.0,0.0,38.5,cpl::Football_Player::6a778700603244eeabcce04c59c6ccc0
A. Jean-Baptiste,2020,Valour,Defender,defender,6,462,1,0,2,0,1,0,5,8,5,0,0,0,81.0,0.97,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,77.0,cpl::Football_Player::d29736b5baf24409acfa96d3a52436e1
A. Khabra,2020,Edmonton,Midfielder,midfielder,6,308,0,0,0,0,0,0,3,12,3,1,1,0,87.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,51.333333333333336,cpl::Football_Player::b34859d026f14f39b1d8a7e139f53ed1
A. Marshsall,2020,Wanderers,Forward,forward,11,583,0,2,7,0,2,2,6,14,17,1,1,0,75.0,1.08,0.0,0.0,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.18181818181818182,53.0,cpl::Football_Player::3b722a31cec745c3be4c298eeeee5dbc
A. Novak,2020,Forge,Forward,forward,9,381,2,0,8,0,6,0,3,4,9,1,0,0,81.0,0.94,0.0,0.2222222222222222,0.0,0.8888888888888888,0.6666666666666666,0.0,42.333333333333336,cpl::Football_Player::337fb1e9243f40eeacf44fe5123d4089
A. Pepple,2020,Cavalry,Forward,forward,6,67,0,0,2,0,1,0,1,2,0,1,0,0,77.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,11.166666666666666,cpl::Football_Player::1b5317cdeb7f40dd8a7eccc207d46158
A. Ricci,2020,Vancouver FC,Forward,forward,6,365,0,0,8,0,5,0,5,9,9,1,3,0,59.0,0.99,0.0,0.0,0.0,1.3333333333333333,0.8333333333333334,0.0,60.833333333333336,cpl::Football_Player::1ece129a4fee46d18322a9312200459f
A. Riggi,2020,Wanderers,Forward,forward,8,471,1,1,6,0,5,1,7,7,7,2,0,0,74.0,0.38,0.0,0.125,0.125,0.75,0.625,0.125,58.875,cpl::Football_Player::c8dce536cf5f4f02be8d2f7ba48e6929
A. Samaké,2020,Valour,Defender,defender,3,89,0,0,0,0,0,0,1,2,0,0,0,0,81.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,cpl::Football_Player::fd9ddb9946a84feeb1b5e9a8dd531160
A. Sissoko,2020,Atlético,Midfielder,midfielder,10,707,0,0,4,0,1,0,16,10,11,0,0,0,83.0,1.02,0.0,0.0,0.0,0.4,0.1,0.0,70.7,cpl::Football_Player::bcd2bd431fea40f2ad5e2cd7d95bef32
A. Đidić,2020,Atlético,Defender,defender,3,241,0,0,1,0,0,0,3,1,0,0,0,0,84.0,1.49,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,80.33333333333333,cpl::Football_Player::46e85b6f18f042fe837554290482828b
B. Fisk,2020,Vancouver FC,Midfielder,midfielder,7,601,1,0,8,0,5,0,7,4,5,0,1,0,79.0,1.05,0.0,0.14285714285714285,0.0,1.1428571428571428,0.7142857142857143,0.0,85.85714285714286,cpl::Football_Player::423863e33e8f4745b70e6092f11a184d
B. John,2020,Atlético,Defender,defender,7,618,0,0,0,0,0,0,5,11,14,0,2,0,80.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,88.28571428571429,cpl::Football_Player::d1433885dbb94149b5acefd04d818f56
B. Levis,2020,Atlético,Defender,defender,5,383,0,2,2,0,2,2,8,9,9,0,1,0,84.0,1.17,0.0,0.0,0.4,0.4,0.4,0.4,76.6,cpl::Football_Player::8a6c8e7f553849f9a237ca5dd408e66d
B. Maan,2020,Valour,Goalkeeper,goalkeeper,1,90,0,0,0,0,0,0,0,0,2,0,0,0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::f93dee067b364c69b3a231cfb723817f
B. McKendry,2020,Atlético,Midfielder,midfielder,7,408,0,0,1,0,1,0,16,9,2,0,2,0,79.0,1.54,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,58.285714285714285,cpl::Football_Player::4b6c1da63a144cfeb39e765ea2e3039c
B. Zebie,2020,Edmonton,Midfielder,midfielder,10,480,0,0,5,0,1,0,9,10,11,0,0,0,82.0,1.12,0.0,0.0,0.0,0.5,0.1,0.0,48.0,cpl::Football_Player::3b2542a004d146b1bf7e3ef7f0ec811f
C. Bent,2020,Wanderers,Forward,forward,10,500,1,0,3,0,1,0,3,9,14,5,0,0,63.0,1.08,0.0,0.1,0.0,0.3,0.1,0.0,50.0,cpl::Football_Player::6a7b9320483e458792ebd1f94a00baf0
C. Hocine,2020,Wanderers,Defender,defender,1,66,0,0,1,0,0,0,1,3,1,0,0,0,79.0,2.73,0.0,0.0,0.0,1.0,0.0,0.0,66.0,cpl::Football_Player::d673ea35954f4370867e9810a89a6902
C. Irving,2020,Vancouver FC,Goalkeeper,goalkeeper,6,540,0,0,0,0,0,0,0,0,2,0,1,0,72.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::ed6b655ed6bb4c7baedb0fe8fc42495d
C. Mannella,2020,Ottawa Fury,Midfielder,midfielder,2,100,0,0,0,0,0,0,4,3,3,0,1,0,76.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,50.0,cpl::Football_Player::33a38df225e24270b44c1fdfde2eb7a9
C. N'Sa,2020,Wanderers,Defender,defender,9,738,0,0,2,0,0,0,16,10,17,1,0,0,73.0,1.1,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,82.0,cpl::Football_Player::1ada73d8bf034890ab66cfbd681d0f7c
C. Nanco,2020,Forge,Forward,forward,5,224,2,0,3,0,3,0,3,7,2,0,0,0,70.0,1.21,0.0,0.4,0.0,0.6,0.6,0.0,44.8,cpl::Football_Player::55dd391822fa4ee9a317707f26e1ddc9
D. Abzi,2020,Blainville,Defender,defender,5,438,0,0,7,0,2,0,6,5,6,0,0,0,70.0,0.82,0.0,0.0,0.0,1.4,0.4,0.0,87.6,cpl::Football_Player::1669b606345b4345b00d59de89c1c7eb
