playerName,season,team,position,role,GamesPlayed,Minutes,Goals,Assists,Shots,GoalInvolvements,ShotsOnTarget,KeyPasses,Tackles,FoulsCommitted,FoulsSuffered,Offsides,YellowCards,RedCards,PassPct,GAA,SavePct,G_per_game,A_per_game,S_per_game,SOT_per_game,KP_per_game,Minutes_per_game,playerId
A. Achinioti-Jönsson,2019,Forge,Midfielder,midfielder,25.0,1761,0.0,2.0,5.0,0.0,1.0,2.0,30.0,29.0,35.0,0.0,0.0,0.0,82.0,0.77,0.0,0.0,0.08,0.2,0.04,0.08,70.44,cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c
A. Achinioti-Jönsson,2020,Forge,Midfielder,midfielder,11.0,792,3.0,0.0,6.0,0.0,4.0,0.0,10.0,12.0,13.0,0.0,1.0,0.0,82.0,1.02,0.0,0.2727272727272727,0.0,0.5454545454545454,0.3636363636363636,0.0,72.0,cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c
A. Achinioti-Jönsson,2021,Forge,Midfielder,midfielder,27.0,2183,1.0,1.0,8.0,0.0,2.0,1.0,23.0,25.0,34.0,1.0,2.0,0.0,90.0,0.91,0.0,0.037037037037037,0.037037037037037,0.2962962962962963,0.074074074074074,0.037037037037037,80.85185185185185,cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c
A. Achinioti-Jönsson,2022,Forge,Midfielder,midfielder,30.0,2700,1.0,0.0,8.0,0.0,3.0,0.0,32.0,24.0,50.0,0.0,1.0,0.0,92.0,0.9,0.0,0.0333333333333333,0.0,0.2666666666666666,0.1,0.0,90.0,cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c
A. Achinioti-Jönsson,2023,Forge,Midfielder,midfielder,29.0,2399,0.0,0.0,12.0,0.0,6.0,0.0,22.0,21.0,41.0,1.0,2.0,0.0,87.0,1.09,0.0,0.0,0.0,0.4137931034482758,0.2068965517241379,0.0,82.72413793103448,cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c
A. Achinioti-Jönsson,2024,Forge,Midfielder,midfielder,31.0,2790,2.0,0.0,8.0,2.0,3.0,0.0,19.0,22.0,34.0,1.0,4.0,0.0,90.0,1.1,55.56,0.064516129032258,0.0,0.2580645161290322,0.0967741935483871,0.0,90.0,cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c
A. Achinioti-Jönsson,2025,Forge,Midfielder,midfielder,30.0,2607,1.0,0.0,10.0,1.0,3.0,0.0,27.0,19.0,45.0,0.0,1.0,0.0,90.0,0.86,52.63,0.0333333333333333,0.0,0.3333333333333333,0.1,0.0,86.9,cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c
A. Baquero,2021,Valour,Defender,defender,23.0,1830,1.0,0.0,12.0,0.0,5.0,0.0,34.0,35.0,15.0,3.0,4.0,0.0,83.0,1.13,0.0,0.0434782608695652,0.0,0.5217391304347826,0.217391304347826,0.0,79.56521739130434,cpl::Football_Player::1b51a11201234c7ea6415ff935930a82
A. Baquero,2022,Valour,Defender,defender,25.0,2130,1.0,0.0,13.0,0.0,5.0,0.0,30.0,26.0,11.0,3.0,6.0,0.0,82.0,1.1,0.0,0.04,0.0,0.52,0.2,0.0,85.2,cpl::Football_Player::1b51a11201234c7ea6415ff935930a82
A. Baquero,2023,Valour,Defender,defender,26.0,1839,0.0,0.0,9.0,0.0,2.0,0.0,29.0,22.0,11.0,2.0,3.0,0.0,83.0,1.47,0.0,0.0,0.0,0.3461538461538461,0.0769230769230769,0.0,70.73076923076923,cpl::Football_Player::1b51a11201234c7ea6415ff935930a82
A. Bergman,2025,York,Defender,defender,3.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,14.0,cpl::Football_Player::77494c5f1b494af9a435e32fc3ca4096
A. Biello,2025,Wanderers,Midfielder,midfielder,21.0,351,0.0,1.0,1.0,1.0,0.0,1.0,4.0,8.0,7.0,0.0,1.0,0.0,85.0,2.05,20.0,0.0,0.0476190476190476,0.0476190476190476,0.0,0.0476190476190476,16.714285714285715,cpl::Football_Player::29b04cda7de84ca2a60dac0e06a8f8d4
A. Binate,2023,Valour,Forward,forward,3.0,35,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,67.0,2.57,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,11.666666666666666,cpl::Football_Player::ae23ee82dcf94e9a9bd025598913c845
A. Binate,2024,Valour,Forward,forward,27.0,1186,4.0,1.0,18.0,5.0,13.0,1.0,17.0,33.0,15.0,2.0,3.0,0.0,76.0,1.37,37.65,0.1481481481481481,0.037037037037037,0.6666666666666666,0.4814814814814814,0.037037037037037,43.92592592592592,cpl::Football_Player::ae23ee82dcf94e9a9bd025598913c845
A. Bouka,2020,Valour,Defender,defender,2.0,70,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,53.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,35.0,cpl::Football_Player::270eb17b99df4a3ea3a65d918a9c385e
A. Bouka,2021,Valour,Defender,defender,14.0,1007,0.0,0.0,1.0,0.0,0.0,0.0,11.0,11.0,17.0,1.0,1.0,0.0,76.0,1.61,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,71.92857142857143,cpl::Football_Player::270eb17b99df4a3ea3a65d918a9c385e
