playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%,season,role
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,31,2820,0,1,0,1,0,1,0,1,5,0,4,0,76.0,1.24,88.89,fd43,goalkeeper
cpl::Football_Player::d3eccdc138364416ab9dd2b141d41e76,J. Holliday,Cavalry,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,fd43,goalkeeper
cpl::Football_Player::9a4eee0d25484d5f90e1813044a4feae,N. Fewster,Cavalry,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,fd43,goalkeeper
cpl::Football_Player::0b10dc469e84486cbf18d636e3bc635e,J. Koleilat,Forge,Goalkeeper,29,2610,0,0,0,0,0,0,0,0,4,0,2,0,88.0,0.83,100.0,fd43,goalkeeper
cpl::Football_Player::0a71cc5786ac4cb6a42caa6d849c2129,C. Kalongo,Forge,Goalkeeper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,90.0,0.0,fd43,goalkeeper
cpl::Football_Player::95c5a896975b488cb559f52bde46d3d4,R. Yesli,Wanderers,Goalkeeper,28,2545,0,0,1,0,0,0,0,3,2,0,5,0,70.0,1.27,80.0,fd43,goalkeeper
cpl::Football_Player::ed6b655ed6bb4c7baedb0fe8fc42495d,C. Irving,Vancouver FC,Goalkeeper,28,2520,0,0,0,0,0,0,0,0,5,0,0,0,68.0,2.04,100.0,fd43,goalkeeper
cpl::Football_Player::655a241e039a4965b7f38990c3f8d981,E. Himaras,Valour,Goalkeeper,9,810,0,0,0,0,0,0,0,0,2,0,1,1,77.0,2.33,100.0,fd43,goalkeeper
cpl::Football_Player::a86a1a3737bc4895b1340dc348ae5b09,S. Melvin,Pacific,Goalkeeper,19,1710,0,0,0,0,0,0,1,0,6,0,1,0,67.0,2.32,100.0,fd43,goalkeeper
cpl::Football_Player::d65b644d608b40dbb79ba6a0fb08d7f1,A. Rushenas,Wanderers,Goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,2,0,78.0,0.0,0.0,fd43,goalkeeper
cpl::Football_Player::410af9177f254590abcec9f3cd63eba5,M. Anchor,Pacific,Goalkeeper,9,810,0,0,0,0,0,0,1,0,1,0,2,0,81.0,1.67,100.0,fd43,goalkeeper
cpl::Football_Player::364352c812a14e868234e4883c9bd4e0,N. Ingham,Atlético,Goalkeeper,30,2730,0,0,0,0,0,0,1,0,6,0,1,0,75.0,0.99,100.0,fd43,goalkeeper
cpl::Football_Player::7b7be3facecb4ab98e4c3f2b04baf071,T. Crampton,Atlético,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,fd43,goalkeeper
cpl::Football_Player::d4b7a9bbb2bb49f89ab93024813fb926,J. Viscosi,Valour,Goalkeeper,10,900,0,0,0,0,0,0,0,1,2,0,2,0,64.0,2.2,100.0,fd43,goalkeeper
cpl::Football_Player::76af0bbb44f04af1b02452602e267e96,F. Jaramillo,Vancouver FC,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,fd43,goalkeeper
