playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::4d636b2222ce4dadada19f4087f42b9e,J. Assi,Montréal,Forward,19,789,0,2,5,0,2,2,15,11,12,9,1,0,75,1.37,0
cpl::Football_Player::e87c2465a9dc45a995f2722a4997ab10,M. Bevan,Cavalry,Forward,12,565,3,0,17,0,8,0,4,11,14,8,1,0,75,1.27,0
cpl::Football_Player::bea0467ed08a42da96f4a22d105a897d,L. Amla,FC Laval,Forward,9,228,0,0,3,0,1,0,3,5,4,3,0,0,56,1.97,0
cpl::Football_Player::6a7b9320483e458792ebd1f94a00baf0,C. Bent,Wanderers,Forward,19,999,2,0,9,0,6,0,8,10,21,15,1,0,74,1.53,0
cpl::Football_Player::c49f24c9d41145ed9c4bf9758b0ed6f9,J. Mason,Cavalry,Forward,22,1747,8,1,36,0,26,1,3,24,14,25,2,0,80,1.13,0
cpl::Football_Player::2d8cec65b1bb4b20872a91ac73584d29,A. Musse,Cavalry,Forward,29,2137,7,3,53,0,27,3,19,23,46,3,4,0,80,1.22,0
cpl::Football_Player::290f058a65584ba487f5fe64d0f7bebd,G. Smith-Doyle,Cavalry,Forward,5,43,0,0,2,0,2,0,1,1,0,0,1,0,60,0.0,0
cpl::Football_Player::3b722a31cec745c3be4c298eeeee5dbc,A. Marshsall,Wanderers,Forward,18,709,0,0,11,0,4,0,11,11,11,0,0,0,76,1.52,0
cpl::Football_Player::4a3790eed104423781b21001cbce69e9,A. García,Wanderers,Forward,13,689,4,0,13,0,8,0,3,18,5,6,1,0,81,1.44,0
cpl::Football_Player::751e68a27d374a64b9646c08102f6daf,João Morelli,Wanderers,Forward,2,180,1,0,10,0,7,0,2,2,0,0,0,0,74,0.5,0
cpl::Football_Player::546d921891c342b2981014c8f5b1076d,E. Samb,Ottawa Fury,Forward,9,431,1,0,7,0,2,0,3,9,11,2,1,0,77,1.25,0
