playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::b78b9cf10b374d23824749c6e410990c,E. Adekugbe,York,Midfielder,22,967,1,0,4,0,1,0,8,20,21,0,3,0,89.0,1.02,0
cpl::Football_Player::3aa93b6a47f24dd59a4d50f71ae926d5,M. Cantave,Vancouver FC,Midfielder,13,532,1,2,13,0,7,2,2,12,15,2,3,1,83.0,1.35,0
cpl::Football_Player::9a6571b3737143b79989244b08fbd50d,S. Camargo,Cavalry,Midfielder,15,789,2,0,12,0,6,0,1,7,10,3,3,0,76.0,1.25,0
cpl::Football_Player::423863e33e8f4745b70e6092f11a184d,B. Fisk,Vancouver FC,Midfielder,27,1215,1,1,13,0,8,1,9,13,9,0,1,0,79.0,1.04,0
cpl::Football_Player::6f78048ef6fe4d51aa66aa87e5fbf0c5,A. Daniels,Pacific,Midfielder,21,1298,1,0,21,0,11,0,16,10,12,2,1,0,83.0,1.66,0
cpl::Football_Player::316e45756fc44527ada7b1ea025918b0,J. Di Chiara,York,Midfielder,18,870,0,0,6,0,1,0,8,19,26,3,4,1,78.0,1.34,0
cpl::Football_Player::52d99817ceb0499ead24ec2a7544f687,M. Camara,Wanderers,Midfielder,26,2001,4,1,16,0,9,1,23,27,25,12,5,0,78.0,1.75,0
cpl::Football_Player::ce3fbd6fe22a4e729054951b2effe079,M. Kacher,Valour,Midfielder,23,870,1,0,12,0,3,0,8,11,5,0,0,0,80.0,2.07,0
cpl::Football_Player::634d740392524c46b4ed8a46e73d7568,O. Tabi,FC Laval,Midfielder,19,1011,0,0,4,0,1,0,17,16,6,3,5,0,76.0,1.42,0
cpl::Football_Player::d3d6fda71a9e4981abbb1d3785bc0dee,C. Trafford,Cavalry,Midfielder,24,1550,0,0,12,0,4,0,36,41,43,0,9,0,85.0,1.22,0
cpl::Football_Player::ea993e84d28d42ad8bdef8cff90110c3,J. Gagnon-Laparé,Wanderers,Midfielder,22,1719,0,1,12,0,2,1,36,34,35,0,6,1,82.0,1.1,0
cpl::Football_Player::457ece1900a444059608f022f37a3d7e,M. Simmons,Scottish,Midfielder,24,1243,0,1,2,0,1,1,17,16,29,3,2,0,73.0,1.59,0
cpl::Football_Player::025b3abb0a9541f29ad82d9cd2eb8335,J. Escalante,Cavalry,Midfielder,28,2238,4,5,29,0,14,5,26,34,38,8,7,0,75.0,1.21,0
cpl::Football_Player::c6576ae66ba14806983c2572f24851a7,M. Polisi,TSS Rovers,Midfielder,15,383,0,0,2,0,1,0,9,11,3,1,0,0,87.0,1.88,0
cpl::Football_Player::f52a8b692a56475c9c08c17236a42e86,S. Shome,Cavalry,Midfielder,24,1975,0,1,9,0,0,1,26,21,27,1,2,0,77.0,1.73,0
cpl::Football_Player::6f0bf504d0ed4e47b885d8b0f7634541,A. González,Edmonton,Midfielder,23,1307,3,2,22,0,10,2,7,11,21,9,2,0,80.0,1.45,0
cpl::Football_Player::a74dd9996ece4a5fa02827becbd4136e,M. Hernández,York,Midfielder,16,969,0,1,11,0,4,1,14,30,14,1,6,1,77.0,1.11,0
cpl::Football_Player::117bafa4d405497f95b6c84619fceace,Umaro Baldé,Pacific,Midfielder,4,59,0,0,0,0,0,0,1,2,0,0,0,0,95.0,1.53,0
cpl::Football_Player::edcf64e77c8c4771af573d1d441cc470,C. Toussaint,Pacific,Midfielder,25,1464,0,2,5,0,0,2,27,32,19,0,4,2,84.0,1.29,0
cpl::Football_Player::0affe36819cc4290bfa45fb50ea6a480,J. Carlos,Scrosoppi,Midfielder,12,441,0,1,1,0,1,1,13,10,6,0,1,0,77.0,2.04,0
cpl::Football_Player::b631f78036324d79a97a6c1cfe650d2a,P. Lamothe,Pacific,Midfielder,21,1500,2,0,18,0,6,0,25,36,18,2,5,0,88.0,1.14,0
cpl::Football_Player::6e943143672a42eeb7027b5f429d01b1,S. Rogers,Cavalry,Midfielder,3,25,0,0,0,0,0,0,1,0,0,0,0,0,75.0,0.0,0
cpl::Football_Player::0e2b6aa5fbdf49f399441b22b356d14c,K. Bekker,Forge,Midfielder,27,2148,2,6,26,0,9,6,13,14,16,2,5,2,84.0,0.88,0
cpl::Football_Player::6bda12878690489697b20b110e311ad1,E. Simmons,Vancouver FC,Midfielder,26,1858,0,1,10,0,1,1,37,24,6,0,4,0,80.0,1.31,0
cpl::Football_Player::988b8a5ef30a40dfb59c6caf0c8838d6,N. Nouajaa,Wanderers,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
cpl::Football_Player::03b82a7bcff7496e991befe586fcc2c9,S. Young,Pacific,Midfielder,25,1549,1,0,13,0,5,0,21,32,19,1,6,0,84.0,1.1,0
cpl::Football_Player::c82c8c9fc952454c80e3c45a6f9c883d,K. Rendón,Valour,Midfielder,12,643,0,0,6,0,1,0,4,8,2,0,3,0,80.0,1.54,0
cpl::Football_Player::55a8a1aea5f543dbaac3bf7112ad867b,Z. Bahous,Pacific,Midfielder,29,1600,1,1,11,0,3,1,29,22,13,1,5,0,79.0,0.96,0
cpl::Football_Player::4b6c1da63a144cfeb39e765ea2e3039c,B. McKendry,Atlético,Midfielder,27,1193,0,1,3,0,1,1,27,20,14,0,4,0,80.0,1.06,0
cpl::Football_Player::cf6994b565344d65880882873de4ede4,J. Wilson,York,Midfielder,26,2209,3,0,15,0,6,0,34,38,43,1,5,1,81.0,1.18,0
cpl::Football_Player::bcd2bd431fea40f2ad5e2cd7d95bef32,A. Sissoko,Atlético,Midfielder,30,2529,4,3,20,0,9,3,26,29,70,7,5,0,79.0,0.89,0
cpl::Football_Player::5ce4b7ace82243faa7b342751ac3a642,K. Alemán,Scrosoppi,Midfielder,25,1020,2,1,11,0,6,1,17,19,22,1,4,0,83.0,1.24,0
cpl::Football_Player::249fafa156274f4faddf87d1ab137d35,S. Triantafillou,Edmonton,Midfielder,26,1866,0,0,7,0,1,0,16,17,14,0,5,0,81.0,1.88,0
cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c,A. Achinioti-Jönsson,Forge,Midfielder,30,2700,1,0,8,0,3,0,32,24,50,0,1,0,92.0,0.9,0
cpl::Football_Player::99fb51782c7f43acaad20909bd048f31,S. Gutiérrez,York,Midfielder,16,661,2,1,16,0,7,1,21,22,8,2,2,0,70.0,0.54,0
