playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::859df54960ef45ef98a04d967baa8d96,R. Boskovic,Ottawa Fury,Defender,6,479,0,0,3,0,0,0,4,7,4,1,2,0,81.0,0.94,0
cpl::Football_Player::cfb4634bc5a0472c9999c3364d73937c,A. De Carolis,Wanderers,Defender,6,371,1,0,2,0,1,0,5,6,4,1,1,0,73.0,1.94,0
cpl::Football_Player::528b48f0adc7452ea0b4d13358823c87,N. Mavila,Cavalry,Defender,9,709,3,1,10,0,6,1,6,21,11,0,1,0,73.0,1.14,0
cpl::Football_Player::340468323f3841eb8a68a4adfc0f1a9f,J. Geffrard,Wanderers,Defender,11,945,0,0,3,0,2,0,4,8,5,0,1,0,82.0,1.43,0
cpl::Football_Player::9872d0a42804454098f50f548fd3f290,P. Schaale,Wanderers,Defender,10,900,0,0,3,0,0,0,11,9,4,0,3,0,70.0,1.1,0
cpl::Football_Player::907ea07d836b4d78a6fd1c95e7081ee6,D. Zator,Cavalry,Defender,10,900,1,0,8,0,4,0,12,9,11,0,0,0,79.0,1.1,0
cpl::Football_Player::915deb7a225b43bf96bef5524d31ce6e,D. Kinumbe,Ottawa Fury,Defender,4,208,0,0,1,0,0,0,2,1,4,2,0,0,69.0,3.03,0
cpl::Football_Player::14db7405a9c04988b3f8c7e7462ccab0,D. Northover,Cavalry,Defender,7,355,0,0,0,0,0,0,4,8,13,0,0,0,64.0,1.27,0
cpl::Football_Player::00cb81880a254ba7957fdb6ee6eec8a8,M. Trafford,Cavalry,Defender,8,720,0,0,2,0,1,0,8,8,5,0,0,0,86.0,1.0,0
cpl::Football_Player::65d2bf4929274b6f94dbbb949093b783,J. Wheeldon,Cavalry,Defender,6,459,0,0,1,0,0,0,2,10,2,0,1,1,83.0,1.18,0
cpl::Football_Player::6085b5eefe2b42e6810a6fd5a6b07c43,M. Restrepo,Wanderers,Defender,10,626,0,0,0,0,0,0,21,14,5,0,1,0,70.0,1.15,0
cpl::Football_Player::1ada73d8bf034890ab66cfbd681d0f7c,C. N'Sa,Wanderers,Defender,9,738,0,0,2,0,0,0,16,10,17,1,0,0,73.0,1.1,0
cpl::Football_Player::7efa8b85b3504cb88554fb705dcc5e4a,M. Farsi,Columbus,Defender,10,611,1,1,3,0,2,1,8,7,20,0,2,0,75.0,1.03,0
cpl::Football_Player::d1f7a45d1b0d48fa84ac505abc9a8a91,M. Temguia,Edmonton,Defender,5,450,0,0,3,0,1,0,10,13,7,0,0,0,85.0,2.2,0
cpl::Football_Player::d46e06f14e0d47e58d6f5f00e1eabfa9,T. Meilleur-Giguère,Wanderers,Defender,10,900,0,0,2,0,2,0,3,5,1,1,1,0,87.0,1.3,0
cpl::Football_Player::94c3ab35a187436683aa1e7c720bf37a,D. Lee,Wanderers,Defender,2,123,0,0,0,0,0,0,3,1,1,0,1,0,83.0,2.2,0
cpl::Football_Player::fd9ddb9946a84feeb1b5e9a8dd531160,A. Samaké,Valour,Defender,3,89,0,0,0,0,0,0,1,2,0,0,0,0,81.0,2.02,0
cpl::Football_Player::29e56c09baf549469b4a5934262e3dbf,J. Ruby,Wanderers,Defender,8,312,0,0,2,0,2,0,6,5,9,1,1,0,72.0,2.6,0
cpl::Football_Player::b81cbecf6fd24278954a45cb13e12632,K. Moses,Edmonton,Defender,4,140,0,0,3,0,0,0,1,3,1,0,0,0,81.0,3.21,0
cpl::Football_Player::edf6ef9ee973485dbbf8b5123cf83a94,K. Chung,Pacific,Defender,9,765,0,1,0,0,0,1,16,4,7,0,1,0,83.0,1.29,0
cpl::Football_Player::4d80c00c2a1f41918fca2b04e26b6034,D. Edgar,Ottawa Fury,Defender,10,900,0,0,3,0,2,0,5,12,3,0,4,0,82.0,0.8,0
cpl::Football_Player::4a6631a1e64048b684e1097684c7e88b,L. Gasparotto,York,Defender,7,630,0,0,6,0,2,0,5,5,2,0,2,0,84.0,1.0,0
cpl::Football_Player::8d7834c08c834b28a4daef064d1e6041,D. Krutzen,Forge,Defender,11,961,2,0,10,0,3,0,10,14,18,0,2,0,78.0,0.94,0
cpl::Football_Player::5dd63e2f035e4b68a7987b7a747ecd51,L. MacNaughton,,Defender,8,720,1,0,7,0,1,0,9,15,10,0,0,0,82.0,1.12,0
cpl::Football_Player::46e85b6f18f042fe837554290482828b,A. Đidić,Atlético,Defender,3,241,0,0,1,0,0,0,3,1,0,0,0,0,84.0,1.49,0
cpl::Football_Player::79d4e376b2c74a5fbcb22b655feaae51,M. de Jong,Whitecaps,Defender,7,442,0,0,6,0,2,0,9,3,4,0,0,0,73.0,1.22,0
