playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::2a0dc42d1dba4748a99b39aa920f7497,J. Brown,Cavalry,Forward,10,657,3,0,13,0,7,0,2,13,5,2,0,0,82.0,1.1,0
cpl::Football_Player::0a9e81414bcf48d388274099578d7521,M. Haber,Pacific,Forward,9,507,2,0,14,0,8,0,0,16,9,2,1,0,62.0,0.89,0
cpl::Football_Player::597b3ee52baf4b08a34e62c2a682fa7f,J. Córdova,Cavalry,Forward,4,71,1,0,2,0,1,0,0,0,1,1,0,0,63.0,0.0,0
cpl::Football_Player::ce28065c8a3b4288ba09d3e26cc5e4fd,O.Fakunle,Cavalry,Forward,1,7,0,0,1,0,0,0,0,0,0,0,0,0,67.0,0.0,0
cpl::Football_Player::c9180268639c4deab949baa197a52103,I. Sanoh,Wanderers,Forward,5,124,1,0,3,0,1,0,0,1,2,1,0,0,56.0,3.63,0
cpl::Football_Player::3b722a31cec745c3be4c298eeeee5dbc,A. Marshsall,Wanderers,Forward,11,583,0,2,7,0,2,2,6,14,17,1,1,0,75.0,1.08,0
cpl::Football_Player::91a915f684dc4b769c0cf45719f2a87e,M. Bustos,Pacific,Forward,10,849,5,3,19,0,11,3,3,12,35,2,3,0,85.0,1.17,0
cpl::Football_Player::49bd7ec1be034a33a576d28b705b3611,T. Ameobi,Edmonton,Forward,7,287,0,0,3,0,2,0,1,8,5,2,2,0,75.0,2.51,0
cpl::Football_Player::c8dce536cf5f4f02be8d2f7ba48e6929,A. Riggi,Wanderers,Forward,8,471,1,1,6,0,5,1,7,7,7,2,0,0,74.0,0.38,0
cpl::Football_Player::01e4dc8e491d40f5aa24f147fe23b6e1,Oliver Minatel,Cavalry,Forward,7,454,0,1,6,0,2,1,2,10,8,0,0,0,81.0,1.19,0
cpl::Football_Player::32ac22e018504c2f98dc4d3c64e42803,J. Hernández,Scottish,Forward,3,102,0,0,1,0,0,0,3,5,2,2,1,0,82.0,2.65,0
cpl::Football_Player::1b5317cdeb7f40dd8a7eccc207d46158,A. Pepple,Cavalry,Forward,6,67,0,0,2,0,1,0,1,2,0,1,0,0,77.0,0.0,0
cpl::Football_Player::55dd391822fa4ee9a317707f26e1ddc9,C. Nanco,Forge,Forward,5,224,2,0,3,0,3,0,3,7,2,0,0,0,70.0,1.21,0
cpl::Football_Player::a0c39d4aadea4642ba22743b4c68b23a,E. Ongaro,Edmonton,Forward,7,480,3,0,8,0,3,0,1,4,5,2,0,0,77.0,1.69,0
cpl::Football_Player::6a7b9320483e458792ebd1f94a00baf0,C. Bent,Wanderers,Forward,10,500,1,0,3,0,1,0,3,9,14,5,0,0,63.0,1.08,0
cpl::Football_Player::982a96a792e04404805090a131cb95df,T. Campbell,Vancouver FC,Forward,10,480,1,1,10,0,3,1,4,13,3,3,0,0,67.0,1.12,0
cpl::Football_Player::99a91175ff8e476ca86125ecab87f00b,Mo Babouli,Forge,Forward,10,455,1,2,5,0,4,2,3,9,8,4,0,0,69.0,0.59,0
cpl::Football_Player::56a1c426e347456e875c52b4e799f2ea,N. Pasquotti,Cavalry,Forward,8,537,0,0,6,0,2,0,7,6,11,2,0,0,77.0,0.84,0
cpl::Football_Player::751e68a27d374a64b9646c08102f6daf,João Morelli,Wanderers,Forward,9,561,4,1,11,0,7,1,2,13,12,1,0,1,70.0,1.76,0
cpl::Football_Player::44fb3fb969744342bac4a9ebfa751e21,G. Wiethaeuper-Balbinotti,Ottawa Fury,Forward,6,203,0,0,5,0,1,0,2,8,3,3,1,0,62.0,1.33,0
cpl::Football_Player::c45fe355ff194e53bcb0907c5b08814c,J. Kotsopoulos,Forge,Forward,1,28,0,0,0,0,0,0,2,0,0,0,0,0,58.0,0.0,0
cpl::Football_Player::2a2dcc3d5b52458b87405d47509cd686,M. Zajac,Forge,Forward,4,237,0,0,3,0,1,0,4,6,5,2,2,0,80.0,1.52,0
cpl::Football_Player::06a7cbbdbcac4641ac0ddc55b4c05117,M. Dyer,Vancouver FC,Forward,6,272,1,0,8,0,2,0,3,10,12,2,0,0,81.0,0.66,0
cpl::Football_Player::48e58b3fa72f4f24ab03510e47ad2e6b,D. Fordyce,Valour,Forward,5,164,1,0,4,0,3,0,0,5,3,1,0,0,63.0,2.74,0
cpl::Football_Player::ba843603344f42e9b03b3fd297b2da9d,Álvaro Rivero,York,Forward,7,359,1,0,5,0,2,0,0,5,10,0,0,0,88.0,1.5,0
cpl::Football_Player::cd1e9f98817545a8904ffd9556963f44,A. Díaz,Vancouver FC,Forward,10,609,3,2,13,0,8,2,1,4,5,3,0,0,70.0,1.63,0
cpl::Football_Player::de9e3e4ab3ca41d7ac62dcd9bc72970a,H. Boakai,Edmonton,Forward,6,309,0,0,3,0,2,0,3,5,5,0,0,0,89.0,1.46,0
cpl::Football_Player::337fb1e9243f40eeacf44fe5123d4089,A. Novak,Forge,Forward,9,381,2,0,8,0,6,0,3,4,9,1,0,0,81.0,0.94,0
cpl::Football_Player::a3da6283599541849144b5b108dbc67b,K. Porter,Ottawa Fury,Forward,6,372,1,1,3,0,2,1,2,4,4,1,0,0,86.0,0.97,0
cpl::Football_Player::3a40cda943824387943792e6a62fee0f,R. Telfer,Wanderers,Forward,7,620,0,0,14,0,7,0,7,10,15,2,3,0,73.0,0.87,0
cpl::Football_Player::df0de20d12274b3d9549323a3547572b,J. Heard,Pacific,Forward,5,218,1,1,5,0,1,1,1,8,9,0,1,0,72.0,1.65,0
cpl::Football_Player::04cd976c461148d79ab8cafc0bf69c62,D. Choinière,Forge,Forward,11,598,1,1,4,0,3,1,5,6,14,4,0,0,81.0,0.9,0
cpl::Football_Player::0e88e595803f478f818bcdc64bd36b6d,M. Kourouma,Wanderers,Forward,7,617,1,0,11,0,6,0,7,12,12,0,1,0,78.0,1.6,0
cpl::Football_Player::3a8819a7f06c45a38e951d42d8743025,M. Shaw,Cavalry,Forward,7,595,2,1,12,0,6,1,3,17,19,5,0,0,81.0,1.51,0
cpl::Football_Player::5113470034d346478fcfd237037f2971,I. Halley,York,Forward,4,157,0,0,2,0,2,0,1,5,7,2,0,0,75.0,1.15,0
cpl::Football_Player::1ece129a4fee46d18322a9312200459f,A. Ricci,Vancouver FC,Forward,6,365,0,0,8,0,5,0,5,9,9,1,3,0,59.0,0.99,0
cpl::Football_Player::9577790c0cf54495843d303127992c4d,S. Hundal,Valour,Forward,6,232,0,2,4,0,4,2,0,7,0,3,1,0,77.0,1.55,0
cpl::Football_Player::b65c33938a67445fa2637462ffcf71e2,P. Sabak,Forge,Forward,11,752,2,2,11,0,3,2,4,14,21,1,1,0,78.0,0.72,0
cpl::Football_Player::636928fc1d194bd798a9ac73f086a9ba,S. Antwi,Valour,Forward,4,80,0,0,1,0,0,0,3,3,1,0,0,0,75.0,0.0,0
cpl::Football_Player::52ee822ec2ea43bc844f27d96e16334b,Víctor Blasco,Pacific,Forward,10,644,2,2,11,0,3,2,11,12,14,3,2,0,75.0,0.98,0
