playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::b78b9cf10b374d23824749c6e410990c,E. Adekugbe,York,Midfielder,9,638,1,1,5,0,4,1,9,7,20,1,2,0,86,1.41,0
cpl::Football_Player::9a6571b3737143b79989244b08fbd50d,S. Camargo,Cavalry,Midfielder,2,130,1,0,3,0,1,0,0,1,1,1,1,0,80,1.38,0
cpl::Football_Player::c3a357530ca345ee801114eea7ffc636,Soria,Edmonton,Midfielder,7,630,0,0,1,0,0,0,5,7,4,2,1,0,82,2.0,0
cpl::Football_Player::dd4f4492d8c24742a0221478a33737d8,Son Yong-Chan,Edmonton,Midfielder,4,303,0,0,0,0,0,0,2,8,3,0,0,0,83,1.78,0
cpl::Football_Player::f77e3806065040479a624ed8a41a3971,S. Firth,Wanderers,Midfielder,2,98,0,0,0,0,0,0,1,0,3,0,0,0,87,5.51,0
cpl::Football_Player::669592045b2e47929154e4fd2bbb5bdc,E. Zetterberg,Edmonton,Midfielder,7,465,0,0,4,0,1,0,4,6,7,0,2,0,80,2.52,0
cpl::Football_Player::eab0ad0262a74f8b93974c91a77742b0,L. Béland-Goyette,Montréal,Midfielder,10,648,0,0,2,0,0,0,9,23,3,0,3,0,79,1.81,0
cpl::Football_Player::0193e9b2803b43938a676ad9232cede8,N. Verhoeven,Atlético,Midfielder,3,173,0,0,2,0,2,0,3,2,1,2,0,0,74,1.56,0
cpl::Football_Player::0e2b6aa5fbdf49f399441b22b356d14c,K. Bekker,Forge,Midfielder,11,879,3,1,9,0,5,1,6,14,15,0,1,0,77,0.92,0
cpl::Football_Player::03b82a7bcff7496e991befe586fcc2c9,S. Young,Pacific,Midfielder,9,462,0,0,2,0,1,0,7,12,5,1,1,0,83,0.97,0
cpl::Football_Player::6bda12878690489697b20b110e311ad1,E. Simmons,Vancouver FC,Midfielder,10,627,0,0,1,0,0,0,6,9,1,0,1,0,82,1.0,0
