playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::91fa3243affb434d91d89ae9820791de,N. Apostol,TSS Rovers,Defender,7,301,0,1,1,0,0,1,10,10,9,1,1,0,72,1.2,0
cpl::Football_Player::c314ef65be194ced895c50a72967def8,D. Klomp,Cavalry,Defender,24,2176,3,0,14,0,6,0,31,27,14,0,4,0,83,1.12,0
cpl::Football_Player::04974dd93657419b8440025eca4e2ef0,T. Field,Cavalry,Defender,12,587,0,1,0,0,0,1,15,3,2,0,0,0,75,1.07,0
cpl::Football_Player::29e56c09baf549469b4a5934262e3dbf,J. Ruby,Wanderers,Defender,16,1246,1,1,4,0,2,1,35,9,12,1,2,0,86,1.3,0
cpl::Football_Player::f3ffebc2701c4e608f9f5055198c5ec9,D. Norman,Vancouver FC,Defender,24,1804,1,1,11,0,6,1,31,25,17,0,7,0,81,1.25,0
cpl::Football_Player::41f23e52e26541bca62d8378fafc1953,F. Aird,Cavalry,Defender,28,2206,5,5,27,0,11,5,33,33,11,2,3,0,69,1.47,0
cpl::Football_Player::00cb81880a254ba7957fdb6ee6eec8a8,M. Trafford,Cavalry,Defender,14,1182,0,0,7,0,1,0,7,9,9,1,3,0,84,0.76,0
cpl::Football_Player::b131e479cff24c5f99ea9187ee25f527,Eriks Santos,Wanderers,Defender,18,1427,0,0,4,0,1,0,22,21,9,0,2,1,80,1.32,0
cpl::Football_Player::3d491de2b55343c2990181e2b04da353,M. Doner,York,Defender,20,1776,0,3,5,0,4,3,21,9,49,1,3,0,87,1.32,0
cpl::Football_Player::9872d0a42804454098f50f548fd3f290,P. Schaale,Wanderers,Defender,21,1679,1,1,17,0,6,1,9,18,3,4,4,0,75,1.29,0
cpl::Football_Player::7efa8b85b3504cb88554fb705dcc5e4a,M. Farsi,Columbus,Defender,26,2257,1,2,14,0,7,2,28,27,36,8,6,0,81,1.12,0
cpl::Football_Player::a766cd1734d84307a9ace241b64d8ed2,J. Esua,Edmonton,Defender,19,1101,1,0,9,0,4,0,10,7,7,2,1,1,79,1.31,0
cpl::Football_Player::4da84a61c12443e48f9c5d0dd8f2f3ae,K. Dada-Luke,Vancouver FC,Defender,21,971,0,2,2,0,1,2,17,11,25,0,2,0,81,1.2,0
cpl::Football_Player::edf6ef9ee973485dbbf8b5123cf83a94,K. Chung,Pacific,Defender,26,2279,1,1,4,0,2,1,40,26,18,0,3,0,88,1.07,0
cpl::Football_Player::340468323f3841eb8a68a4adfc0f1a9f,J. Geffrard,Wanderers,Defender,11,990,0,0,0,0,0,0,9,6,7,0,2,0,89,1.55,0
cpl::Football_Player::5083b85e1cfb4d958a5c46dac093d7be,S. Mabussi,Edmonton,Defender,11,474,0,0,1,0,1,0,7,12,2,3,4,0,80,0.95,0
cpl::Football_Player::ecffbc0545a44299817cde31dc6d3aa8,D. Kaiser,Cavalry,Defender,11,492,0,0,0,0,0,0,4,5,3,0,1,0,80,0.73,0
cpl::Football_Player::64d83d0e50144cfa8a37d01e8c3108b5,H. Gorskie,Edmonton,Defender,25,2045,0,1,7,0,2,1,17,37,38,0,4,0,83,1.5,0
cpl::Football_Player::d1f7a45d1b0d48fa84ac505abc9a8a91,M. Temguia,Edmonton,Defender,21,1409,0,0,4,0,2,0,26,30,9,0,4,0,83,1.28,0
cpl::Football_Player::14ffd419a4894388b826c6cdf1faa89a,D. Jaković,Forge,Defender,5,403,0,0,1,0,0,0,1,5,4,0,2,0,84,0.67,0
cpl::Football_Player::8d7834c08c834b28a4daef064d1e6041,D. Krutzen,Forge,Defender,20,1695,3,1,12,0,6,1,22,14,5,1,2,0,86,0.96,0
cpl::Football_Player::91a17f348e28482898c8dbc5480ad503,P. Amedume,Pacific,Defender,2,18,0,0,0,0,0,0,0,1,0,0,0,0,63,5.0,0
cpl::Football_Player::870c9f9099fd40cab60d803b7adf2827,R. Reyes,Valour,Defender,17,1086,0,0,6,0,1,0,20,10,7,1,3,0,88,1.41,0
cpl::Football_Player::aafb864d45ab43e8849d3cff096d5c07,J. Dixon,Ottawa Fury,Defender,26,1927,0,0,4,0,1,0,31,56,13,0,6,1,86,1.12,0
cpl::Football_Player::efac3c458eb94aa3aa05a38036da1ee7,C. Lee,Pacific,Defender,3,237,0,0,0,0,0,0,3,3,0,0,1,0,82,0.76,0
cpl::Football_Player::dbae960e1a0c4c7ba2104c9a904d6ab5,K. Awuah,Forge,Defender,26,2177,1,3,5,0,2,3,30,32,57,4,4,0,80,0.87,0
cpl::Football_Player::b43d9617e62047d7aa28b50e96d6379b,D. Beckie,Atlético,Defender,18,1589,1,1,8,0,4,1,22,16,15,1,8,0,84,1.7,0
cpl::Football_Player::9fa7232743934bf2a022c4fe6a62c1b6,J. Haynes,Valour,Defender,26,1938,0,1,2,0,1,1,37,34,26,0,4,0,76,1.16,0
cpl::Football_Player::1669b606345b4345b00d59de89c1c7eb,D. Abzi,Blainville,Defender,26,2307,6,3,33,0,16,3,35,28,39,3,9,0,74,1.56,0
cpl::Football_Player::b6597676a5e34edf998b3ef92a3c14d0,M. Campagna,Vancouver FC,Defender,5,288,0,0,0,0,0,0,3,4,3,0,1,0,86,1.88,0
cpl::Football_Player::1ada73d8bf034890ab66cfbd681d0f7c,C. N'Sa,Wanderers,Defender,27,2354,1,0,15,0,3,0,39,42,53,2,7,0,84,1.41,0
cpl::Football_Player::44afcd7647a14ba2bf6a8e37869641fe,Anthony Mikhael,Valour,Defender,12,562,0,0,1,0,0,0,7,5,4,0,3,0,79,1.44,0
cpl::Football_Player::1d6aeac7e2534a41a2bc992852faaf23,A. Soto,Valour,Defender,5,286,0,0,0,0,0,0,2,4,0,0,1,0,83,1.26,0
cpl::Football_Player::0437038bc2254a4a93d8d74d4278c768,M. Mohsen,Forge,Defender,8,230,0,0,1,0,0,0,2,3,1,0,0,0,77,0.78,0
cpl::Football_Player::fd9ddb9946a84feeb1b5e9a8dd531160,A. Samaké,Valour,Defender,25,2169,0,1,7,0,2,1,22,25,13,1,3,0,89,1.16,0
cpl::Football_Player::270eb17b99df4a3ea3a65d918a9c385e,A. Bouka,Valour,Defender,14,1007,0,0,1,0,0,0,11,11,17,1,1,0,76,1.61,0
cpl::Football_Player::5dd63e2f035e4b68a7987b7a747ecd51,L. MacNaughton,,Defender,26,2340,2,1,18,0,6,1,10,22,18,2,8,0,86,1.15,0
cpl::Football_Player::6085b5eefe2b42e6810a6fd5a6b07c43,M. Restrepo,Wanderers,Defender,12,877,0,0,0,0,0,0,8,10,3,0,2,0,85,1.13,0
cpl::Football_Player::dbd655d062324c56adb1ab7d3e8ef373,M. Arnone,Atlético,Defender,14,1146,1,0,5,0,1,0,9,6,5,0,0,1,90,1.65,0
cpl::Football_Player::b7be868af7ae4f3580a90e50f070a34d,S. Frias,Forge,Defender,2,20,0,0,0,0,0,0,0,1,1,0,0,0,82,0.0,0
cpl::Football_Player::641f7b9c46174788a95afabcf0167f13,M. Cornwall,Atlético,Defender,2,58,0,0,1,0,1,0,0,1,0,0,0,0,68,3.1,0
