playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::01e4dc8e491d40f5aa24f147fe23b6e1,Oliver Minatel,Cavalry,Forward,3,121,0,0,1,0,0,0,0,3,5,0,1,0,75.0,1.49,0
cpl::Football_Player::b080433050c64c398039e681629cfdeb,R. Davis,Wanderers,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
cpl::Football_Player::4bc03a5de42b4871860e6f88fe33f12b,Richard Luca,Cavalry,Forward,18,798,1,0,18,0,5,0,12,10,25,1,1,0,68.0,1.02,0
cpl::Football_Player::c49f24c9d41145ed9c4bf9758b0ed6f9,J. Mason,Cavalry,Forward,15,1088,7,0,32,0,22,0,5,23,8,19,2,0,80.0,1.32,0
cpl::Football_Player::337fb1e9243f40eeacf44fe5123d4089,A. Novak,Forge,Forward,25,1320,4,2,25,0,15,2,4,12,16,11,6,0,75.0,0.82,0
cpl::Football_Player::a0c39d4aadea4642ba22743b4c68b23a,E. Ongaro,Edmonton,Forward,27,1920,12,2,43,0,28,2,6,29,14,11,2,0,69.0,1.5,0
cpl::Football_Player::a3da6283599541849144b5b108dbc67b,K. Porter,Ottawa Fury,Forward,19,652,1,0,7,0,4,0,7,8,11,1,0,0,74.0,1.24,0
cpl::Football_Player::91a915f684dc4b769c0cf45719f2a87e,M. Bustos,Pacific,Forward,17,1352,7,6,33,0,19,6,14,19,35,5,3,0,87.0,1.0,0
cpl::Football_Player::982a96a792e04404805090a131cb95df,T. Campbell,Vancouver FC,Forward,28,1837,11,5,39,0,18,5,22,24,17,9,3,0,74.0,1.18,0
cpl::Football_Player::2d8cec65b1bb4b20872a91ac73584d29,A. Musse,Cavalry,Forward,9,389,2,0,14,0,5,0,6,7,8,0,0,0,78.0,0.69,0
cpl::Football_Player::32ac22e018504c2f98dc4d3c64e42803,J. Hernández,Scottish,Forward,17,413,0,0,10,0,4,0,3,9,14,1,1,0,76.0,0.65,0
cpl::Football_Player::4a3790eed104423781b21001cbce69e9,A. García,Wanderers,Forward,22,1063,2,1,15,0,6,1,2,13,16,20,3,0,87.0,1.52,0
cpl::Football_Player::751e68a27d374a64b9646c08102f6daf,João Morelli,Wanderers,Forward,21,1470,14,0,49,0,31,0,9,19,24,6,6,0,82.0,1.16,0
cpl::Football_Player::a96eb3025e23467ca33277ae9c86f369,S. Salter,Atlético,Forward,21,811,3,1,16,0,11,1,7,15,8,3,0,0,74.0,1.0,0
cpl::Football_Player::6a7b9320483e458792ebd1f94a00baf0,C. Bent,Wanderers,Forward,19,1188,0,3,12,0,5,3,15,14,29,9,3,0,78.0,1.14,0
cpl::Football_Player::6b48ced0357d4fd4a50e8ba77b6784d8,T. Warschewski,Cavalry,Forward,26,1901,4,7,38,0,15,7,17,25,66,6,1,0,78.0,1.47,0
cpl::Football_Player::cd1e9f98817545a8904ffd9556963f44,A. Díaz,Vancouver FC,Forward,28,2005,10,4,40,0,20,4,2,24,14,18,1,0,72.0,1.26,0
cpl::Football_Player::52ee822ec2ea43bc844f27d96e16334b,Víctor Blasco,Pacific,Forward,14,555,1,1,24,0,10,1,3,14,15,0,2,0,78.0,1.46,0
cpl::Football_Player::c693d6bdd4234e0b8a91e6eb2480623b,S. Karajovanovic,Wanderers,Forward,26,1506,1,2,34,0,21,2,13,14,19,13,3,0,70.0,1.02,0
cpl::Football_Player::c8dce536cf5f4f02be8d2f7ba48e6929,A. Riggi,Wanderers,Forward,16,621,0,0,6,0,5,0,5,12,13,4,3,0,76.0,1.59,0
cpl::Football_Player::0d635e29400f481397a6663825364631,S. Castello,Forge,Forward,6,98,1,0,1,0,1,0,3,4,4,0,0,0,63.0,0.0,0
cpl::Football_Player::3b722a31cec745c3be4c298eeeee5dbc,A. Marshsall,Wanderers,Forward,22,1220,2,1,22,0,11,1,23,27,20,0,1,0,77.0,1.03,0
cpl::Football_Player::b65c33938a67445fa2637462ffcf71e2,P. Sabak,Forge,Forward,23,1330,1,2,14,0,8,2,12,20,37,2,5,0,81.0,1.02,0
cpl::Football_Player::6a1013ca271947ac875aac6bfbc1af8c,G. Boakye,Edmonton,Forward,7,154,0,0,0,0,0,0,3,3,4,0,0,0,59.0,1.75,0
cpl::Football_Player::b6e0959d70364c6b9ee5471c88682896,J. George,Scrosoppi,Forward,1,84,0,0,0,0,0,0,0,0,0,0,0,0,92.0,3.21,0
cpl::Football_Player::561b87875f804f3f815786e5ab7d41e0,R. Núñez,Atlético,Forward,25,1635,0,0,25,0,11,0,12,14,30,6,3,0,82.0,1.71,0
cpl::Football_Player::9c4a3a1059ee4e1ea9d4baaea8054cdf,O. Ramírez,York,Forward,18,585,1,1,7,0,5,1,4,14,3,10,2,0,74.0,1.54,0
cpl::Football_Player::de549c68a1d1413b862e2a8196868dc7,E. Welshman,Forge,Forward,11,546,0,0,11,0,3,0,1,18,4,8,1,0,69.0,0.82,0
cpl::Football_Player::1ece129a4fee46d18322a9312200459f,A. Ricci,Vancouver FC,Forward,16,1187,5,2,27,0,14,2,9,22,24,6,4,0,66.0,1.06,0
cpl::Football_Player::7d39ce2d96684e53ba7bf8361aee3bac,W. Pacius,,Forward,20,1107,7,2,18,0,10,2,7,15,10,7,1,0,78.0,0.98,0
cpl::Football_Player::fba3134832e445b5824410919421b981,M. Petrasso,Montréal,Forward,22,1518,3,5,28,0,19,5,13,15,26,13,3,0,80.0,1.42,0
cpl::Football_Player::397fbf5a532149178d3600d8bdff14f4,R. Cleary,Forge,Forward,5,51,0,0,1,0,1,0,1,3,0,0,0,0,100.0,3.53,0
cpl::Football_Player::5ef99fef251b4a4cac0986278578d481,S. Lawson,Atlético,Forward,8,301,0,0,0,0,0,0,0,4,5,1,1,0,79.0,1.2,0
cpl::Football_Player::3a8819a7f06c45a38e951d42d8743025,M. Shaw,Cavalry,Forward,28,2004,10,1,38,0,20,1,18,39,34,8,0,0,75.0,1.62,0
cpl::Football_Player::697c5074a60947ab8c7cc589ade62981,Gianni dos Santos,Pacific,Forward,17,384,1,2,8,0,4,2,6,8,11,4,2,2,77.0,1.88,0
cpl::Football_Player::c24ec664340a41c1b090dd649af7cd99,J. Ulbricht,York,Forward,19,1010,3,3,20,0,10,3,5,19,7,5,2,0,77.0,0.98,0
cpl::Football_Player::99a91175ff8e476ca86125ecab87f00b,Mo Babouli,Forge,Forward,22,1503,7,2,41,0,19,2,7,12,21,7,5,0,76.0,0.54,0
cpl::Football_Player::f89eced1f7fe40a287e2234ee0392729,N. Hamilton,York,Forward,15,413,0,0,8,0,4,0,0,6,1,2,0,0,77.0,0.65,0
cpl::Football_Player::9d35a7c676f548c29a244a6c1c1b6153,J. Mercure,Atlético,Forward,5,58,0,0,0,0,0,0,0,4,1,0,0,0,59.0,1.55,0
cpl::Football_Player::2e4482a25fcd459a992030c983aa3254,W. Akio,Cavalry,Forward,28,1814,8,3,37,0,23,3,9,23,14,13,1,0,76.0,1.39,0
cpl::Football_Player::48e58b3fa72f4f24ab03510e47ad2e6b,D. Fordyce,Valour,Forward,26,1886,2,2,9,0,5,2,25,28,25,2,5,0,82.0,1.15,0
cpl::Football_Player::df0de20d12274b3d9549323a3547572b,J. Heard,Pacific,Forward,26,1624,4,1,17,0,9,1,12,36,42,12,10,0,77.0,1.0,0
cpl::Football_Player::ba843603344f42e9b03b3fd297b2da9d,Álvaro Rivero,York,Forward,25,1313,6,2,29,0,18,2,7,17,14,1,1,1,87.0,1.37,0
cpl::Football_Player::5cfbd430bf3149adb654cadb7f68b7c2,L. Wright,TSS Rovers,Forward,27,1334,6,3,29,0,14,3,8,35,8,5,1,0,71.0,1.69,0
cpl::Football_Player::0c2b522db5ff49c4a7aad6340a469546,J. Ulloa,Valour,Forward,22,835,0,1,7,0,1,1,8,20,24,5,5,0,82.0,1.08,0
cpl::Football_Player::31115f5131a74426969fd8573af2d8b9,B. Wright,Forge,Forward,23,1164,6,1,17,0,13,1,1,11,18,12,0,0,70.0,1.86,0
cpl::Football_Player::06a7cbbdbcac4641ac0ddc55b4c05117,M. Dyer,Vancouver FC,Forward,27,1650,9,4,41,0,21,4,20,30,42,3,6,0,81.0,1.47,0
cpl::Football_Player::0d17a32998794c7a8e41e5eaa0edece0,Raúl Uche,Atlético,Forward,11,510,0,0,5,0,3,0,6,6,11,5,0,0,78.0,2.29,0
cpl::Football_Player::04cd976c461148d79ab8cafc0bf69c62,D. Choinière,Forge,Forward,23,1188,4,1,14,0,10,1,11,16,20,2,0,0,84.0,0.91,0
cpl::Football_Player::3a40cda943824387943792e6a62fee0f,R. Telfer,Wanderers,Forward,16,1376,3,0,17,0,8,0,7,18,35,4,4,1,81.0,1.64,0
cpl::Football_Player::4677d430ee38453e9a424d4e8c1cc96b,T. Borges,Forge,Forward,26,1528,3,6,33,0,18,6,23,35,44,11,5,0,82.0,0.88,0
cpl::Football_Player::48fe610550bc4e00a8782f2403b6ca25,A. Selemani,Cavalry,Forward,17,518,3,2,12,0,7,2,2,23,7,5,1,0,80.0,1.22,0
cpl::Football_Player::55dd391822fa4ee9a317707f26e1ddc9,C. Nanco,Forge,Forward,19,813,2,0,15,0,8,0,4,13,17,5,4,0,85.0,0.55,0
cpl::Football_Player::5113470034d346478fcfd237037f2971,I. Halley,York,Forward,15,415,0,1,3,0,1,1,2,4,19,0,1,0,76.0,2.39,0
cpl::Football_Player::92feba9457f14d5a9a489db700778c7d,M. Umar,Edmonton,Forward,1,45,0,0,0,0,0,0,1,1,2,0,0,0,85.0,2.0,0
