playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::65d2bf4929274b6f94dbbb949093b783,J. Wheeldon,Cavalry,Defender,18,1497,0,0,5,0,0,0,12,12,6,0,6,0,83,0.54,0
cpl::Football_Player::14db7405a9c04988b3f8c7e7462ccab0,D. Northover,Cavalry,Defender,8,609,0,0,1,0,0,0,13,13,14,0,2,1,70,0.74,0
cpl::Football_Player::528b48f0adc7452ea0b4d13358823c87,N. Mavila,Cavalry,Defender,25,2021,0,1,1,0,0,1,35,38,24,0,2,1,70,0.58,0
cpl::Football_Player::234ca5343e0d44918510c10cf986e4a0,N. Langwa,Wanderers,Defender,19,1281,0,0,6,0,3,0,47,22,23,1,3,0,70,1.12,0
cpl::Football_Player::59c28751c88d4dd894cf8907e233745f,J. Waterman,Montréal,Defender,22,1719,1,2,6,0,4,2,23,19,35,0,4,1,85,0.68,0
cpl::Football_Player::347018d8099042888a6076bd0cea0744,K. Çela,Forge,Defender,8,326,1,1,1,0,1,1,7,6,9,1,0,0,69,1.93,0
cpl::Football_Player::94c3ab35a187436683aa1e7c720bf37a,D. Lee,Wanderers,Defender,8,678,0,0,0,0,0,0,24,18,4,0,1,0,78,1.19,0
cpl::Football_Player::a766cd1734d84307a9ace241b64d8ed2,J. Esua,Edmonton,Defender,21,1799,0,2,5,0,1,2,19,20,20,5,2,1,75,1.0,0
cpl::Football_Player::b81cbecf6fd24278954a45cb13e12632,K. Moses,Edmonton,Defender,15,970,0,0,9,0,1,0,14,12,20,0,2,0,76,1.21,0
cpl::Football_Player::9872d0a42804454098f50f548fd3f290,P. Schaale,Wanderers,Defender,17,1530,1,1,18,0,5,1,31,20,6,1,2,0,69,1.35,0
cpl::Football_Player::7f9d7ceadf134f2c802fd76f21983b46,B. Smith,Pacific,Defender,24,2004,0,5,7,0,0,5,24,23,24,3,3,0,82,1.84,0
cpl::Football_Player::d1f7a45d1b0d48fa84ac505abc9a8a91,M. Temguia,Edmonton,Defender,27,2430,2,0,10,0,5,0,42,40,29,0,3,0,80,1.11,0
cpl::Football_Player::5dd63e2f035e4b68a7987b7a747ecd51,L. MacNaughton,,Defender,20,1704,2,0,5,0,2,0,15,24,12,0,2,1,86,1.37,0
cpl::Football_Player::46e85b6f18f042fe837554290482828b,A. Đidić,Atlético,Defender,19,1650,0,3,21,0,10,3,20,21,3,2,3,0,82,1.36,0
cpl::Football_Player::907ea07d836b4d78a6fd1c95e7081ee6,D. Zator,Cavalry,Defender,29,2425,1,2,22,0,7,2,30,17,20,2,0,0,73,0.63,0
cpl::Football_Player::4d80c00c2a1f41918fca2b04e26b6034,D. Edgar,Ottawa Fury,Defender,11,834,1,0,6,0,2,0,6,5,3,1,1,0,84,0.54,0
cpl::Football_Player::d598a27118fe42fc8fe3eb136ed467f5,S. Furlano,York,Defender,15,517,0,2,3,0,1,2,9,15,4,0,4,0,75,1.91,0
cpl::Football_Player::b4a511eace5b4ce18a0944a6b52b4827,H. Starostzik,Pacific,Defender,15,1161,1,0,5,0,2,0,11,18,5,1,3,0,87,1.63,0
cpl::Football_Player::8d7834c08c834b28a4daef064d1e6041,D. Krutzen,Forge,Defender,28,2471,1,2,11,0,5,2,24,23,13,0,0,0,78,0.87,0
cpl::Football_Player::0437038bc2254a4a93d8d74d4278c768,M. Mohsen,Forge,Defender,9,363,1,0,4,0,1,0,5,9,8,0,2,0,79,0.5,0
cpl::Football_Player::687b021f2aa1423b944774a5ae2266fa,B. Owundi,Forge,Defender,22,1757,0,0,2,0,0,0,14,17,12,1,4,0,83,1.02,0
cpl::Football_Player::ebfeb9e972964148846658f57142a247,R. Thompson,York,Defender,10,802,0,0,3,0,0,0,5,9,3,0,1,0,85,1.01,0
cpl::Football_Player::4a6631a1e64048b684e1097684c7e88b,L. Gasparotto,York,Defender,28,2520,1,0,14,0,5,0,24,22,24,2,3,0,84,1.32,0
cpl::Football_Player::9a8c1c58c9cb40d0be8f066b13f3ba47,J. Murrell,Valour,Defender,20,1784,0,0,4,0,3,0,27,30,14,0,4,1,77,1.66,0
cpl::Football_Player::6981001867ad42d9b6d9bfc216cfab71,D. Samuel,Forge,Defender,26,2134,0,1,2,0,0,1,29,43,39,0,5,1,79,0.8,0
cpl::Football_Player::e7267f506fe9420b8f1529ab912d5a08,M. Hamilton,Cavalry,Defender,18,1275,0,2,4,0,1,2,19,13,12,4,1,0,85,0.85,0
cpl::Football_Player::cfb4634bc5a0472c9999c3364d73937c,A. De Carolis,Wanderers,Defender,17,1246,0,0,10,0,4,0,21,14,7,1,3,0,71,1.52,0
cpl::Football_Player::dbae960e1a0c4c7ba2104c9a904d6ab5,K. Awuah,Forge,Defender,27,1975,0,5,5,0,1,5,43,30,22,3,4,0,80,0.82,0
cpl::Football_Player::1669b606345b4345b00d59de89c1c7eb,D. Abzi,Blainville,Defender,24,1814,1,4,23,0,10,4,33,29,16,2,3,0,79,1.09,0
cpl::Football_Player::e326249a70d9429ea38dcc14c036af89,M. Arguiñarena,Valour,Defender,18,1534,0,1,8,0,2,1,34,14,32,0,1,0,76,1.53,0
cpl::Football_Player::3a791a9f988043e08a7483106f92c55c,O.Oyegunle,Forge,Defender,1,38,0,0,0,0,0,0,0,1,1,0,0,0,58,7.11,0
cpl::Football_Player::d673ea35954f4370867e9810a89a6902,C. Hocine,Wanderers,Defender,4,352,0,0,0,0,0,0,2,7,1,0,1,0,75,1.28,0
cpl::Football_Player::3d491de2b55343c2990181e2b04da353,M. Doner,York,Defender,25,2250,1,4,2,0,1,4,29,23,35,2,3,0,81,1.28,0
cpl::Football_Player::edf6ef9ee973485dbbf8b5123cf83a94,K. Chung,Pacific,Defender,24,2032,1,2,3,0,1,2,41,16,10,2,2,0,79,1.51,0
cpl::Football_Player::3aaf25a2f090423584d5e9d492e5ca42,J. Grant,Atlético,Defender,13,882,1,1,5,0,2,1,23,15,7,0,2,0,70,0.82,0
cpl::Football_Player::fd03514f423c4cf7b7ff6fc6b9d2536d,Y. Le Bourhis,Valour,Defender,8,720,0,0,2,0,1,0,11,9,2,0,0,0,67,2.5,0
cpl::Football_Player::1ada73d8bf034890ab66cfbd681d0f7c,C. N'Sa,Wanderers,Defender,18,1217,0,0,3,0,1,0,18,18,17,0,5,0,75,1.41,0
cpl::Football_Player::79d4e376b2c74a5fbcb22b655feaae51,M. de Jong,Whitecaps,Defender,2,50,0,0,1,0,1,0,3,0,1,0,0,0,74,0.0,0
cpl::Football_Player::f3ffebc2701c4e608f9f5055198c5ec9,D. Norman,Vancouver FC,Defender,8,596,0,0,2,0,1,0,10,8,14,0,2,0,80,0.91,0
cpl::Football_Player::01179385d09040b79164226957eb778f,A. Mitter,Valour,Defender,20,1513,0,0,1,0,0,0,13,23,7,0,4,1,84,2.02,0
cpl::Football_Player::00cb81880a254ba7957fdb6ee6eec8a8,M. Trafford,Cavalry,Defender,22,1891,0,0,6,0,3,0,6,12,12,2,2,0,84,0.86,0
cpl::Football_Player::692d080cedb84a6cb1424836cc8e6daf,R. Garcia,Valour,Defender,16,943,0,2,1,0,1,2,36,16,8,1,2,0,78,2.0,0
cpl::Football_Player::404c4508ec1c45d681dab3a6b1037802,S. Thomas,Valour,Defender,22,1894,0,1,12,0,3,1,23,24,7,1,5,0,79,1.62,0
