playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::2a0dc42d1dba4748a99b39aa920f7497,J. Brown,Cavalry,Forward,25,1397,4,1,29,0,13,1,15,34,7,5,2,0,77,0.52,0
cpl::Football_Player::ce28065c8a3b4288ba09d3e26cc5e4fd,O.Fakunle,Cavalry,Forward,2,9,0,0,0,0,0,0,0,0,0,0,0,0,100,10.0,0
cpl::Football_Player::56a1c426e347456e875c52b4e799f2ea,N. Pasquotti,Cavalry,Forward,25,1943,5,3,29,0,16,3,29,45,49,2,6,0,73,0.56,0
cpl::Football_Player::4a3790eed104423781b21001cbce69e9,A. García,Wanderers,Forward,24,2082,7,0,35,0,23,0,17,34,45,16,2,0,80,1.04,0
cpl::Football_Player::c314da16fc8343e497f44db035a9f413,D. Malonga,Cavalry,Forward,26,1961,11,1,59,0,34,1,1,11,35,16,1,0,82,0.78,0
cpl::Football_Player::1b5317cdeb7f40dd8a7eccc207d46158,A. Pepple,Cavalry,Forward,8,61,0,0,0,0,0,0,1,4,1,2,0,0,78,1.48,0
cpl::Football_Player::49bd7ec1be034a33a576d28b705b3611,T. Ameobi,Edmonton,Forward,23,1860,4,0,22,0,10,0,16,49,31,5,4,0,74,1.06,0
cpl::Football_Player::e8e645fea075440a9f8568e37b9bd5e2,R. Edwini-Bonsu,Edmonton,Forward,12,363,0,1,9,0,6,1,5,9,13,1,1,0,65,1.24,0
cpl::Football_Player::0d06cd6c87bb4d4f84bc157902b8b11b,Ahmed Al Ghamdi,Pacific,Forward,8,330,1,0,7,0,4,0,7,4,2,0,0,0,85,2.45,0
cpl::Football_Player::ee8bab3f6a2e4ca6a0f2d7fb78444601,L. Perea,Wanderers,Forward,15,1014,3,1,15,0,11,1,6,11,12,4,2,0,75,1.51,0
cpl::Football_Player::04cd976c461148d79ab8cafc0bf69c62,D. Choinière,Forge,Forward,18,998,2,2,15,0,8,2,14,15,27,0,1,0,82,1.17,0
cpl::Football_Player::32ac22e018504c2f98dc4d3c64e42803,J. Hernández,Scottish,Forward,19,652,1,2,11,0,7,2,17,25,18,6,2,0,78,1.52,0
cpl::Football_Player::55dd391822fa4ee9a317707f26e1ddc9,C. Nanco,Forge,Forward,26,1496,4,2,25,0,12,2,9,26,20,14,1,0,73,0.9,0
cpl::Football_Player::5caf5069370145c293932a8d757afa03,O. Diouck,Edmonton,Forward,26,1977,6,2,34,0,16,2,24,62,45,18,6,0,77,1.0,0
cpl::Football_Player::0a9e81414bcf48d388274099578d7521,M. Haber,Pacific,Forward,13,704,3,0,19,0,6,0,2,13,10,9,0,0,60,1.79,0
cpl::Football_Player::52ee822ec2ea43bc844f27d96e16334b,Víctor Blasco,Pacific,Forward,25,1586,6,3,30,0,18,3,29,51,42,6,4,0,77,1.7,0
cpl::Football_Player::2a2dcc3d5b52458b87405d47509cd686,M. Zajac,Forge,Forward,22,1073,1,3,21,0,11,3,10,15,23,7,3,0,81,0.92,0
cpl::Football_Player::3a40cda943824387943792e6a62fee0f,R. Telfer,Wanderers,Forward,26,2216,8,1,50,0,29,1,36,24,45,13,2,0,78,1.34,0
cpl::Football_Player::2da9cef1b6384242b55b25f827780c21,M. Paolucci,Valour,Forward,15,1139,3,2,20,0,11,2,6,15,26,19,2,0,65,1.82,0
cpl::Football_Player::1ece129a4fee46d18322a9312200459f,A. Ricci,Vancouver FC,Forward,9,199,0,1,3,0,0,1,1,13,3,1,0,0,58,2.26,0
cpl::Football_Player::7423a2b022b44034b86aacf18f4f0fe8,S. Lamanna,York,Forward,6,77,0,1,2,0,0,1,0,1,2,1,0,0,76,2.34,0
cpl::Football_Player::6140d85c2a6949b78d0577605544363e,R. Gattas,York,Forward,28,1958,9,0,61,0,36,0,14,25,21,16,2,0,77,1.29,0
cpl::Football_Player::6b4eacbe43c74851b749376f0640fc6b,C. Rollocks,York,Forward,9,292,0,0,5,0,0,0,2,5,6,1,0,0,53,1.54,0
cpl::Football_Player::a3da6283599541849144b5b108dbc67b,K. Porter,Ottawa Fury,Forward,25,1916,2,4,26,0,20,4,35,21,28,4,1,0,80,1.17,0
cpl::Football_Player::91a915f684dc4b769c0cf45719f2a87e,M. Bustos,Pacific,Forward,25,2249,7,3,44,0,27,3,19,24,57,5,3,0,84,1.92,0
cpl::Football_Player::337fb1e9243f40eeacf44fe5123d4089,A. Novak,Forge,Forward,18,1113,6,3,19,0,14,3,7,11,19,2,4,0,67,0.57,0
cpl::Football_Player::4feb899db58341fb9d242a518bac60ad,K. Thomas,Forge,Forward,15,542,3,1,10,0,7,1,13,12,11,2,4,0,75,0.66,0
cpl::Football_Player::603d3d0c356448a9abd8659b8b5ab74f,M. Cox,Scottish,Forward,5,184,0,0,4,0,1,0,1,4,4,0,0,0,88,1.47,0
cpl::Football_Player::61aad3218c184a6192b0b6b07356ec32,S. Karlsson Adjei,York,Forward,24,1422,7,2,40,0,17,2,9,19,18,10,0,0,74,1.27,0
cpl::Football_Player::982a96a792e04404805090a131cb95df,T. Campbell,Vancouver FC,Forward,28,2334,11,2,46,0,22,2,26,31,20,10,0,0,78,1.7,0
cpl::Football_Player::01e4dc8e491d40f5aa24f147fe23b6e1,Oliver Minatel,Cavalry,Forward,24,1467,7,1,30,0,12,1,14,31,42,3,4,0,76,0.86,0
cpl::Football_Player::173356433c6f483aaba147abb7afcd4c,I. Nakajima-Farran,Pacific,Forward,18,252,1,0,9,0,5,0,3,9,3,0,1,0,72,2.5,0
cpl::Football_Player::4677d430ee38453e9a424d4e8c1cc96b,T. Borges,Forge,Forward,27,1974,13,5,47,0,37,5,40,38,52,10,2,1,77,0.78,0
cpl::Football_Player::a0c39d4aadea4642ba22743b4c68b23a,E. Ongaro,Edmonton,Forward,21,1167,10,2,35,0,21,2,2,11,12,2,1,0,75,1.47,0
