playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::2e4482a25fcd459a992030c983aa3254,W. Akio,Cavalry,Forward,13,729,5,0,16,0,8,0,9,8,14,1,1,0,79.0,1.23,0
cpl::Football_Player::e87c2465a9dc45a995f2722a4997ab10,M. Bevan,Cavalry,Forward,29,2316,11,4,36,0,17,4,9,45,38,20,5,1,72.0,0.97,0
cpl::Football_Player::3daeb63b6aae476db83238833f619a14,E. Beckford,Cavalry,Forward,14,254,0,0,7,0,1,0,2,13,4,2,0,0,76.0,1.77,0
cpl::Football_Player::2d8cec65b1bb4b20872a91ac73584d29,A. Musse,Cavalry,Forward,28,2275,7,7,54,0,24,7,28,16,48,3,2,0,80.0,0.91,0
cpl::Football_Player::c49f24c9d41145ed9c4bf9758b0ed6f9,J. Mason,Cavalry,Forward,20,536,1,2,8,0,4,2,0,8,3,6,1,0,79.0,1.34,0
cpl::Football_Player::0f153dc7081442a3bc20cd568ca71e39,W. Timóteo,Wanderers,Forward,25,1616,0,4,9,0,2,4,26,19,10,0,3,0,82.0,0.84,0
cpl::Football_Player::dace44682e2f47b8bc651c8032e6e97d,T. Coimbra,Wanderers,Forward,20,917,3,1,13,0,6,1,6,27,7,11,6,0,59.0,1.08,0
cpl::Football_Player::ec78959fccbd4457af70db222729257e,T. Collomb,Wanderers,Forward,13,586,4,0,9,0,5,0,2,8,13,2,1,0,61.0,1.23,0
cpl::Football_Player::4dc7f3812aa44d33a6c9acee2619456b,J. Perruzza,Toronto,Forward,11,563,2,0,17,0,9,0,8,10,6,7,0,0,79.0,1.12,0
cpl::Football_Player::a63da4a535904f639ece3007ff800854,Gabriel Bitar,York,Forward,25,1968,6,4,33,0,15,4,11,22,39,2,4,0,75.0,1.69,0
cpl::Football_Player::7d39ce2d96684e53ba7bf8361aee3bac,W. Pacius,,Forward,28,1403,10,3,33,0,16,3,5,25,10,5,5,0,79.0,1.03,0
cpl::Football_Player::99a91175ff8e476ca86125ecab87f00b,Mo Babouli,Forge,Forward,20,1664,6,2,32,0,15,2,12,17,26,1,6,2,79.0,1.62,0
cpl::Football_Player::cd1e9f98817545a8904ffd9556963f44,A. Díaz,Vancouver FC,Forward,14,1211,2,0,16,0,6,0,2,14,9,5,0,0,74.0,2.01,0
cpl::Football_Player::7962b07c669c4c75ab3ab352cd982923,Kwak Min-jae,Vancouver FC,Forward,26,1312,1,2,18,0,6,2,47,23,19,1,5,0,73.0,1.99,0
cpl::Football_Player::9577790c0cf54495843d303127992c4d,S. Hundal,Valour,Forward,28,1854,6,1,45,0,23,1,4,29,31,7,1,0,72.0,1.89,0
cpl::Football_Player::3ec3689202904ef38942e9a374e4f6a8,M. Kane,York,Forward,8,157,0,0,2,0,0,0,5,3,0,0,0,0,73.0,2.87,0
cpl::Football_Player::967e6b2da89443488a2347d8cad725e0,David Brazão,Pacific,Forward,12,335,2,1,3,0,3,1,3,12,14,1,0,0,72.0,2.15,0
cpl::Football_Player::f5a3687151ce4b3c88be9f30a94996d0,T. Afework,York,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
cpl::Football_Player::a2bda4ee744a46f5ba2c6d64d47b4f9e,A. Sellouf,Cavalry,Forward,30,1723,7,8,27,0,17,8,8,7,29,2,0,0,83.0,1.2,0
cpl::Football_Player::3b19fa7fb1064556a2c16b457a82a603,D. Daniels,Pacific,Forward,24,980,3,3,17,0,5,3,12,30,14,8,6,0,72.0,1.38,0
