playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,31,2820,0,0,0,0,0,0,0,2,3,0,3,0,79.0,1.02,0
cpl::Football_Player::641227fe9b374c1985d5ccdcee618d2a,S. Kerr,Cavalry,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
cpl::Football_Player::3c3ac97f7b7447d6927f896cea388d2e,Y. Fillion,Wanderers,Goalkeeper,29,2610,0,0,0,0,0,0,0,0,4,0,5,0,72.0,1.14,0
cpl::Football_Player::d3eccdc138364416ab9dd2b141d41e76,J. Holliday,Cavalry,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
cpl::Football_Player::d65b644d608b40dbb79ba6a0fb08d7f1,A. Rushenas,Wanderers,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
cpl::Football_Player::7f4d96458ffc48c9960432cf6eea677e,J. Zielinski,Vancouver FC,Goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,44.0,1.0,0
cpl::Football_Player::b638f4ff8c81492ea643a29f93f664f5,J. Garner,Pacific,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
cpl::Football_Player::ed6b655ed6bb4c7baedb0fe8fc42495d,C. Irving,Vancouver FC,Goalkeeper,27,2430,0,0,0,0,0,0,0,0,4,0,1,0,59.0,1.81,0
cpl::Football_Player::f7b3dd095e88450ca085f9cf8a12f3b0,K. Baskett,Wanderers,Goalkeeper,10,900,0,0,0,0,0,0,0,0,3,0,0,0,72.0,1.3,0
cpl::Football_Player::655a241e039a4965b7f38990c3f8d981,E. Himaras,Valour,Goalkeeper,2,180,0,0,0,0,0,0,0,0,0,0,0,0,85.0,1.5,0
cpl::Football_Player::7c054612559b45f2a7ef690616b61862,T. Henry,Forge,Goalkeeper,29,2610,0,0,0,0,0,0,0,1,8,0,5,0,86.0,1.17,0
cpl::Football_Player::0a71cc5786ac4cb6a42caa6d849c2129,C. Kalongo,Forge,Goalkeeper,2,120,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0.0,0
cpl::Football_Player::25873ca3630f4b3098e2a7f20d7a708a,E. Marmolejo,Forge,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
cpl::Football_Player::d7a3107cbc0c426399a5c65c18e39d14,N. Giantsopoulos,Vancouver FC,Goalkeeper,23,2070,0,0,0,0,0,0,0,1,4,0,3,0,75.0,1.48,0
cpl::Football_Player::ed004eacaca144bda4943965af890853,E. Gazdov,Montréal,Goalkeeper,21,1890,0,0,0,0,0,0,0,0,3,0,1,0,69.0,1.14,0
cpl::Football_Player::72e65d5165df41d198c80f48acb6e327,D. Murasiranwa,Valour,Goalkeeper,2,180,0,0,0,0,0,0,0,0,1,0,0,0,78.0,1.5,0
cpl::Football_Player::364352c812a14e868234e4883c9bd4e0,N. Ingham,Atlético,Goalkeeper,22,1980,0,0,0,0,0,0,0,0,5,0,2,0,64.0,1.14,0
cpl::Football_Player::a86a1a3737bc4895b1340dc348ae5b09,S. Melvin,Pacific,Goalkeeper,6,540,0,0,0,0,0,0,0,0,0,0,0,0,63.0,1.5,0
cpl::Football_Player::9c2fb41ece0d4ac7902f5799c23556f4,M. Williams,York,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
cpl::Football_Player::95c5a896975b488cb559f52bde46d3d4,R. Yesli,Wanderers,Goalkeeper,26,2340,0,0,0,0,0,0,0,0,6,0,1,0,59.0,1.35,0
