playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::41f23e52e26541bca62d8378fafc1953,F. Aird,Cavalry,Defender,31,2405,3,2,11,5,6,2,25,27,12,2,5,0,83.0,1.23,59.26
cpl::Football_Player::04974dd93657419b8440025eca4e2ef0,T. Field,Cavalry,Defender,19,1070,0,1,1,1,0,1,27,8,0,0,2,0,85.0,1.09,69.23
cpl::Football_Player::6aa006d1cfcb4e3c92a2de560fa893f6,C. Montgomery,Cavalry,Defender,24,2042,1,1,14,2,8,1,15,14,8,1,3,0,88.0,1.19,83.95
cpl::Football_Player::2765417c9ab14808ae40c91c05077259,M. Harms,Cavalry,Defender,2,46,0,0,0,0,0,0,1,0,1,0,0,0,80.0,1.96,33.33
cpl::Football_Player::2dd1997d40764eb08c0b5287219a3269,B. Kamdem,Cavalry,Defender,16,972,0,0,4,0,1,0,11,15,9,3,4,1,82.0,1.11,67.86
cpl::Football_Player::c3b03cc1de7848cdaaca16450017b36d,D. Nimick,Forge,Defender,30,2684,2,4,13,6,5,4,19,12,26,1,2,0,91.0,0.84,69.57
cpl::Football_Player::f40858671e354d42ad80fd9d251afb6f,R. Rama,Forge,Defender,27,2201,1,2,10,3,4,2,47,47,31,3,10,0,84.0,0.9,55.56
cpl::Football_Player::9ff2698d6b4d47f9a1949a20ae1b2adc,M. Jevremović,Forge,Defender,27,2097,0,3,10,3,4,3,27,20,26,1,5,0,84.0,0.86,57.14
cpl::Football_Player::58c03096b6c940afacb752b030a52ad2,M. Owolabi-Belewu,Forge,Defender,13,642,0,0,3,0,1,0,11,11,9,0,4,0,92.0,0.56,50.0
cpl::Football_Player::cad9192d6a9541128a76febb4a58387f,E. Kobza,Cavalry,Defender,22,1839,2,0,15,2,8,0,20,46,35,2,8,0,88.0,1.27,74.63
cpl::Football_Player::09f14fe890a548b08665ad76b2857552,M. Gherasimencov,Cavalry,Defender,27,1672,2,2,12,4,5,2,32,28,37,4,3,0,85.0,1.02,52.63
cpl::Football_Player::aaacbf86bfeb43ef894d906fd5aa7bdb,J. Alphonse,Wanderers,Defender,15,1158,0,0,1,0,1,0,28,16,9,0,5,0,84.0,1.09,57.89
cpl::Football_Player::360a1cff07aa439cb939b0d0d222b08c,J. Dunn,Wanderers,Defender,5,61,0,0,0,0,0,0,1,1,0,0,1,0,89.0,2.95,100.0
cpl::Football_Player::9e824d03d70a46fe9d571a6ea8b26a28,N. Mekidèche,Wanderers,Defender,10,823,1,1,3,2,1,1,11,12,10,1,3,0,84.0,0.98,46.88
cpl::Football_Player::608a3af8ed44452d9fe6ae4fd93ab951,W. Edgson,Pacific,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
cpl::Football_Player::d46e06f14e0d47e58d6f5f00e1eabfa9,T. Meilleur-Giguère,Wanderers,Defender,29,2635,4,0,26,4,8,0,17,9,8,3,1,0,89.0,1.23,69.15
cpl::Football_Player::4da84a61c12443e48f9c5d0dd8f2f3ae,K. Dada-Luke,Vancouver FC,Defender,23,1805,0,2,3,2,2,2,18,12,35,0,3,2,81.0,1.89,48.78
cpl::Football_Player::8c250cb48a3648f2bfe78681f613b119,G. Facchineri,Valour,Defender,21,1800,1,0,7,1,3,0,21,34,9,0,4,1,86.0,2.0,42.59
