playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::c3af4ebd8c0846c096482cc3c95b4e78,C. Elva,Cavalry,Forward,21,725,4,4,28,8,12,4,4,12,8,1,0,0,75.0,1.24,67.86
cpl::Football_Player::0b3c2dfa6c324a4f9203996ab6e6181b,J. Herdman,Vancouver FC,Forward,17,650,0,2,5,2,2,2,9,7,17,3,1,0,78.0,1.52,40.0
cpl::Football_Player::5689e826363240e892378a5cd52e5101,N. Wähling,Cavalry,Forward,24,755,1,1,8,2,3,1,6,11,8,4,0,0,76.0,1.07,46.67
cpl::Football_Player::2d8cec65b1bb4b20872a91ac73584d29,A. Musse,Cavalry,Forward,26,2128,10,7,59,17,25,7,14,30,44,6,3,1,80.0,1.18,55.0
cpl::Football_Player::4677d430ee38453e9a424d4e8c1cc96b,T. Borges,Forge,Forward,23,1235,4,3,23,7,11,3,18,20,23,8,2,0,80.0,0.87,35.29
cpl::Football_Player::c39cf7fa836f436d961ce8dbbf72dc90,N. Ampomah,Forge,Forward,21,1416,6,3,35,9,14,3,25,40,23,20,11,0,75.0,0.89,20.0
cpl::Football_Player::99a91175ff8e476ca86125ecab87f00b,Mo Babouli,Forge,Forward,26,1699,4,2,23,6,9,2,13,19,20,10,1,0,82.0,0.79,25.0
cpl::Football_Player::2989b90b079449a0916022698aecc47b,B. Badibanga,Forge,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
cpl::Football_Player::31115f5131a74426969fd8573af2d8b9,B. Wright,Forge,Forward,28,1962,12,0,44,12,24,0,8,24,17,24,4,0,71.0,0.87,53.06
cpl::Football_Player::04cd976c461148d79ab8cafc0bf69c62,D. Choinière,Forge,Forward,24,1228,3,4,21,7,13,4,11,18,16,4,1,0,86.0,0.88,14.29
cpl::Football_Player::6b48ced0357d4fd4a50e8ba77b6784d8,T. Warschewski,Cavalry,Forward,30,2575,11,5,61,16,33,5,26,30,85,6,3,0,82.0,1.22,43.0
cpl::Football_Player::1e2de1b3d9654cbe87321fe6e1f3837b,C. Chanda,Cavalry,Forward,2,21,0,0,0,0,0,0,0,1,0,0,0,0,86.0,0.0,0.0
cpl::Football_Player::0f153dc7081442a3bc20cd568ca71e39,W. Timóteo,Wanderers,Forward,28,1982,1,5,18,6,6,5,43,30,17,1,5,0,80.0,1.45,38.71
cpl::Football_Player::b940ad457329419389bb304e2399a9ae,J. Bahamboula,Wanderers,Forward,22,1164,3,2,22,5,8,2,9,18,27,8,3,0,79.0,1.01,39.58
cpl::Football_Player::982a96a792e04404805090a131cb95df,T. Campbell,Vancouver FC,Forward,23,1347,3,2,20,5,10,2,10,9,9,1,1,0,77.0,1.67,25.93
cpl::Football_Player::893b596feacd4aa3a30c402af4ff1814,Y. Baï,Wanderers,Forward,28,968,3,0,16,3,7,0,13,20,24,5,6,0,79.0,1.39,46.15
cpl::Football_Player::b0c18e549550408c91e0cd9f54969faa,E. Montejano,Pacific,Forward,16,503,1,1,9,2,5,1,1,7,7,2,2,0,72.0,1.97,43.59
cpl::Football_Player::1b99b171024743c4a0fb01eeea19478e,D. Zanatta,Pacific,Forward,26,1134,3,2,18,5,11,2,11,30,19,5,4,0,79.0,2.3,31.82
cpl::Football_Player::db08922169dd4965b34c10fd27536050,C. Vasconcelos,Wanderers,Forward,2,18,0,0,0,0,0,0,0,0,0,0,0,0,92.0,5.0,100.0
cpl::Football_Player::91a915f684dc4b769c0cf45719f2a87e,M. Bustos,Pacific,Forward,26,1944,2,4,29,6,10,4,19,26,36,1,4,0,86.0,1.76,42.86
cpl::Football_Player::e9cd44c2190e4d57b7fec90bf7892145,T. Ciccarelli,Wanderers,Forward,3,9,0,0,1,0,1,0,0,0,0,1,0,0,75.0,0.0,0.0
cpl::Football_Player::c7f62c1be1924bb08ef13e489cf704eb,H. Godbout,Vancouver FC,Forward,16,588,1,0,9,1,3,0,10,3,13,5,1,0,75.0,2.6,55.0
cpl::Football_Player::df0de20d12274b3d9549323a3547572b,J. Heard,Pacific,Forward,27,1571,1,0,11,1,5,0,5,36,39,6,8,1,75.0,1.95,13.79
cpl::Football_Player::3a40cda943824387943792e6a62fee0f,R. Telfer,Wanderers,Forward,26,1999,3,1,24,4,12,1,11,19,41,7,2,0,79.0,1.22,53.75
cpl::Football_Player::a96eb3025e23467ca33277ae9c86f369,S. Salter,Atlético,Forward,30,2606,20,4,75,24,46,4,16,45,30,7,4,0,77.0,0.93,53.57
cpl::Football_Player::41d0f411d33949359fd8e13884639ba0,B. Tabla,Atlético,Forward,29,2318,11,4,47,15,25,4,14,25,58,3,4,0,87.0,0.82,41.18
cpl::Football_Player::8f05f759197149d88e64f7a679adef64,R. Kratt,Pacific,Forward,5,321,2,0,6,2,4,0,5,9,5,1,0,0,74.0,1.68,0.0
cpl::Football_Player::aceae7c77e384a08a0b2e7147138d478,J. Navarro,Vancouver FC,Forward,4,67,0,0,1,0,1,0,0,5,0,1,1,0,70.0,2.69,0.0
cpl::Football_Player::341e083fc7cb46e1a67ffea79f5a96ff,E. Pop,Valour,Forward,17,279,1,0,3,1,1,0,0,4,5,1,1,0,80.0,3.87,41.67
cpl::Football_Player::9577790c0cf54495843d303127992c4d,S. Hundal,York,Forward,24,1292,9,2,32,11,19,2,3,17,12,5,2,0,82.0,1.81,34.09
cpl::Football_Player::7c7c78f8a9b24353a2c2418452327dab,Kévin Santos,Atlético,Forward,29,2029,4,2,26,6,8,2,42,35,17,3,1,0,86.0,1.06,41.94
cpl::Football_Player::dace44682e2f47b8bc651c8032e6e97d,T. Coimbra,Wanderers,Forward,23,1344,13,3,54,16,28,3,9,19,20,12,5,0,61.0,1.27,54.26
cpl::Football_Player::5781eacb0adf484b80e8dd83f7619dc5,M. Patterson,Atlético,Forward,17,168,1,1,6,2,2,1,2,14,9,1,0,0,76.0,2.14,18.18
cpl::Football_Player::f5aec735953a459ba324940a2fc1411f,S. Jimoh,York,Forward,23,916,0,4,5,4,3,4,18,27,10,3,6,0,80.0,1.38,20.0
cpl::Football_Player::96d163c606db462b80071516a2d4772b,J. Altobelli,York,Forward,28,2003,11,3,59,14,28,3,3,31,23,18,4,0,77.0,1.57,28.33
