playerId,playerName,team,position,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,Pass%,GAA,%
cpl::Football_Player::08dbc72e3b214780ae00c5258be72862,J. Belbin,Cavalry,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
cpl::Football_Player::9a6571b3737143b79989244b08fbd50d,S. Camargo,Cavalry,Midfielder,28,2218,8,6,36,14,14,6,16,17,25,3,5,0,82.0,1.18,50.0
cpl::Football_Player::665cea6eccc741f8aef577d5196aa0be,J. McGlinchey,Cavalry,Midfielder,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
cpl::Football_Player::d80c8273244649a0841591e849fc3590,D. Gutiérrez,Cavalry,Midfielder,13,799,1,1,8,2,4,1,7,15,8,0,6,0,91.0,1.58,62.5
cpl::Football_Player::83cede75122b41d0aad420f4fb5daf2e,J. Daley,Cavalry,Midfielder,4,106,0,0,0,0,0,0,4,3,3,0,3,0,86.0,0.0,66.67
cpl::Football_Player::6a778700603244eeabcce04c59c6ccc0,A. Hojabrpour,Forge,Midfielder,20,1703,1,0,11,1,6,0,31,26,24,1,7,0,88.0,0.74,70.59
cpl::Football_Player::f52a8b692a56475c9c08c17236a42e86,S. Shome,Cavalry,Midfielder,20,1500,0,1,6,1,1,1,30,20,14,0,4,0,87.0,0.96,40.0
cpl::Football_Player::33b0cf3a477d454f96fe4f14c3b6125c,A. Achinioti-Jönsson,Forge,Midfielder,30,2607,1,0,10,1,3,0,27,19,45,0,1,0,90.0,0.86,52.63
cpl::Football_Player::0e2b6aa5fbdf49f399441b22b356d14c,K. Bekker,Forge,Midfielder,28,2170,3,2,16,5,7,2,14,14,14,1,1,0,87.0,0.87,40.0
cpl::Football_Player::3c3cd8920062442f93c9e257f9d44111,N. Jensen,Forge,Midfielder,25,1071,2,1,16,3,10,1,6,13,13,4,0,0,83.0,0.84,37.5
cpl::Football_Player::d9884452bb6e4ebd802b73a429b81f2d,Z. Bruno,Forge,Midfielder,4,137,0,0,1,0,1,0,4,5,2,0,0,1,84.0,0.66,33.33
cpl::Football_Player::9a040c91c1d2424ca095e663faf5075a,K. Kane,Forge,Midfielder,14,452,1,0,4,1,1,0,12,8,8,0,0,0,88.0,0.8,50.0
cpl::Football_Player::d3d6fda71a9e4981abbb1d3785bc0dee,C. Trafford,Cavalry,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
cpl::Football_Player::9530e64bf7744102b3eeecd7fcf46c34,E. Cissé,Forge,Midfielder,11,333,1,0,2,1,2,0,5,3,6,0,1,0,92.0,0.81,75.0
cpl::Football_Player::6aa0420a7a3448a49b34c863c5b11ce4,N. Myroniuk,Cavalry,Midfielder,14,356,1,0,3,1,2,0,6,4,9,1,1,0,84.0,1.77,25.0
cpl::Football_Player::b2128eb98c0e4992a9bce2dd26483fb4,O. Benítez,Forge,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
cpl::Football_Player::0f32aad5bf304f70bb295ab41b41b4d9,M. Henry,Cavalry,Midfielder,12,374,0,0,6,0,2,0,8,10,8,0,2,0,76.0,0.96,38.46
cpl::Football_Player::7727bd856f6142ccb04b744b64364141,A. Rampersad,Wanderers,Midfielder,19,534,0,0,5,0,1,0,14,11,13,0,2,0,84.0,2.7,59.09
cpl::Football_Player::6b46d359901b4fcdbbc99c0d60edd8fe,Vitor Dias,Wanderers,Midfielder,21,898,3,1,13,4,5,1,13,15,37,4,1,0,84.0,1.0,25.93
cpl::Football_Player::d8fcedb579df4ec2aaa0ed1f3daea958,J. Mann,Wanderers,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
cpl::Football_Player::25edf8435cd445dfbfb5185b259ca0cf,V. Fry,Vancouver FC,Midfielder,23,1847,2,1,15,3,5,1,26,39,28,2,8,0,84.0,1.85,62.07
cpl::Football_Player::29b04cda7de84ca2a60dac0e06a8f8d4,A. Biello,Wanderers,Midfielder,21,351,0,1,1,1,0,1,4,8,7,0,1,0,85.0,2.05,20.0
cpl::Football_Player::cdf16bdca43b45068971796bf6288923,J. Buchanan,Vancouver FC,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
cpl::Football_Player::a4c7c645cfc244d59a886830c20ae894,M. Vales,Pacific,Midfielder,6,100,0,0,0,0,0,0,1,3,0,0,0,0,80.0,3.6,25.0
cpl::Football_Player::258f605d8ae64e80ad26709927d49cec,S. Keshavarz,Pacific,Midfielder,24,782,1,0,7,1,2,0,7,5,5,1,0,0,79.0,2.3,63.64
cpl::Football_Player::c56c8817d72148ac9e0870d2b4b18361,K. Podgorni,Vancouver FC,Midfielder,7,138,0,0,0,0,0,0,1,3,2,0,0,0,64.0,3.26,20.0
cpl::Football_Player::4d70b47d3a204f74aa5f64db85c4eab6,G. Probo,Wanderers,Midfielder,16,909,2,3,14,5,8,3,8,10,18,1,2,0,75.0,0.79,21.43
cpl::Football_Player::8db1339e383a4ccdb4225ef5cb15dfd1,Daniel de Pauli,Pacific,Midfielder,7,347,0,0,3,0,1,0,11,14,9,0,1,0,87.0,1.56,40.0
cpl::Football_Player::6f78048ef6fe4d51aa66aa87e5fbf0c5,A. Daniels,Pacific,Midfielder,24,1304,1,3,6,4,2,3,11,13,16,1,1,0,90.0,2.28,57.14
cpl::Football_Player::ea993e84d28d42ad8bdef8cff90110c3,J. Gagnon-Laparé,Wanderers,Midfielder,7,82,1,0,2,1,2,0,4,2,2,0,2,0,88.0,3.29,33.33
cpl::Football_Player::44490e86552c412ab66b3bac33c27621,E. Fotsing,Vancouver FC,Midfielder,21,1267,4,0,10,4,4,0,29,16,10,1,3,0,80.0,1.85,52.63
cpl::Football_Player::2fb8d39dd40f4a81853d0221df63464c,M. Schiavoni,Pacific,Midfielder,7,124,0,0,0,0,0,0,3,7,5,0,3,0,86.0,5.08,33.33
cpl::Football_Player::74a0a76ad8ac4650bf8bd3c161adbe4b,L. Browning-Lagerfeldt,Pacific,Midfielder,17,1360,0,0,10,0,4,0,14,46,18,0,4,0,81.0,1.79,52.38
cpl::Football_Player::3aa93b6a47f24dd59a4d50f71ae926d5,M. Cantave,Vancouver FC,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
cpl::Football_Player::8a18e8df224041bead247e8ca00b6410,D. Joseph,Vancouver FC,Midfielder,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,0.0
cpl::Football_Player::c9e511289fcd419eb6a09d9fdfcaede9,M. Essoussi,Vancouver FC,Midfielder,15,836,0,0,6,0,2,0,15,11,6,0,2,0,85.0,1.94,64.29
cpl::Football_Player::29146de022e149ceb100b57434a926f9,S. Rea,Wanderers,Midfielder,29,1958,2,5,33,7,15,5,22,18,47,4,5,0,79.0,1.15,28.57
cpl::Football_Player::2e8fce5008414fd4b602677f53e0bb18,B. Paton,Forge,Midfielder,25,1082,1,1,6,2,4,1,13,14,24,1,1,0,81.0,0.75,31.82
cpl::Football_Player::0571946f5caa4805b0f4b08d37bb2622,Bruno Figueiredo,Valour,Midfielder,27,1546,2,3,35,5,11,3,24,26,33,0,7,0,77.0,2.39,33.33
cpl::Football_Player::b00f998dc9ab48df9be8be1e6a9bea0d,T. Tahid,Vancouver FC,Midfielder,10,237,0,0,0,0,0,0,0,3,5,3,1,0,82.0,4.18,27.27
cpl::Football_Player::03b82a7bcff7496e991befe586fcc2c9,S. Young,Pacific,Midfielder,25,1799,2,0,13,2,5,0,33,26,10,0,6,0,86.0,2.1,54.24
cpl::Football_Player::1f645daf53bb4f9bad1e6896c1e68d2c,I. Moreno,Atlético,Midfielder,2,96,0,0,0,0,0,0,0,3,1,0,0,0,76.0,0.94,0.0
cpl::Football_Player::6c28b35898b64ba8aaec59d8291a55f4,K. Lipovschek,Forge,Midfielder,4,86,0,0,0,0,0,0,1,1,0,0,0,0,82.0,0.0,50.0
cpl::Football_Player::8f2eca99614743fa999bb759082a7c44,Xavier Venâncio,Valour,Midfielder,24,811,1,0,11,1,6,0,20,26,21,0,4,0,87.0,1.89,43.75
cpl::Football_Player::edcfdeb0583a4f25b44f57a7e66b2d6d,L. Callegari,Wanderers,Midfielder,28,2453,1,1,17,2,5,1,57,54,22,1,9,0,90.0,1.17,53.85
cpl::Football_Player::b88aa9288a38438a8801e10a74326f88,J. Faria,Valour,Midfielder,25,1268,2,1,18,3,11,1,10,22,22,7,2,0,84.0,2.2,30.77
cpl::Football_Player::6fcfea80844a4cf19b5492d7fc111116,K. Williams,Valour,Midfielder,11,669,2,0,10,2,4,0,7,14,14,10,2,0,71.0,2.56,16.67
cpl::Football_Player::8baee08a0ffb48ed8e4c68b4c56a02cc,C. Greco-Taylor,Pacific,Midfielder,24,1236,0,3,3,3,1,3,22,20,28,0,3,1,74.0,2.4,63.64
cpl::Football_Player::3e694b5d3a004945a65d70fab1ee17fe,D. Rodríguez,Atlético,Midfielder,29,2491,11,9,53,20,29,9,33,26,42,1,2,1,87.0,0.83,23.81
cpl::Football_Player::9d723c58b62545c7b3ff13a3e7d81b87,Diogo Ressurreição,Valour,Midfielder,26,1374,1,3,23,4,9,3,7,20,6,0,5,0,84.0,2.69,0.0
cpl::Football_Player::628cfcb715d24e36b6cbf8b20beec3ed,M. Morgan,Valour,Midfielder,26,1578,7,4,27,11,15,4,24,26,30,14,1,0,73.0,2.17,45.95
cpl::Football_Player::8478206db8304d6487d404b1b5dd322c,Gabriel Antinoro,Atlético,Midfielder,30,2466,4,3,30,7,15,3,35,14,14,4,1,0,87.0,0.84,43.75
cpl::Football_Player::1f4a9af68a764f0c95fa10063975c4c8,S. Mlah,Valour,Midfielder,23,968,0,1,8,1,5,1,13,11,15,0,4,0,85.0,2.51,30.77
cpl::Football_Player::5e944a82a82b42b483bed288bb7633a8,M. Aparicio,Atlético,Midfielder,30,2609,1,7,34,8,12,7,53,59,34,2,6,0,87.0,0.93,60.42
cpl::Football_Player::f4d883a75e7d4f129681bd5d56c43d19,K. Twardek,Valour,Midfielder,27,2206,4,2,19,6,10,2,25,35,22,14,2,1,73.0,2.08,48.35
cpl::Football_Player::ab744dc321ed481d9060ebc48b16f9b3,J. Castro,Atlético,Midfielder,27,2124,0,4,14,4,4,4,17,22,27,0,7,0,93.0,0.93,29.41
cpl::Football_Player::e062e50eb3404d07b682bf9855e3a980,Alberto Zapater,Atlético,Midfielder,25,612,0,1,0,1,0,1,13,4,2,1,1,0,91.0,2.06,42.86
cpl::Football_Player::c0ae1ca6360b41c6ad94f45a8b50a872,T. Crawford,Vancouver FC,Midfielder,3,198,0,0,0,0,0,0,8,4,0,0,1,1,82.0,0.91,0.0
cpl::Football_Player::bcd2bd431fea40f2ad5e2cd7d95bef32,A. Sissoko,Atlético,Midfielder,24,512,1,0,7,1,2,0,6,5,17,1,2,0,91.0,0.7,35.29
cpl::Football_Player::067092352a084dc4bde838b40e5b4cfb,K. Ortega,Atlético,Midfielder,15,115,0,0,0,0,0,0,5,8,3,0,2,0,81.0,3.13,100.0
cpl::Football_Player::165349da6f4642fb9d3d648ac53a905c,A. Ndom,Pacific,Midfielder,24,2017,5,0,28,5,13,0,15,18,37,1,8,0,88.0,2.05,70.69
cpl::Football_Player::0193e9b2803b43938a676ad9232cede8,N. Verhoeven,Atlético,Midfielder,5,103,0,0,1,0,1,0,3,1,0,0,0,0,88.0,2.62,0.0
cpl::Football_Player::c2267256cd964bb3b0bda247e07fc87b,R. Ohin,Valour,Midfielder,26,2164,0,0,14,0,2,0,25,42,33,0,9,0,90.0,2.0,36.0
cpl::Football_Player::588cc7602a904011b1490a8e56d533e2,I. Johnston,Wanderers,Midfielder,29,2460,2,3,16,5,6,3,45,33,26,2,7,0,84.0,1.17,55.26
cpl::Football_Player::a4d26a57d62040df8359a9bc96b1db67,D. Campbell,Valour,Midfielder,1,17,0,0,1,0,0,0,1,2,0,0,0,0,89.0,0.0,0.0
cpl::Football_Player::a2d59a105ffa40e592a486e9b62e55b0,M. Voytsekhovskyi,Valour,Midfielder,10,209,1,1,3,2,3,1,4,6,4,0,0,0,90.0,1.72,42.86
cpl::Football_Player::c61bc69e3cc04986a50e309ba356335c,K. Kibato,York,Midfielder,30,2349,1,1,18,2,5,1,30,24,51,0,8,0,90.0,1.46,41.18
cpl::Football_Player::f6cad4e96b1a4fe1847951f5a8de61b1,M. Ferrari,York,Midfielder,29,2127,1,5,15,6,9,5,33,34,58,5,8,0,83.0,1.65,40.74
cpl::Football_Player::b78b9cf10b374d23824749c6e410990c,E. Adekugbe,York,Midfielder,23,1551,0,1,3,1,0,1,17,22,25,0,5,0,95.0,1.39,42.86
cpl::Football_Player::8eb11a313b2348b888a9b1799feba47c,S. Yeates,York,Midfielder,20,1658,3,0,14,3,7,0,24,22,21,0,3,0,88.0,1.57,40.91
