Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue
2021,2021-06-26T18:00:00Z,Edmonton,Atlético Ottawa,0,1,FINISHED,Princess Auto Stadium
2021,2021-06-26T21:00:00Z,Pacific,HFX Wanderers,2,0,FINISHED,Princess Auto Stadium
2021,2021-06-27T18:00:00Z,Forge,Valour,0,2,FINISHED,Princess Auto Stadium
2021,2021-06-27T21:00:00Z,Cavalry,Inter Toronto,2,1,FINISHED,Princess Auto Stadium
2021,2021-06-30T23:00:00Z,Valour,HFX Wanderers,2,0,FINISHED,Princess Auto Stadium
2021,2021-07-01T02:00:00Z,Atlético Ottawa,Cavalry,1,4,FINISHED,Princess Auto Stadium
2021,2021-07-01T21:00:00Z,Inter Toronto,Pacific,2,2,FINISHED,Princess Auto Stadium
2021,2021-07-02T00:00:00Z,Edmonton,Forge,2,0,FINISHED,Princess Auto Stadium
2021,2021-07-03T23:00:00Z,Cavalry,HFX Wanderers,0,0,FINISHED,Princess Auto Stadium
2021,2021-07-04T02:00:00Z,Valour,Atlético Ottawa,2,0,FINISHED,Princess Auto Stadium
2021,2021-07-04T23:00:00Z,Forge,Pacific,3,0,FINISHED,Princess Auto Stadium
2021,2021-07-05T02:00:00Z,Edmonton,Inter Toronto,1,1,FINISHED,Princess Auto Stadium
2021,2021-07-07T23:00:00Z,Atlético Ottawa,Pacific,0,1,FINISHED,Princess Auto Stadium
2021,2021-07-08T02:00:00Z,Inter Toronto,Valour,2,1,FINISHED,Princess Auto Stadium
2021,2021-07-09T00:00:00Z,Cavalry,Forge,0,2,FINISHED,Princess Auto Stadium
2021,2021-07-10T18:00:00Z,HFX Wanderers,Edmonton,2,1,FINISHED,Princess Auto Stadium
2021,2021-07-10T21:00:00Z,Pacific,Inter Toronto,3,0,FINISHED,Princess Auto Stadium
2021,2021-07-11T17:30:00Z,Valour,Forge,1,0,FINISHED,Princess Auto Stadium
2021,2021-07-12T01:00:00Z,Cavalry,Atlético Ottawa,0,2,FINISHED,Princess Auto Stadium
2021,2021-07-14T00:00:00Z,HFX Wanderers,Pacific,0,0,FINISHED,Princess Auto Stadium
2021,2021-07-14T23:00:00Z,Inter Toronto,Cavalry,0,0,FINISHED,Princess Auto Stadium
2021,2021-07-15T02:00:00Z,Forge,Edmonton,1,0,FINISHED,Princess Auto Stadium
2021,2021-07-15T21:00:00Z,Atlético Ottawa,Valour,0,1,FINISHED,Princess Auto Stadium
2021,2021-07-17T23:00:00Z,HFX Wanderers,Cavalry,1,2,FINISHED,Princess Auto Stadium
2021,2021-07-18T02:00:00Z,Pacific,Forge,1,2,FINISHED,Princess Auto Stadium
2021,2021-07-18T23:30:00Z,Valour,Inter Toronto,3,0,FINISHED,Princess Auto Stadium
2021,2021-07-19T02:30:00Z,Atlético Ottawa,Edmonton,1,1,FINISHED,Princess Auto Stadium
2021,2021-07-21T23:00:00Z,Edmonton,HFX Wanderers,1,0,FINISHED,Princess Auto Stadium
2021,2021-07-22T02:00:00Z,Pacific,Atlético Ottawa,4,2,FINISHED,Princess Auto Stadium
2021,2021-07-23T00:00:00Z,Forge,Cavalry,1,2,FINISHED,Princess Auto Stadium
2021,2021-07-24T18:00:00Z,HFX Wanderers,Valour,1,0,FINISHED,Princess Auto Stadium
2021,2021-07-24T21:00:00Z,Inter Toronto,Edmonton,1,0,FINISHED,Princess Auto Stadium
2021,2021-07-30T23:00:00Z,Inter Toronto,Forge,0,1,FINISHED,York Lions Stadium
2021,2021-07-31T01:30:00Z,Pacific,Cavalry,2,0,FINISHED,Starlight Stadium
2021,2021-08-01T01:00:00Z,Edmonton,Valour,3,1,FINISHED,Clarke Field
2021,2021-08-02T18:00:00Z,HFX Wanderers,Atlético Ottawa,2,1,FINISHED,Wanderers Grounds
2021,2021-08-04T01:00:00Z,Cavalry,Edmonton,2,1,FINISHED,ATCO Field
