Team,Year,Games played,Total points,Goals z score,Goals Openplay z score,Goals from Inside Box z score,Home Goals z score,Away Goals z score,Goal Assists z score,Key Passes (Attempt Assists) z score,Total Shots z score,Shots On Target ( inc goals ) z score,Goal Conversion z score,Possession Percentage z score,Total Passes z score,Open Play Passes z score,Successful Open Play Passes z score,Successful Passes Opposition Half z score,Passing Accuracy z score,Passing % Opp Half z score,Corners Won z score,Successful Crosses open play z score,Clean Sheets z score,Blocked Shots z score,Number of Defensive Actions z score,Duels won z score,Shots On Conceded Inside Box z score,Goals Conceded Inside Box z score,Goals Conceded z score,Total losses z score,Red cards z score,Total Red Cards z score,Straight Red Cards z score,Penalty conceded z score,Penalty Goals Conceded z score,Own Goals Conceded z score,GK Successful Distribution z score,GK Unsuccessful Distribution z score
Atlético Ottawa,2022,31,49,0.31572700914523844,,-0.1021296410262904,-0.8400268812903089,1.107649219045827,0.36209972100385596,0.038248384039910745,-0.4687713548666428,-0.3036516113496993,0.5336955097142486,-1.2265341270883092,-0.5407653957918357,-0.6049109725186281,-0.5798700651242471,-0.6045190026730699,-0.2927651486641879,-0.5375526576237784,-0.24766433973995305,-0.13892973255655283,0.972111104761179,1.2211458484139361,,1.1537676891729247,-0.7485775985511666,-0.6840781848319408,-0.637312410638076,-1.536018943375197,-0.8461141122266493,-0.8461141122266493,-1.3653316208096145,0.634767008683778,0.5,,0.6448415145410438,0.6441328002865692
Atlético Ottawa,2023,28,36,0.014836636618975406,,-0.032217381455557595,-0.4841147473560322,0.4743416490252569,-0.42305705611332467,-0.9321381577000614,-0.7081639135953668,0.46491656106420265,0.7739640699585362,-1.4255728899344744,-1.494705284945821,-1.4631258713576558,-1.4465212240427174,-1.3298518247055469,-1.0443650585693738,-0.8777163576442057,-1.2306307071253002,-0.8303552671922902,0.9192388155425117,-0.8747076648960508,,-0.8399489578264819,-0.8239295868539721,-0.49357486258448,-0.605305158999973,0.4437059837324712,-0.4641683544863142,-0.6129713330865563,-0.6269623282193989,-1.2880412179784737,,1.2909944487358054,0.13689241784652617,0.22189393035225224
Atlético Ottawa,2024,30,44,0.9525793444156804,,0.8059403683279635,0.3999858913990398,1.465881824639873,0.5217698756939212,0.26914205651062956,0.6204198843666601,0.8075085533257635,0.3607830183429808,-0.2225495492846311,0.3058385301739152,0.38524101090535057,0.386576877914295,-0.1712824304291655,0.3574468736445465,-0.2228254159783479,0.4649243468995797,0.3059632937427363,0.5857452072324824,0.9492604672758352,,-0.09711223138008544,-0.6442661279524222,-0.5699215788690634,-0.5530146858072095,-1.112835145857494,-0.8586296628693791,-1.1184655788021602,-0.5039526306789694,-1.1272660037524773,-1.1272660037524773,0.0,0.11876950916714604,-0.620704416451776
Atlético Ottawa,2025,30,56,1.396017061630565,1.6009395304238698,1.613804735629686,0.993986209810287,1.5661637374358457,1.3853889802907564,1.0200874316236408,1.4792764920837425,1.5868005039305166,0.5176341462394751,2.1522852943922146,2.1226764336909993,2.13090654619703,2.1460094312983506,1.191314972320004,1.8245906734331006,1.203907133435597,-0.3572160240752705,-1.4011381283311273,0.9101913402477904,0.2774186049922842,-0.2465755831713266,0.011991099027738776,-0.2612810289646437,-0.8571176012442684,-1.0029282639547537,-1.4083205060034898,-0.15811388300841897,-0.40895890595459833,,-0.9192388155425117,-0.9192388155425117,-0.6454972243679027,1.0376535194942944,-1.0170598458258024
Cavalry,2022,30,47,0.556280920874944,,0.3063889230788712,0.7280232971182677,0.23890473351968816,0.36209972100385596,1.3131945187036023,1.9866976468157718,1.9520460729623526,-0.2262689442026071,0.7008766440504625,0.3172536511634613,0.3310232458310334,0.3332406510883844,0.001704347654467558,0.4408641015897889,-0.0382420011463915,1.450605418476868,1.342987414713344,0.5400617248673216,-0.11101325894672145,,-0.9589476290874404,-0.2879144609812179,-0.25202880493808344,-0.05462677805469223,-0.44373880586394576,0.2820380374088831,0.2820380374088831,0.1950473744013735,-0.5371105458093506,-1.0,-0.6454972243679028,0.5066611899965344,-0.6778570306680649
Cavalry,2023,31,55,1.4391537520406144,,1.6430864542334371,1.5365381111734935,0.4743416490252569,0.8461141122266493,0.49225273496520094,0.6583433367595118,-0.11954997284508069,1.4487604313951394,0.9503819266229829,0.8155404021309735,0.8007642706345748,0.839853938386103,0.3883901449997923,0.829377728287854,0.3207828056709036,0.8176673825866089,0.7800307055442727,0.35355339059327373,0.5356736862541707,,0.27998298594216064,-1.0636181939387641,-0.6454440510720123,-0.9177207249354429,-1.6269219403523945,-0.4641683544863142,-0.6129713330865563,-0.6269623282193989,0.5040161287741853,0.3469657515444188,,0.48165850723777726,-0.3080020227277531
Cavalry,2024,30,48,0.6804138174397717,,0.6594057559046974,0.22221438411057765,1.1572751247156894,0.23389684082830953,1.6300867950926807,1.375713656639116,0.8489192483681104,-0.5903722118339679,1.2611141126129097,0.7495866700570761,0.7797395383706441,0.7479930541206429,0.9461057907932768,0.5253971821266893,0.6053752451801144,0.7712274460334204,2.0543249722726578,0.5857452072324824,1.6293276677122546,,0.8305269937431188,-1.9327983838572664,-1.5469299997874577,-1.6590440574216283,-1.6872016727516845,-1.2626906806902634,,,-0.06630976492661632,-0.06630976492661632,-0.7905694150420948,-0.26581747289789825,0.07448452997421312
Cavalry,2025,31,42,0.8974395396196488,0.17788217004709664,0.12003506298072045,1.1385660221463287,0.2472890111740809,0.9535794279923389,1.5189076915863013,1.1035872242529507,0.9052217639872074,0.1207261746820486,0.5317410727321952,0.2425690662742098,0.22983410556587378,0.18140260260843147,0.5095935518530424,-0.04963057403606033,0.11161067368067953,1.4613382803079247,1.6910287755720503,0.2055270768301462,1.8556222245039455,1.4673268310031404,1.564293373164104,-0.7563398206871266,-0.22659430837492153,-0.3581886656981263,-0.3353144061913071,1.1067971810589328,1.0223972648864954,-0.5773502691896256,-0.35355339059327373,-0.35355339059327373,-0.6454972243679027,-0.5221313887901227,0.7863864787312905
Edmonton,2022,28,20,-0.6464886377735835,,-0.9191667692366136,0.280008960430103,-1.151086443322134,-0.4655567841478148,-2.103661122195091,-1.2277345008412073,-1.2579852470201827,-0.1813891536169659,-1.5769724491135404,-1.5722727900966211,-1.5871675165230432,-1.6123416592731703,-1.1813751318774741,-2.0032590155665035,-1.5073120829208972,-0.7076123992570087,0.04630991085218428,-2.0522345544958225,-1.6207935806221334,,-1.7728625467779089,2.2457327956535,2.1962510144604415,2.130444344132997,1.4677514347807437,-0.2820380374088831,-0.2820380374088831,-1.3653316208096145,1.416018711679197,1.5,1.9364916731037083,-0.8751420554485595,1.4265349451372709
Forge,2022,31,47,1.879327435388324,,2.076636034201238,1.6240519704945973,1.4551470132562825,1.6035844787313622,-0.06374730673318459,0.11161222734920066,0.3904092145924705,1.8591453250101821,1.401753288100925,1.7267771888942884,1.6838583950734778,1.7017131166279686,2.2325643236867725,1.5393464014353118,2.0773343641595257,1.6628891382539706,0.04630991085218428,0.972111104761179,0.9547140269418045,,0.3398527714824563,-0.3646916505762094,-0.972111104761179,-1.3656694513673058,-0.44373880586394576,-0.8461141122266493,-0.8461141122266493,0.1950473744013735,-1.7089881003024792,,0.0,1.635133840443361,-1.8919293244019126
