playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,SavesMade,TimePlayed,GkSuccessfulDistribution,PenaltiesConceded,SuccessfulLaunches,OpenPlayPasses,CornersWon,BackwardPasses,SuccessfulPassesOppositionHalf,UnsuccessfulLaunches,YellowCards,UnsuccessfulLongPasses,TotalLossesOfPossession,SuccessfulPassesOwnHalf,UnsuccessfulShortPasses,PenaltyGoalsConceded,Punches,TotalPasses,TotalFoulsConceded,SuccessfulShortPasses,GoalsConcededInsideBox,TotalUnsuccessfulPasses(ExclCrosses&Corners),RightsidePasses,KeyPasses(attemptAssists),UnsuccessfulPassesOppositionHalf,PenaltiesSaved,GoalkeeperSmother,Recoveries,Starts,Drops,UnsuccessfulPassesOwnHalf,Touches,Appearances,FoulAttemptedTackle,Catches,GroundDuels,ForwardPasses,TotalTouchesInOppositionBox,Index,DuelsWon,SuccessfulLongPasses,TotalFoulsWon,SavesMadeFromOutsideBox,SavesMade-Parried,AerialDuelsWon,Duels,TotalClearances,SavesMadeFromInsideBox,PenaltiesFaced,GamesPlayed,SavesFromPenalty,SavesMade-Caught,GkUnsuccessfulDistribution,GroundDuelsLost,LeftsidePasses,SuccessfulOpenPlayPasses,TotalSuccessfulPasses(ExclCrosses&Corners),AerialDuels,CleanSheets,DuelsLost,GroundDuelsWon,GoalsConcededOutsideBox,SubstituteOff,TotalRedCards,StraightRedCards,CrossesNotClaimed,OwnGoalScored,SuccessfulDribbles,TotalTackles,Putthrough/blockedDistribution,HandballsConceded,LastManTackle,TacklesWon,Interceptions,Putthrough/blockedDistributionWon,AerialDuelsLost,TacklesLost,ThrowInsToOwnPlayer,SubstituteOn,ShotsOffTarget(incWoodwork),TotalShots,BlockedShots,Blocks,ClearancesOffTheLine,UnsuccessfulCrossesOpenPlay,SuccessfulCrosses&Corners,ThrowInsToOppositionPlayer,SuccessfulCrossesOpenPlay,UnsuccessfulDribbles,UnsuccessfulCrosses&Corners,ThroughBalls,SuccessfulLay-offs,CornersTaken(inclShortCorners),RedCards-2ndYellow,UnsuccessfulCornersIntoBox,Assists(intentional),GoalAssists,Offsides,SuccessfulCornersIntoBox,ShotsOnTarget(IncGoals),AttemptsFromSetPieces,Goals,RightFootGoals,GoalsFromInsideBox,UnsuccessfulLay-offs,HeadedGoals,GoalsFromOutsideBox,LeftFootGoals,FoulWonPenalty,SecondGoalAssists,SetPiecesGoals,PenaltiesTaken,PenaltyGoals,OtherGoals,PenaltiesOffTarget
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,2019,goalkeeper,25,2250,0,0,0,0,0,0,0,1,6,0,1,0,100,66,17,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0,2250,238.0,1.0,49.0,386,1.0,1.0,59,115.0,1.0,236.0,246,395,7.0,1.0,13.0,697,1.0,310,17.0,243.0,135,1.0,191,1.0,2.0,214.0,25.0,1.0,52.0,932,25,1.0,13.0,6.0,418.0,1.0,10,11.0,144.0,6.0,32.0,19.0,7.0,13.0,21.0,33.0,2.0,25,1.0,1.0,65.0,2.0,143.0,295,454,7.0,9.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::73977448c290436b91cca653ba3a2c13,J. Williams,Wanderers,Goalkeeper,2019,goalkeeper,12,1028,0,0,0,0,0,0,0,1,2,0,1,1,100,68,19,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,1028,113.0,,21.0,143,,,31,48.0,1.0,85.0,92,149,2.0,1.0,5.0,267,1.0,129,15.0,87.0,52,,60,,1.0,119.0,12.0,,27.0,397,12,1.0,6.0,4.0,151.0,,10,5.0,51.0,2.0,14.0,11.0,4.0,8.0,10.0,27.0,1.0,12,,1.0,24.0,3.0,64.0,104,180,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d7a3107cbc0c426399a5c65c18e39d14,N. Giantsopoulos,Vancouver FC,Goalkeeper,2019,goalkeeper,5,450,0,0,0,0,0,0,0,0,4,0,0,0,100,74,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,450,57.0,,6.0,67,,,8,12.0,,30.0,32,77,1.0,1.0,,116,,67,1.0,31.0,16,1.0,18,,,48.0,5.0,,13.0,178,5,,1.0,2.0,57.0,,10,4.0,18.0,4.0,11.0,4.0,2.0,4.0,2.0,9.0,1.0,5,,,10.0,,43.0,54,85,2.0,3.0,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7c054612559b45f2a7ef690616b61862,T. Henry,Forge,Goalkeeper,2019,goalkeeper,22,1980,0,0,0,0,0,0,0,1,8,0,3,0,100,71,17,0.77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,1980,219.0,,21.0,349,,,53,82.0,3.0,178.0,184,382,3.0,2.0,9.0,616,1.0,338,14.0,181.0,130,,141,1.0,1.0,185.0,22.0,2.0,40.0,825,22,,14.0,7.0,331.0,,10,15.0,97.0,8.0,26.0,19.0,10.0,17.0,22.0,28.0,3.0,22,1.0,1.0,59.0,2.0,155.0,273,435,10.0,9.0,2.0,5.0,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::16b384ec036b4bccb9be3e98bf2b8088,M. Village,Pacific,Goalkeeper,2019,goalkeeper,16,1440,0,0,0,0,0,0,1,1,4,0,1,0,100,67,22,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,1440,176.0,,31.0,291,2.0,,60,79.0,1.0,170.0,178,280,2.0,2.0,2.0,512,1.0,240,18.0,172.0,93,,138,,1.0,146.0,16.0,,34.0,679,16,,12.0,5.0,292.0,,10,7.0,100.0,4.0,23.0,13.0,3.0,8.0,5.0,24.0,2.0,16,,1.0,57.0,1.0,127.0,214,340,3.0,4.0,1.0,4.0,4.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7517829ba9bc4c5f89f19a60bcaa4cc8,D. Powley,Edmonton,Goalkeeper,2019,goalkeeper,6,540,0,0,0,0,0,0,0,0,1,0,0,0,100,62,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,540,59.0,,22.0,127,,,35,43.0,,82.0,85,99,1.0,2.0,,217,,80,8.0,83.0,38,1.0,61,,1.0,49.0,6.0,1.0,22.0,271,6,,2.0,1.0,148.0,,10,3.0,54.0,1.0,5.0,4.0,2.0,3.0,2.0,15.0,2.0,6,,1.0,22.0,,31.0,86,134,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::c838c44902a6469485723a328e0d5531,M. Silva,York,Goalkeeper,2019,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90,10.0,,1.0,21,,,2,2.0,,7.0,7,24,,,,33,,22,1.0,7.0,4,,6,,,2.0,1.0,,1.0,34,1,,,,18.0,,10,,4.0,,,,,,,,,1,,,2.0,,11.0,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7767100bdddf4f7caae2877d0d835da6,C. Vance,York,Goalkeeper,2019,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,100,73,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,90,13.0,,3.0,15,,,4,2.0,,6.0,7,12,,,,22,,10,1.0,6.0,2,1.0,5,,1.0,13.0,1.0,,1.0,42,1,,3.0,,15.0,,10,1.0,6.0,,1.0,3.0,1.0,1.0,1.0,3.0,,1,,,2.0,,5.0,12,16,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::1eb98b2bea804d4d8d782dc585fc4124,T. Farago,Valour,Goalkeeper,2019,goalkeeper,16,1440,0,0,0,0,0,0,0,0,3,0,0,0,80,57,30,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,1440,158.0,,24.0,227,,,58,75.0,,207.0,213,215,3.0,3.0,1.0,483,,177,26.0,210.0,70,3.0,179,,2.0,164.0,16.0,1.0,31.0,644,16,,14.0,5.0,328.0,,10,6.0,96.0,3.0,16.0,10.0,4.0,10.0,7.0,30.0,3.0,16,,3.0,85.0,3.0,85.0,156,273,5.0,2.0,4.0,2.0,4.0,,,,1.0,,,2.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::0665c6ea0ce84bd49b9ebba2cf80c8e2,N. Wirth,Pacific,Goalkeeper,2019,goalkeeper,12,1080,0,0,0,0,0,0,0,0,0,0,0,0,100,65,24,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,1080,146.0,,23.0,235,1.0,,31,73.0,,147.0,150,233,,3.0,4.0,411,,180,22.0,147.0,85,,104,,,116.0,12.0,1.0,43.0,568,12,,6.0,,219.0,,10,1.0,84.0,,27.0,18.0,1.0,1.0,15.0,32.0,3.0,12,,4.0,38.0,,107.0,165,264,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
