playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,SavesMade,TimePlayed,GkSuccessfulDistribution,PenaltiesConceded,SuccessfulLaunches,OpenPlayPasses,CornersWon,SuccessfulPassesOppositionHalf,UnsuccessfulLaunches,YellowCards,UnsuccessfulLongPasses,GoalsConcededOutsideBox,TotalLossesOfPossession,SuccessfulPassesOwnHalf,PenaltyGoalsConceded,Punches,TotalPasses,TotalFoulsConceded,SuccessfulShortPasses,GoalsConcededInsideBox,TotalUnsuccessfulPasses(ExclCrosses&Corners),RightsidePasses,UnsuccessfulPassesOppositionHalf,GoalkeeperSmother,Recoveries,Starts,Drops,UnsuccessfulPassesOwnHalf,Touches,Appearances,FoulAttemptedTackle,GroundDuels,ForwardPasses,Index,DuelsWon,SuccessfulLongPasses,TotalFoulsWon,SavesMadeFromOutsideBox,SavesMade-Parried,Duels,TotalClearances,SavesMadeFromInsideBox,PenaltiesFaced,GamesPlayed,GkUnsuccessfulDistribution,GroundDuelsLost,LeftsidePasses,SuccessfulOpenPlayPasses,TotalSuccessfulPasses(ExclCrosses&Corners),CleanSheets,DuelsLost,GroundDuelsWon,WinningGoal,AerialDuelsWon,AerialDuels,HandballsConceded,UnsuccessfulShortPasses,HomeGoals,AwayGoals,AerialDuelsLost,TotalTackles,PenaltiesSaved,Catches,SavesFromPenalty,TacklesLost,SuccessfulDribbles,CrossesNotClaimed,KeyPasses(attemptAssists),SavesMade-Caught,Putthrough/blockedDistribution,Offsides,ThrowInsToOwnPlayer,TimesTackled,BackwardPasses,Putthrough/blockedDistributionWon,ShotsOffTarget(incWoodwork),SubstituteOff,TotalShots,ThrowInsToOppositionPlayer,Blocks,TotalTouchesInOppositionBox,UnsuccessfulDribbles,TacklesWon,Interceptions,SetPiecesGoals,UnsuccessfulCornersIntoBox,CornersTaken(inclShortCorners),UnsuccessfulCrossesOpenPlay,ShotsOnTarget(IncGoals),SuccessfulCornersIntoBox,AttemptsFromSetPieces,SubstituteOn,Goals,SuccessfulCrosses&Corners,UnsuccessfulCrosses&Corners,GoalsFromOutsideBox,LeftFootGoals,SuccessfulCrossesOpenPlay,RightFootGoals,GoalsFromInsideBox,PenaltiesTaken,GoalAssists,PenaltyGoals,ThroughBalls,OwnGoalScored,BlockedShots,HeadedGoals,SuccessfulLay-offs,TotalRedCards,RedCards-2ndYellow,ClearancesOffTheLine,FoulWonPenalty,Assists(intentional),LastManTackle,StraightRedCards,UnsuccessfulLay-offs,SecondGoalAssists
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,2020,goalkeeper,9,810,0,0,0,0,0,0,0,1,1,0,1,0,0,69.0,10,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,810.0,86.0,1.0,19.0,183.0,1.0,33.0,52.0,1.0,89.0,1.0,90.0,157.0,2.0,1.0,279.0,1.0,139.0,9.0,89.0,57.0,68.0,3.0,68.0,9.0,1.0,21.0,339.0,9.0,1.0,3.0,173.0,10.0,2.0,51.0,1.0,4.0,1.0,3.0,5.0,6.0,2.0,9.0,14.0,1.0,49.0,128.0,190.0,3.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::47dc6e2b3ef94651abd804e8ba91936c,J. Beaulieu,Wanderers,Goalkeeper,2020,goalkeeper,4,360,0,0,0,0,0,0,0,2,3,0,1,0,100,68.0,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,360.0,42.0,1.0,4.0,63.0,,11.0,15.0,1.0,33.0,1.0,35.0,60.0,1.0,3.0,105.0,2.0,54.0,9.0,34.0,18.0,23.0,,40.0,4.0,1.0,11.0,150.0,4.0,1.0,3.0,65.0,10.0,4.0,17.0,3.0,4.0,4.0,5.0,4.0,6.0,1.0,4.0,6.0,1.0,22.0,42.0,71.0,,1.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::73977448c290436b91cca653ba3a2c13,J. Williams,Wanderers,Goalkeeper,2020,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::ed6b655ed6bb4c7baedb0fe8fc42495d,C. Irving,Vancouver FC,Goalkeeper,2020,goalkeeper,6,540,0,0,0,0,0,0,0,0,2,0,1,0,83,72.0,8,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,540.0,79.0,,9.0,138.0,,16.0,28.0,1.0,61.0,,62.0,136.0,3.0,5.0,214.0,,121.0,8.0,62.0,53.0,54.0,,79.0,6.0,3.0,8.0,307.0,6.0,,2.0,102.0,10.0,6.0,31.0,2.0,6.0,3.0,8.0,11.0,15.0,4.0,6.0,14.0,1.0,59.0,110.0,152.0,1.0,2.0,1.0,0.0,5.0,6.0,,1.0,,,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d7a3107cbc0c426399a5c65c18e39d14,N. Giantsopoulos,Vancouver FC,Goalkeeper,2020,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,100,58.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,90.0,6.0,,1.0,15.0,,1.0,5.0,,8.0,,10.0,11.0,1.0,1.0,21.0,,11.0,1.0,9.0,6.0,5.0,,7.0,1.0,,4.0,30.0,1.0,,,11.0,10.0,1.0,1.0,,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,4.0,10.0,12.0,,,,0.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7517829ba9bc4c5f89f19a60bcaa4cc8,D. Powley,Edmonton,Goalkeeper,2020,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,90.0,10.0,,1.0,18.0,,3.0,3.0,,6.0,1.0,7.0,21.0,,,31.0,,19.0,,7.0,5.0,5.0,,7.0,1.0,,2.0,38.0,1.0,,1.0,12.0,10.0,1.0,5.0,,2.0,2.0,1.0,,1.0,,1.0,1.0,,14.0,14.0,24.0,,,1.0,0.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::e19c5e780a7347dcbb948ca726281b33,E. Carrasco,York,Goalkeeper,2020,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,90.0,13.0,,,8.0,,1.0,1.0,,3.0,1.0,3.0,18.0,,,22.0,,16.0,,3.0,9.0,1.0,,5.0,1.0,,2.0,25.0,1.0,,,8.0,10.0,,3.0,,,,,,1.0,,1.0,1.0,,5.0,6.0,19.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::f93dee067b364c69b3a231cfb723817f,B. Maan,Valour,Goalkeeper,2020,goalkeeper,1,90,0,0,0,0,0,0,0,0,2,0,0,0,100,74.0,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,90.0,11.0,,,15.0,,1.0,3.0,,7.0,,8.0,18.0,,2.0,26.0,,16.0,2.0,7.0,4.0,5.0,,11.0,1.0,,2.0,45.0,1.0,,,12.0,10.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,,1.0,2.0,,10.0,12.0,19.0,,,,0.0,2.0,2.0,,,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7c054612559b45f2a7ef690616b61862,T. Henry,Forge,Goalkeeper,2020,goalkeeper,10,900,0,0,0,0,0,0,0,0,6,0,0,0,100,85.0,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,900.0,133.0,,10.0,140.0,,14.0,20.0,,40.0,1.0,45.0,207.0,2.0,4.0,263.0,,191.0,7.0,42.0,65.0,29.0,1.0,79.0,10.0,,13.0,369.0,10.0,,4.0,95.0,10.0,12.0,30.0,6.0,7.0,9.0,12.0,8.0,15.0,2.0,10.0,11.0,,103.0,120.0,221.0,5.0,,4.0,0.0,8.0,8.0,,2.0,0.0,0.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::beca7bab90be4d31a7ff77853f824bea,H. Sobze Zemo,Atlético,Goalkeeper,2020,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
