playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,TimePlayed,Touches,SavesMadeFromOutsideBox,Punches,SuccessfulDribbles,Appearances,AerialDuelsWon,Duels,TotalTackles,TotalPasses,GoalkeeperSmother,SuccessfulOpenPlayPasses,Catches,TotalLossesOfPossession,UnsuccessfulLaunches,SuccessfulLongPasses,SuccessfulShortPasses,GkUnsuccessfulDistribution,SavesMade-Caught,Starts,Recoveries,CleanSheets,TotalClearances,UnsuccessfulPassesOwnHalf,SavesMadeFromInsideBox,TotalFoulsWon,PenaltiesFaced,PenaltiesConceded,TotalUnsuccessfulPasses(ExclCrosses&Corners),DuelsWon,GamesPlayed,TotalSuccessfulPasses(ExclCrosses&Corners),GoalsConcededOutsideBox,SavesMade,SuccessfulPassesOppositionHalf,GoalsConcededInsideBox,RightsidePasses,ForwardPasses,TotalFoulsConceded,FoulAttemptedTackle,YellowCards,LeftsidePasses,OwnGoalScored,SavesMade-Parried,SuccessfulLaunches,TacklesLost,DuelsLost,UnsuccessfulLongPasses,UnsuccessfulPassesOppositionHalf,AerialDuels,SuccessfulPassesOwnHalf,Index,Drops,GroundDuels,GkSuccessfulDistribution,PenaltyGoalsConceded,UnsuccessfulShortPasses,OpenPlayPasses,GroundDuelsLost,GroundDuelsWon,HomeGoals,AwayGoals,WinningGoal,PenaltiesSaved,SavesFromPenalty,CornersWon,SubstituteOff,HandballsConceded,AerialDuelsLost,Interceptions,CrossesNotClaimed,TacklesWon,KeyPasses(attemptAssists),StraightRedCards,TotalRedCards,Putthrough/blockedDistributionWon,Putthrough/blockedDistribution,UnsuccessfulLay-offs,SubstituteOn,TimesTackled,UnsuccessfulDribbles,ThrowInsToOppositionPlayer,ShotsOffTarget(incWoodwork),UnsuccessfulCrosses&Corners,TotalShots,GoalAssists,SuccessfulCrossesOpenPlay,Assists(intentional),ThroughBalls,BackwardPasses,TotalTouchesInOppositionBox,SuccessfulCrosses&Corners,Offsides,ThrowInsToOwnPlayer,UnsuccessfulCrossesOpenPlay,Blocks,GoalsFromInsideBox,RightFootGoals,BlockedShots,ShotsOnTarget(IncGoals),Goals,HeadedGoals,SecondGoalAssists,CornersTaken(inclShortCorners),UnsuccessfulCornersIntoBox,SuccessfulCornersIntoBox,LeftFootGoals,SetPiecesGoals,GoalsFromOutsideBox,AttemptsFromSetPieces,SuccessfulLay-offs,PenaltyGoals,PenaltiesTaken,ClearancesOffTheLine,FoulWonPenalty,OtherGoals,LastManTackle,RedCards-2ndYellow,PenaltiesOffTarget
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,2021,goalkeeper,25,2280,0,0,0,0,0,0,0,1,3,0,1,0,100,66.0,31,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280.0,909.0,16.0,3.0,1.0,25.0,4.0,10.0,1.0,708.0,1.0,330.0,11.0,248.0,103.0,145.0,321.0,66.0,2.0,25.0,214.0,7.0,17.0,53.0,39.0,3.0,4.0,1.0,242.0,7.0,25.0,466.0,3.0,57.0,86.0,28.0,126.0,450.0,1.0,1.0,1.0,132.0,1.0,13.0,38.0,1.0,3.0,237.0,189.0,4.0,380.0,10.0,2.0,6.0,209.0,4.0,5.0,468.0,3.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::1eb98b2bea804d4d8d782dc585fc4124,T. Farago,Valour,Goalkeeper,2021,goalkeeper,4,360,0,0,0,0,0,0,0,0,1,0,0,0,0,62.0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.0,154.0,5.0,,,4.0,,1.0,,111.0,1.0,39.0,2.0,45.0,12.0,18.0,50.0,13.0,,4.0,36.0,3.0,2.0,11.0,3.0,1.0,,,43.0,1.0,4.0,68.0,,8.0,12.0,1.0,13.0,70.0,,,,28.0,,4.0,3.0,,,42.0,32.0,,56.0,10.0,1.0,1.0,43.0,,1.0,59.0,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::f7b3dd095e88450ca085f9cf8a12f3b0,K. Baskett,Wanderers,Goalkeeper,2021,goalkeeper,10,900,0,0,0,0,0,0,0,0,3,0,2,0,100,64.0,11,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.0,330.0,12.0,2.0,,10.0,5.0,7.0,,236.0,1.0,70.0,5.0,90.0,28.0,40.0,110.0,37.0,1.0,10.0,79.0,4.0,4.0,21.0,14.0,3.0,1.0,,86.0,7.0,10.0,150.0,3.0,26.0,23.0,8.0,47.0,146.0,,,2.0,43.0,,8.0,7.0,,,79.0,65.0,5.0,127.0,10.0,1.0,2.0,113.0,,7.0,97.0,,2.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d3eccdc138364416ab9dd2b141d41e76,J. Holliday,Cavalry,Goalkeeper,2021,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::72e65d5165df41d198c80f48acb6e327,D. Murasiranwa,Valour,Goalkeeper,2021,goalkeeper,5,431,0,0,0,0,0,0,0,1,0,0,0,0,100,47.0,5,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.0,143.0,2.0,3.0,,5.0,2.0,6.0,,83.0,2.0,22.0,4.0,46.0,14.0,18.0,21.0,23.0,,5.0,41.0,1.0,8.0,13.0,12.0,,1.0,1.0,44.0,4.0,5.0,39.0,1.0,14.0,10.0,4.0,8.0,65.0,1.0,,,10.0,,6.0,4.0,,2.0,44.0,31.0,2.0,29.0,10.0,,4.0,44.0,1.0,,35.0,2.0,2.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7c054612559b45f2a7ef690616b61862,T. Henry,Forge,Goalkeeper,2021,goalkeeper,24,2160,0,0,0,0,0,0,0,1,11,0,5,0,90,80.0,22,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160.0,788.0,29.0,6.0,,24.0,9.0,20.0,,523.0,6.0,218.0,17.0,113.0,41.0,62.0,354.0,32.0,,24.0,234.0,8.0,16.0,28.0,26.0,11.0,2.0,,107.0,18.0,24.0,416.0,3.0,55.0,29.0,19.0,128.0,225.0,1.0,,5.0,170.0,,19.0,12.0,,2.0,104.0,79.0,10.0,387.0,10.0,2.0,10.0,288.0,1.0,3.0,261.0,1.0,9.0,,,0.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::c838c44902a6469485723a328e0d5531,M. Silva,York,Goalkeeper,2021,goalkeeper,4,360,0,0,0,0,0,0,0,0,2,0,0,0,100,66.0,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.0,163.0,5.0,,,4.0,1.0,3.0,,121.0,,44.0,2.0,44.0,17.0,22.0,57.0,15.0,1.0,4.0,32.0,1.0,,13.0,9.0,2.0,,,42.0,3.0,4.0,79.0,1.0,14.0,8.0,4.0,31.0,62.0,,,,28.0,,5.0,2.0,,,42.0,29.0,1.0,71.0,10.0,1.0,2.0,49.0,,,68.0,,2.0,0.0,0.0,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::364352c812a14e868234e4883c9bd4e0,N. Ingham,Atlético,Goalkeeper,2021,goalkeeper,22,1900,0,0,0,0,0,0,1,0,3,0,0,0,100,66.0,27,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.0,810.0,21.0,7.0,,22.0,5.0,9.0,1.0,574.0,4.0,189.0,4.0,207.0,77.0,114.0,262.0,70.0,3.0,22.0,196.0,5.0,15.0,53.0,52.0,3.0,6.0,,198.0,9.0,22.0,376.0,2.0,74.0,65.0,25.0,79.0,377.0,,,,118.0,,21.0,19.0,,,194.0,145.0,5.0,311.0,10.0,2.0,4.0,240.0,3.0,4.0,269.0,,4.0,,,0.0,2.0,2.0,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::ed6b655ed6bb4c7baedb0fe8fc42495d,C. Irving,Vancouver FC,Goalkeeper,2021,goalkeeper,27,2446,0,0,0,0,0,0,2,1,3,0,0,1,90,71.0,29,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446.0,1082.0,24.0,10.0,,27.0,9.0,14.0,2.0,824.0,2.0,412.0,19.0,245.0,77.0,188.0,397.0,65.0,3.0,27.0,234.0,8.0,27.0,51.0,47.0,3.0,4.0,,239.0,13.0,27.0,585.0,4.0,71.0,75.0,25.0,172.0,411.0,1.0,,,241.0,,16.0,31.0,,1.0,234.0,188.0,10.0,510.0,10.0,4.0,4.0,250.0,4.0,5.0,531.0,,4.0,0.0,0.0,0.0,,,,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::f93dee067b364c69b3a231cfb723817f,B. Maan,Valour,Goalkeeper,2021,goalkeeper,6,540,0,0,0,0,0,0,0,1,1,0,1,0,100,82.0,4,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.0,181.0,2.0,1.0,,6.0,1.0,3.0,,122.0,1.0,57.0,3.0,22.0,13.0,19.0,81.0,2.0,,6.0,51.0,3.0,4.0,7.0,9.0,1.0,,,22.0,2.0,6.0,100.0,1.0,11.0,5.0,3.0,32.0,55.0,1.0,,1.0,35.0,,4.0,5.0,,1.0,20.0,15.0,1.0,95.0,10.0,1.0,2.0,69.0,,2.0,74.0,1.0,1.0,,,0.0,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
