playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,SuccessfulPassesOppositionHalf,TotalFoulsWon,TotalUnsuccessfulPasses(ExclCrosses&Corners),Starts,Duels,AerialDuelsWon,GroundDuelsLost,SuccessfulLongPasses,DuelsWon,SavesMadeFromOutsideBox,TotalSuccessfulPasses(ExclCrosses&Corners),ForwardPasses,GroundDuels,SuccessfulPassesOwnHalf,YellowCards,Interceptions,PenaltyGoalsConceded,PenaltiesFaced,UnsuccessfulPassesOppositionHalf,Appearances,CleanSheets,SavesMadeFromInsideBox,LeftsidePasses,SavesMade,UnsuccessfulPassesOwnHalf,Recoveries,SavesMade-Parried,Index,OpenPlayPasses,GoalkeeperSmother,Catches,DuelsLost,SuccessfulShortPasses,CrossesNotClaimed,GamesPlayed,GkUnsuccessfulDistribution,TotalPasses,TotalClearances,Punches,Drops,Touches,SavesMade-Caught,SuccessfulOpenPlayPasses,TotalLossesOfPossession,RightsidePasses,TimePlayed,CornersWon,UnsuccessfulLongPasses,GoalsConcededOutsideBox,UnsuccessfulLaunches,AerialDuels,GroundDuelsWon,GkSuccessfulDistribution,GoalsConcededInsideBox,SuccessfulLaunches,UnsuccessfulShortPasses,WinningGoal,AerialDuelsLost,SubstituteOn,TotalFoulsConceded,SubstituteOff,SavesFromPenalty,PenaltiesSaved,TotalTackles,LastManTackle,TacklesWon,PenaltiesConceded,TacklesLost,SuccessfulDribbles,KeyPasses(attemptAssists),Putthrough/blockedDistribution,Putthrough/blockedDistributionWon,HomeGoals,AwayGoals,FoulAttemptedTackle,OwnGoalScored,TotalShots,ShotsOffTarget(incWoodwork),TotalTouchesInOppositionBox,UnsuccessfulCornersIntoBox,CornersTaken(inclShortCorners),ThrowInsToOwnPlayer,ThrowInsToOppositionPlayer,SuccessfulCrosses&Corners,UnsuccessfulCrossesOpenPlay,BackwardPasses,UnsuccessfulCrosses&Corners,SuccessfulCornersIntoBox,UnsuccessfulDribbles,GoalAssists,ShotsOnTarget(IncGoals),ThroughBalls,Assists(intentional),AttemptsFromSetPieces,TimesTackled,BlockedShots,SuccessfulLay-offs,Blocks,SuccessfulCrossesOpenPlay,HandballsConceded,StraightRedCards,TotalRedCards,RedCards-2ndYellow,Offsides,ClearancesOffTheLine,FoulWonPenalty,GoalsFromInsideBox,RightFootGoals,Goals,HeadedGoals,GoalsFromOutsideBox,LeftFootGoals,OtherGoals,SecondGoalAssists,PenaltiesTaken,PenaltyGoals,SetPiecesGoals,UnsuccessfulLay-offs
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,2022,goalkeeper,26,2340,0,0,0,0,0,0,0,0,4,0,1,0,100,74.0,28,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,4.0,207.0,26.0,10.0,5.0,1.0,136.0,9.0,22.0,570.0,401.0,5.0,496.0,1.0,2.0,1.0,1.0,162.0,26.0,10.0,35.0,184.0,57.0,45.0,228.0,14.0,10.0,528.0,3.0,17.0,1.0,434.0,1.0,26.0,41.0,777.0,25.0,5.0,1.0,1019.0,2.0,403.0,218.0,192.0,2340.0,2.0,204.0,4.0,73.0,5.0,4.0,266.0,24.0,26.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7e18ad4df0bc44ce92ddcffed48d7b88,J. Roloff,Cavalry,Goalkeeper,2022,goalkeeper,4,360,0,0,0,0,0,0,0,0,1,0,0,0,0,73.0,8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1.0,26.0,4.0,2.0,,,17.0,1.0,3.0,67.0,59.0,1.0,59.0,,,2.0,2.0,18.0,4.0,,9.0,20.0,12.0,8.0,36.0,5.0,10.0,44.0,,2.0,1.0,50.0,,4.0,10.0,93.0,2.0,1.0,,130.0,,36.0,27.0,14.0,360.0,,25.0,3.0,9.0,1.0,1.0,46.0,5.0,3.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::c413f9ab15ee494581fcc06bba6806ff,A. De Rosario,Toronto,Goalkeeper,2022,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8.0,1.0,,,,,,1.0,11.0,14.0,,11.0,,,,,5.0,1.0,,2.0,1.0,3.0,3.0,12.0,,10.0,14.0,,,,11.0,,1.0,1.0,19.0,1.0,1.0,,32.0,,9.0,8.0,4.0,90.0,,7.0,1.0,4.0,,,11.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::f7b3dd095e88450ca085f9cf8a12f3b0,K. Baskett,Wanderers,Goalkeeper,2022,goalkeeper,9,810,0,0,0,0,0,0,0,0,1,0,2,0,100,64.0,12,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,1.0,80.0,9.0,5.0,4.0,,43.0,5.0,10.0,137.0,145.0,1.0,114.0,2.0,,,,62.0,9.0,5.0,16.0,37.0,26.0,18.0,77.0,4.0,10.0,105.0,3.0,5.0,,94.0,1.0,9.0,25.0,217.0,10.0,5.0,,317.0,2.0,73.0,82.0,35.0,810.0,,79.0,2.0,32.0,4.0,1.0,111.0,10.0,9.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d3eccdc138364416ab9dd2b141d41e76,J. Holliday,Cavalry,Goalkeeper,2022,goalkeeper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,10.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::114243c66bf84de08c89d82c84024efa,A. Vaikla,Scrosoppi,Goalkeeper,2022,goalkeeper,21,1844,0,0,0,0,0,0,1,1,3,0,1,0,88,55.0,40,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,3.0,221.0,21.0,16.0,8.0,2.0,131.0,13.0,19.0,269.0,365.0,7.0,200.0,1.0,,6.0,7.0,176.0,21.0,3.0,39.0,74.0,58.0,45.0,178.0,8.0,10.0,201.0,3.0,14.0,3.0,138.0,1.0,21.0,104.0,490.0,15.0,5.0,6.0,709.0,4.0,142.0,224.0,51.0,1844.0,,218.0,5.0,59.0,9.0,5.0,196.0,35.0,27.0,3.0,0.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d65b644d608b40dbb79ba6a0fb08d7f1,A. Rushenas,Wanderers,Goalkeeper,2022,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::16b384ec036b4bccb9be3e98bf2b8088,M. Village,Pacific,Goalkeeper,2022,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::ed6b655ed6bb4c7baedb0fe8fc42495d,C. Irving,Vancouver FC,Goalkeeper,2022,goalkeeper,28,2520,0,0,0,0,0,0,0,0,9,0,0,0,100,73.0,34,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,9.0,233.0,28.0,19.0,7.0,,139.0,19.0,18.0,623.0,448.0,12.0,548.0,,2.0,4.0,4.0,200.0,28.0,9.0,50.0,211.0,68.0,33.0,249.0,19.0,10.0,532.0,5.0,22.0,,484.0,,28.0,63.0,856.0,23.0,12.0,6.0,1132.0,3.0,430.0,235.0,197.0,2520.0,,231.0,7.0,78.0,7.0,12.0,267.0,27.0,17.0,2.0,0.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7c054612559b45f2a7ef690616b61862,T. Henry,Forge,Goalkeeper,2022,goalkeeper,30,2700,0,0,0,0,0,0,0,1,10,0,3,0,100,89.0,25,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,10.0,70.0,30.0,12.0,4.0,1.0,64.0,11.0,23.0,517.0,268.0,8.0,497.0,3.0,1.0,,,40.0,30.0,11.0,46.0,148.0,70.0,30.0,248.0,20.0,10.0,300.0,4.0,24.0,1.0,453.0,,30.0,6.0,587.0,14.0,7.0,2.0,896.0,3.0,257.0,70.0,171.0,2700.0,1.0,64.0,3.0,31.0,4.0,7.0,386.0,22.0,8.0,6.0,0.0,,,1.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
