playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,KeyPasses(attemptAssists),Touches,YellowCards,TotalUnsuccessfulPasses(ExclCrosses&Corners),TimePlayed,GroundDuelsLost,Catches,AerialDuelsWon,DuelsWon,GoalsConcededOutsideBox,PenaltiesFaced,SuccessfulOpenPlayPasses,SuccessfulLaunches,GroundDuels,SavesMadeFromInsideBox,Duels,UnsuccessfulLaunches,Putthrough/blockedDistribution,CleanSheets,LeftsidePasses,Starts,SavesMade-Parried,SavesMade,TotalFoulsConceded,PenaltyGoalsConceded,GoalsConcededInsideBox,TotalClearances,TotalPasses,Recoveries,SuccessfulPassesOppositionHalf,GoalkeeperSmother,GkUnsuccessfulDistribution,GamesPlayed,SuccessfulPassesOwnHalf,ForwardPasses,RightsidePasses,Drops,Putthrough/blockedDistributionWon,UnsuccessfulLongPasses,Punches,DuelsLost,SuccessfulLongPasses,GkSuccessfulDistribution,TotalLossesOfPossession,Index,Appearances,OpenPlayPasses,UnsuccessfulShortPasses,SavesMadeFromOutsideBox,FoulAttemptedTackle,SuccessfulShortPasses,AerialDuels,TacklesLost,TotalTackles,TotalTouchesInOppositionBox,TotalSuccessfulPasses(ExclCrosses&Corners),UnsuccessfulPassesOppositionHalf,TotalFoulsWon,GoalKicks,GroundDuelsWon,UnsuccessfulPassesOwnHalf,PenaltiesConceded,CornersWon,WinningGoal,SavesMade-Caught,AerialDuelsLost,Interceptions,SuccessfulDribbles,SubstituteOff,SubstituteOn,CrossesNotClaimed,UnsuccessfulLay-offs,SavesFromPenalty,PenaltiesSaved,OwnGoalScored,CornersTaken(inclShortCorners),TotalShots,UnsuccessfulCrossesOpenPlay,ThrowInsToOppositionPlayer,UnsuccessfulCrosses&Corners,TacklesWon,BlockedShots,ShotsOnTarget(IncGoals),TimesTackled,Blocks,SuccessfulCrosses&Corners,ThrowInsToOwnPlayer,UnsuccessfulCornersIntoBox,SuccessfulCrossesOpenPlay,SuccessfulCornersIntoBox,BackwardPasses,UnsuccessfulDribbles,RightFootGoals,SuccessfulLay-offs,Assists(intentional),GoalsFromInsideBox,Goals,Offsides,PenaltiesTaken,GoalAssists,ShotsOffTarget(incWoodwork),PenaltyGoals,LeftFootGoals,SecondGoalAssists,AttemptsFromSetPieces,HomeGoals,AwayGoals,HandballsConceded,Overruns,HeadedGoals,ThroughBalls,LastManTackle,FoulWonPenalty,ClearancesOffTheLine,GoalsFromOutsideBox,StraightRedCards,TotalRedCards,LastPlayerTackle,RedCards-2ndYellow,SetPiecesGoals,PenaltiesOffTarget,OtherGoals
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,2023,goalkeeper,31,2820,0,0,0,0,0,0,0,2,3,0,3,0,100,79.0,32,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1359.0,3.0,234.0,2820.0,3.0,31.0,6.0,8.0,4.0,5.0,599.0,25.0,5.0,38.0,11.0,43.0,2.0,8.0,269.0,31.0,18.0,73.0,2.0,4.0,28.0,27.0,1080.0,242.0,95.0,3.0,62.0,31.0,751.0,541.0,270.0,2.0,1.0,231.0,9.0,3.0,171.0,336.0,239.0,10.0,31.0,723.0,3.0,35.0,2.0,675.0,6.0,1.0,1.0,3.0,846.0,184.0,3.0,268.0,2.0,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::641227fe9b374c1985d5ccdcee618d2a,S. Kerr,Cavalry,Goalkeeper,2023,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::3c3ac97f7b7447d6927f896cea388d2e,Y. Fillion,Wanderers,Goalkeeper,2023,goalkeeper,29,2610,0,0,0,0,0,0,0,0,4,0,5,0,83,72.0,33,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1006.0,5.0,199.0,2610.0,,21.0,5.0,10.0,9.0,3.0,287.0,13.0,5.0,54.0,11.0,45.0,1.0,7.0,179.0,29.0,28.0,73.0,,3.0,24.0,44.0,702.0,227.0,57.0,4.0,47.0,29.0,446.0,364.0,159.0,2.0,,190.0,13.0,1.0,109.0,319.0,206.0,10.0,29.0,399.0,9.0,19.0,,394.0,6.0,,,,503.0,155.0,4.0,217.0,5.0,44.0,,,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d3eccdc138364416ab9dd2b141d41e76,J. Holliday,Cavalry,Goalkeeper,2023,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d65b644d608b40dbb79ba6a0fb08d7f1,A. Rushenas,Wanderers,Goalkeeper,2023,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7f4d96458ffc48c9960432cf6eea677e,J. Zielinski,Vancouver FC,Goalkeeper,2023,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.0,,17.0,90.0,,3.0,,,,,7.0,1.0,,1.0,,1.0,,,2.0,1.0,,2.0,,,1.0,,30.0,10.0,5.0,,6.0,1.0,8.0,26.0,2.0,,,16.0,,,9.0,6.0,17.0,10.0,1.0,9.0,1.0,1.0,,4.0,,,,,13.0,15.0,,10.0,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::b638f4ff8c81492ea643a29f93f664f5,J. Garner,Pacific,Goalkeeper,2023,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::ed6b655ed6bb4c7baedb0fe8fc42495d,C. Irving,Vancouver FC,Goalkeeper,2023,goalkeeper,27,2430,0,0,0,0,0,0,0,0,4,0,1,0,100,59.0,49,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1237.0,1.0,393.0,2430.0,3.0,30.0,6.0,9.0,5.0,7.0,366.0,9.0,6.0,64.0,12.0,76.0,3.0,5.0,187.0,27.0,26.0,88.0,,7.0,44.0,24.0,947.0,284.0,113.0,10.0,143.0,27.0,441.0,594.0,166.0,,,384.0,8.0,3.0,176.0,236.0,401.0,10.0,27.0,489.0,9.0,23.0,,378.0,6.0,,,,554.0,356.0,4.0,254.0,3.0,37.0,,,0.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::f7b3dd095e88450ca085f9cf8a12f3b0,K. Baskett,Wanderers,Goalkeeper,2023,goalkeeper,10,900,0,0,0,0,0,0,0,0,3,0,0,0,100,72.0,13,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,284.0,,57.0,900.0,,10.0,4.0,6.0,,2.0,71.0,4.0,2.0,17.0,6.0,9.0,1.0,3.0,50.0,10.0,3.0,22.0,,2.0,13.0,2.0,199.0,70.0,25.0,1.0,24.0,10.0,117.0,112.0,37.0,2.0,,55.0,1.0,,41.0,90.0,60.0,10.0,10.0,90.0,2.0,4.0,,101.0,4.0,,,,142.0,49.0,3.0,70.0,2.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::655a241e039a4965b7f38990c3f8d981,E. Himaras,Valour,Goalkeeper,2023,goalkeeper,2,180,0,0,0,0,0,0,0,0,0,0,0,0,100,85.0,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,68.0,,7.0,180.0,,2.0,1.0,1.0,1.0,,27.0,,,5.0,1.0,,,,12.0,2.0,2.0,9.0,,,2.0,1.0,46.0,15.0,,,3.0,2.0,39.0,13.0,21.0,,,7.0,,,6.0,20.0,7.0,10.0,2.0,29.0,,4.0,,33.0,1.0,,,,39.0,7.0,,13.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
