playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,DuelsWon,SavesMade-Parried,UnsuccessfulLongPasses,GoalAssists,PenaltyGoalsConceded,YellowCards,PenaltiesConceded,TotalLossesOfPossession,GoalsConcededOutsideBox,GoalKicks,TotalUnsuccessfulPasses(ExclCrosses&Corners),GkUnsuccessfulDistribution,TotalPasses,AerialDuelsWon,TotalFoulsWon,Drops,Recoveries,GamesPlayed,TotalTackles,Starts,TotalSuccessfulPasses(ExclCrosses&Corners),SuccessfulShortPasses,Catches,TotalFoulsConceded,AerialDuels,GkSuccessfulDistribution,PenaltiesFaced,Appearances,FoulAttemptedTackle,SuccessfulLaunches,Touches,SuccessfulPassesOppositionHalf,SuccessfulLongPasses,UnsuccessfulPassesOppositionHalf,CrossesNotClaimed,SavesMadeFromOutsideBox,SavesMade-Caught,UnsuccessfulPassesOwnHalf,LeftsidePasses,GoalsConcededInsideBox,ForwardPasses,DuelsLost,SavesMadeFromInsideBox,Putthrough/blockedDistribution,Duels,GroundDuels,KeyPasses(attemptAssists),UnsuccessfulShortPasses,SuccessfulOpenPlayPasses,UnsuccessfulLaunches,Index,TacklesWon,SavesMade,TotalClearances,OpenPlayPasses,SuccessfulPassesOwnHalf,Assists(intentional),CleanSheets,RightsidePasses,GroundDuelsWon,TimePlayed,Punches,GoalkeeperSmother,GroundDuelsLost,WinningGoal,PenaltiesSaved,Putthrough/blockedDistributionWon,SavesFromPenalty,CornersWon,SubstituteOff,SubstituteOn,HandballsConceded,TotalRedCards,SuccessfulDribbles,AerialDuelsLost,StraightRedCards,TimesTackled,UnsuccessfulLay-offs,TotalTouchesInOppositionBox,TotalShots,ShotsOffTarget(incWoodwork),TacklesLost,ShotsOnTarget(IncGoals),Interceptions,OwnGoalScored,ThrowInsToOwnPlayer,SuccessfulCrosses&Corners,SuccessfulCrossesOpenPlay,BlockedShots,GoalsFromInsideBox,UnsuccessfulCornersIntoBox,SuccessfulCornersIntoBox,ThrowInsToOppositionPlayer,CornersTaken(inclShortCorners),Goals,SuccessfulLay-offs,PenaltiesTaken,Blocks,RightFootGoals,Offsides,BackwardPasses,SecondGoalAssists,UnsuccessfulCrosses&Corners,UnsuccessfulCrossesOpenPlay,ThroughBalls,Overruns,UnsuccessfulDribbles,HomeGoals,AwayGoals,LeftFootGoals,LastPlayerTackle,HeadedGoals,OtherGoals,AttemptsFromSetPieces,ClearancesOffTheLine,RedCards-2ndYellow,PenaltyGoals,FoulWonPenalty,GoalsFromOutsideBox,PenaltiesOffTarget,SetPiecesGoals
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,2024,goalkeeper,29,2610,0,1,0,1,0,1,1,1,4,0,1,0,0,75.0,27,0.93,0,0,0,0,0,0,0,0,100.0,93.33,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,11.0,207.0,1.0,3.0,1.0,1.0,216.0,5.0,234.0,210.0,68.0,825.0,12.0,4.0,1.0,224.0,29.0,1.0,29.0,615.0,506.0,19.0,1.0,12.0,281.0,3.0,29.0,1.0,25.0,1052.0,59.0,109.0,168.0,1.0,33.0,1.0,42.0,211.0,22.0,438.0,1.0,28.0,1.0,15.0,3.0,2.0,3.0,421.0,89.0,10.0,1.0,61.0,18.0,517.0,556.0,1.0,9.0,176.0,2.0,2610.0,12.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d3eccdc138364416ab9dd2b141d41e76,J. Holliday,Cavalry,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::3c3ac97f7b7447d6927f896cea388d2e,Y. Fillion,Wanderers,Goalkeeper,2024,goalkeeper,24,2160,0,0,0,0,0,0,0,1,3,0,9,0,0,73.0,36,1.5,0,0,0,0,0,0,0,0,0.0,71.43,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,16.0,146.0,,2.0,9.0,,155.0,5.0,157.0,150.0,29.0,549.0,3.0,3.0,1.0,140.0,24.0,,24.0,399.0,298.0,12.0,1.0,3.0,207.0,3.0,24.0,1.0,29.0,729.0,65.0,101.0,120.0,,16.0,2.0,30.0,121.0,31.0,322.0,2.0,40.0,2.0,7.0,4.0,,4.0,243.0,96.0,10.0,,57.0,20.0,326.0,334.0,,4.0,106.0,2.0,2160.0,8.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::a86a1a3737bc4895b1340dc348ae5b09,S. Melvin,Pacific,Goalkeeper,2024,goalkeeper,7,609,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,10,1.48,0,0,0,0,0,0,0,0,0.0,66.67,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,5.0,42.0,,,,,43.0,2.0,52.0,43.0,10.0,155.0,2.0,,1.0,53.0,7.0,,6.0,112.0,85.0,3.0,,2.0,75.0,,7.0,,7.0,226.0,20.0,27.0,37.0,,7.0,,6.0,38.0,8.0,91.0,1.0,12.0,1.0,3.0,1.0,,1.0,59.0,25.0,10.0,,24.0,8.0,82.0,92.0,,2.0,26.0,,609.0,3.0,,1.0,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d7a3107cbc0c426399a5c65c18e39d14,N. Giantsopoulos,Vancouver,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::ed004eacaca144bda4943965af890853,E. Gazdov,Pacific,Goalkeeper,2024,goalkeeper,21,1729,0,0,0,0,0,0,0,1,3,0,3,1,0,64.0,18,0.94,0,0,0,0,0,0,0,0,0.0,85.71,88.89,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,17.0,163.0,,1.0,3.0,,169.0,3.0,155.0,166.0,52.0,457.0,8.0,3.0,3.0,118.0,21.0,,20.0,291.0,204.0,14.0,1.0,9.0,170.0,2.0,21.0,,30.0,631.0,52.0,87.0,137.0,,23.0,,29.0,98.0,15.0,287.0,2.0,24.0,,14.0,5.0,2.0,3.0,160.0,80.0,10.0,,48.0,29.0,222.0,239.0,,7.0,72.0,4.0,1729.0,12.0,3.0,1.0,0.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::ed6b655ed6bb4c7baedb0fe8fc42495d,C. Irving,Vancouver,Goalkeeper,2024,goalkeeper,28,2520,0,0,0,0,0,0,0,0,2,0,1,0,0,63.0,43,1.54,0,0,0,0,0,0,0,0,0.0,69.23,87.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,24.0,332.0,,4.0,1.0,,338.0,2.0,230.0,335.0,116.0,903.0,7.0,2.0,2.0,248.0,28.0,,28.0,568.0,370.0,18.0,,8.0,247.0,6.0,28.0,,40.0,1178.0,103.0,198.0,289.0,,34.0,1.0,46.0,184.0,41.0,541.0,4.0,59.0,1.0,13.0,5.0,,3.0,407.0,128.0,10.0,,95.0,20.0,529.0,465.0,,5.0,178.0,2.0,2520.0,5.0,1.0,3.0,0.0,2.0,,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::3023352676954b56b16a0f7ca64bd877,D. Zadravec,Pacific,Goalkeeper,2024,goalkeeper,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,6,2.0,0,0,0,0,0,0,0,0,0.0,100.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,11.0,,,,,12.0,1.0,23.0,11.0,6.0,54.0,1.0,,,18.0,3.0,,3.0,43.0,35.0,3.0,,1.0,31.0,,3.0,,1.0,80.0,4.0,8.0,6.0,,3.0,,5.0,15.0,5.0,28.0,,3.0,,1.0,,,,23.0,4.0,10.0,,6.0,2.0,27.0,39.0,,,11.0,,270.0,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d65b644d608b40dbb79ba6a0fb08d7f1,A. Rushenas,Wanderers,Goalkeeper,2024,goalkeeper,4,360,0,0,0,0,0,0,0,0,1,0,0,0,0,79.0,7,1.75,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,18.0,,1.0,,,20.0,1.0,28.0,19.0,,89.0,,1.0,1.0,31.0,4.0,,4.0,70.0,63.0,2.0,,,51.0,1.0,4.0,,5.0,138.0,4.0,7.0,10.0,,5.0,,9.0,19.0,6.0,43.0,,10.0,,1.0,1.0,,1.0,36.0,15.0,10.0,,15.0,6.0,54.0,66.0,,,27.0,1.0,360.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::bf9d7c043957457e9e346f393e66152f,T. Vincensini,Inter Toronto,Goalkeeper,2024,goalkeeper,30,2730,0,0,1,0,0,0,2,1,3,0,4,0,0,76.0,38,1.25,0,0,0,0,0,0,0,0,100.0,77.78,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,20.0,241.0,,3.0,4.0,1.0,254.0,5.0,242.0,247.0,62.0,1022.0,9.0,3.0,3.0,273.0,30.0,2.0,30.0,775.0,578.0,24.0,1.0,9.0,340.0,4.0,30.0,1.0,48.0,1348.0,82.0,197.0,166.0,,26.0,4.0,81.0,268.0,33.0,494.0,4.0,52.0,1.0,18.0,9.0,,6.0,536.0,136.0,10.0,2.0,79.0,39.0,668.0,693.0,,7.0,260.0,5.0,2730.0,21.0,3.0,4.0,0.0,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
