playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,AerialDuels,AerialDuelsLost,AerialDuelsWon,Appearances,Carries,Catches,CleanSheets,CornersWon,CrossesNotClaimed,Drops,Duels,DuelsLost,DuelsWon,ForwardPasses,GkSuccessfulDistribution,GkUnsuccessfulDistribution,GamesPlayed,GoalAssists,GoalKicks,GoalkeeperSmother,GoalsConcededInsideBox,GoalsConcededOutsideBox,GroundDuels,GroundDuelsLost,GroundDuelsWon,HandballsConceded,Index,KeyPasses(attemptAssists),LastPlayerTackle,LeftsidePasses,OpenPlayPasses,PenaltiesFaced,PenaltyGoalsConceded,ProgressiveCarries,Punches,Recoveries,RightsidePasses,SavesMade,SavesMadeFromInsideBox,SavesMadeFromOutsideBox,SavesMade-Caught,SavesMade-Parried,Starts,SuccessfulDribbles,SuccessfulLaunches,SuccessfulLongPasses,SuccessfulOpenPlayPasses,SuccessfulPassesOppositionHalf,SuccessfulPassesOwnHalf,SuccessfulShortPasses,TacklesLost,ThrowInsToOwnPlayer,TimePlayed,TotalBigChancesCreated,TotalBigChancesSaved,TotalClearances,TotalFoulsConceded,TotalFoulsWon,TotalLossesOfPossession,TotalPasses,TotalSuccessfulPasses(ExclCrosses&Corners),TotalTackles,TotalUnsuccessfulPasses(ExclCrosses&Corners),Touches,UnsuccessfulCrosses&Corners,UnsuccessfulLaunches,UnsuccessfulLongPasses,UnsuccessfulPassesOppositionHalf,UnsuccessfulPassesOwnHalf,UnsuccessfulShortPasses,YellowCards,WinningGoal,Putthrough/blockedDistribution,SuccessfulLay-offs,SubstituteOn,FoulAttemptedTackle,PenaltiesConceded,ShotsOffTarget(incWoodwork),TotalShots,TotalTouchesInOppositionBox,OwnGoalScored,PenaltiesSaved,SavesFromPenalty,UnsuccessfulLay-offs,Interceptions,Putthrough/blockedDistributionWon,StraightRedCards,TotalRedCards,TacklesWon,Goals,RedCards-2ndYellow,SubstituteOff,BackwardPasses,FinalThirdTouches,Assists(intentional),BlockedShots,Blocks,CornersTaken(inclShortCorners),GoalsFromInsideBox,Offsides,PenaltiesTaken,PenaltyGoals,RightFootGoals,SecondGoalAssists,ShotsOnTarget(IncGoals),SuccessfulCornersIntoBox,SuccessfulCrosses&Corners,SuccessfulCrossesOpenPlay,ThroughBalls,ThrowInsToOppositionPlayer,TimesTackled,TotalBigChancesScored,UnsuccessfulCornersIntoBox,UnsuccessfulCrossesOpenPlay,UnsuccessfulDribbles,HomeGoals,AwayGoals,Overruns,ClearancesOffTheLine,HeadedGoals,TotalBigChancesMissed,PenaltiesOffTarget,GoalsOpenplay,AttemptsFromSetPieces,GoalsFromOutsideBox,LeftFootGoals,OtherGoals,FoulWonPenalty,SetPiecesGoals
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,2025,goalkeeper,31,2820,0,1,0,1,0,1,0,1,5,0,4,0,0,76.0,39,1.24,0,0,0,0,0,0,0,0,0.0,83.33,88.89,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,8.0,31.0,110.0,13.0,8.0,3.0,1.0,6.0,18.0,3.0,15.0,472.0,238.0,79.0,31.0,1.0,220.0,8.0,35.0,4.0,9.0,2.0,7.0,1.0,10.0,1.0,1.0,256.0,685.0,3.0,3.0,63.0,13.0,219.0,269.0,70.0,39.0,30.0,1.0,17.0,31.0,2.0,49.0,158.0,568.0,91.0,660.0,593.0,2.0,1.0,2820.0,1.0,2.0,27.0,1.0,5.0,248.0,997.0,751.0,2.0,246.0,1234.0,1.0,97.0,235.0,198.0,49.0,11.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d3eccdc138364416ab9dd2b141d41e76,J. Holliday,Cavalry,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::9a4eee0d25484d5f90e1813044a4feae,N. Fewster,Cavalry,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::0b10dc469e84486cbf18d636e3bc635e,J. Koleilat,Forge,Goalkeeper,2025,goalkeeper,29,2610,0,0,0,0,0,0,0,0,4,0,2,0,0,88.0,24,0.83,0,0,0,0,0,0,0,0,0.0,100.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,,3.0,29.0,38.0,11.0,13.0,,,1.0,7.0,,7.0,207.0,321.0,22.0,29.0,,232.0,1.0,20.0,4.0,4.0,,4.0,,10.0,,,108.0,258.0,3.0,2.0,22.0,11.0,175.0,222.0,69.0,40.0,27.0,3.0,17.0,29.0,,14.0,52.0,229.0,18.0,452.0,418.0,,,2610.0,,3.0,24.0,,4.0,70.0,537.0,470.0,,67.0,759.0,,30.0,63.0,38.0,29.0,4.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::0a71cc5786ac4cb6a42caa6d849c2129,C. Kalongo,Forge,Goalkeeper,2025,goalkeeper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,90.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,,,,,,,,,,2.0,,1.0,1.0,,1.0,,,1.0,,,,,10.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,2.0,2.0,,,2.0,4.0,,,2.0,1.0,1.0,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::95c5a896975b488cb559f52bde46d3d4,R. Yesli,Wanderers,Goalkeeper,2025,goalkeeper,28,2545,0,0,1,0,0,0,0,3,2,0,5,0,0,70.0,36,1.27,0,0,0,0,0,0,0,0,0.0,42.86,80.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,4.0,28.0,64.0,12.0,8.0,,1.0,4.0,14.0,8.0,6.0,389.0,244.0,51.0,28.0,,177.0,2.0,32.0,4.0,9.0,7.0,2.0,,10.0,,,127.0,400.0,4.0,3.0,17.0,18.0,209.0,129.0,65.0,39.0,24.0,4.0,13.0,28.0,,26.0,106.0,298.0,59.0,389.0,342.0,,1.0,2545.0,,1.0,38.0,3.0,2.0,199.0,645.0,448.0,,197.0,893.0,,99.0,190.0,156.0,41.0,7.0,5.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::ed6b655ed6bb4c7baedb0fe8fc42495d,C. Irving,Vancouver,Goalkeeper,2025,goalkeeper,28,2520,0,0,0,0,0,0,0,0,5,0,0,0,0,68.0,57,2.04,0,0,0,0,0,0,0,0,0.0,94.44,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,,11.0,28.0,135.0,24.0,2.0,,1.0,4.0,18.0,1.0,17.0,556.0,240.0,97.0,28.0,,207.0,3.0,46.0,11.0,7.0,1.0,6.0,,10.0,,,223.0,619.0,4.0,2.0,50.0,15.0,291.0,199.0,97.0,66.0,29.0,2.0,27.0,28.0,2.0,30.0,219.0,483.0,107.0,555.0,443.0,,,2520.0,,4.0,33.0,,5.0,324.0,978.0,662.0,,316.0,1285.0,,102.0,312.0,266.0,50.0,4.0,,0.0,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::655a241e039a4965b7f38990c3f8d981,E. Himaras,Valour,Goalkeeper,2025,goalkeeper,9,810,0,0,0,0,0,0,0,0,2,0,1,1,0,77.0,21,2.33,0,0,0,0,0,0,0,0,0.0,100.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,1.0,9.0,35.0,5.0,1.0,,,4.0,4.0,,4.0,117.0,86.0,12.0,9.0,,58.0,,19.0,2.0,3.0,,3.0,,10.0,1.0,,58.0,170.0,4.0,3.0,14.0,1.0,76.0,76.0,22.0,17.0,4.0,,4.0,9.0,1.0,10.0,41.0,134.0,19.0,174.0,152.0,,,810.0,,3.0,5.0,,2.0,59.0,251.0,193.0,,58.0,333.0,,29.0,57.0,44.0,14.0,1.0,1.0,0.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::a86a1a3737bc4895b1340dc348ae5b09,S. Melvin,Pacific,Goalkeeper,2025,goalkeeper,19,1710,0,0,0,0,0,0,1,0,6,0,1,0,0,67.0,44,2.32,0,0,0,0,0,0,0,0,100.0,84.21,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,8.0,19.0,42.0,18.0,1.0,,,,19.0,3.0,16.0,294.0,203.0,45.0,19.0,,145.0,3.0,41.0,3.0,11.0,3.0,8.0,,10.0,,1.0,138.0,305.0,5.0,5.0,9.0,3.0,160.0,91.0,61.0,45.0,16.0,,9.0,19.0,1.0,27.0,76.0,215.0,43.0,305.0,272.0,,,1710.0,,,16.0,,6.0,178.0,523.0,348.0,1.0,175.0,735.0,,89.0,170.0,131.0,44.0,5.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d65b644d608b40dbb79ba6a0fb08d7f1,A. Rushenas,Wanderers,Goalkeeper,2025,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,2,0,0,78.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,,2.0,1.0,,,,,,,8.0,16.0,3.0,1.0,,12.0,,,,,,,,10.0,,,3.0,4.0,,,,,7.0,7.0,3.0,1.0,2.0,,2.0,1.0,,1.0,1.0,3.0,1.0,13.0,13.0,,,90.0,,1.0,1.0,,,4.0,18.0,14.0,,4.0,31.0,,1.0,4.0,3.0,1.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
