playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,SavesMade,TimePlayed,GkSuccessfulDistribution,PenaltiesConceded,SuccessfulLaunches,OpenPlayPasses,CornersWon,BackwardPasses,SuccessfulPassesOppositionHalf,UnsuccessfulLaunches,YellowCards,UnsuccessfulLongPasses,TotalLossesOfPossession,SuccessfulPassesOwnHalf,UnsuccessfulShortPasses,PenaltyGoalsConceded,Punches,TotalPasses,TotalFoulsConceded,SuccessfulShortPasses,GoalsConcededInsideBox,TotalUnsuccessfulPasses(ExclCrosses&Corners),RightsidePasses,KeyPasses(attemptAssists),UnsuccessfulPassesOppositionHalf,PenaltiesSaved,GoalkeeperSmother,Recoveries,Starts,Drops,UnsuccessfulPassesOwnHalf,Touches,Appearances,FoulAttemptedTackle,Catches,GroundDuels,ForwardPasses,TotalTouchesInOppositionBox,Index,DuelsWon,SuccessfulLongPasses,TotalFoulsWon,SavesMadeFromOutsideBox,SavesMade-Parried,AerialDuelsWon,Duels,TotalClearances,SavesMadeFromInsideBox,PenaltiesFaced,GamesPlayed,SavesFromPenalty,SavesMade-Caught,GkUnsuccessfulDistribution,GroundDuelsLost,LeftsidePasses,SuccessfulOpenPlayPasses,TotalSuccessfulPasses(ExclCrosses&Corners),AerialDuels,CleanSheets,DuelsLost,GroundDuelsWon,GoalsConcededOutsideBox,SubstituteOff,TotalRedCards,StraightRedCards,CrossesNotClaimed,OwnGoalScored,SuccessfulDribbles,TotalTackles,Putthrough/blockedDistribution,HandballsConceded,LastManTackle,TacklesWon,Interceptions,Putthrough/blockedDistributionWon,AerialDuelsLost,TacklesLost,ThrowInsToOwnPlayer,SubstituteOn,ShotsOffTarget(incWoodwork),TotalShots,BlockedShots,Blocks,ClearancesOffTheLine,UnsuccessfulCrossesOpenPlay,SuccessfulCrosses&Corners,ThrowInsToOppositionPlayer,SuccessfulCrossesOpenPlay,UnsuccessfulDribbles,UnsuccessfulCrosses&Corners,ThroughBalls,SuccessfulLay-offs,CornersTaken(inclShortCorners),RedCards-2ndYellow,UnsuccessfulCornersIntoBox,Assists(intentional),GoalAssists,Offsides,SuccessfulCornersIntoBox,ShotsOnTarget(IncGoals),AttemptsFromSetPieces,Goals,RightFootGoals,GoalsFromInsideBox,UnsuccessfulLay-offs,HeadedGoals,GoalsFromOutsideBox,LeftFootGoals,FoulWonPenalty,SecondGoalAssists,SetPiecesGoals,PenaltiesTaken,PenaltyGoals,OtherGoals,PenaltiesOffTarget,WinningGoal,HomeGoals,AwayGoals,TimesTackled,GoalKicks,Overruns,LastPlayerTackle,Carries,ProgressiveCarries,TotalBigChancesCreated,TotalBigChancesSaved,FinalThirdTouches,TotalBigChancesScored,TotalBigChancesMissed,GoalsOpenplay
cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,Cavalry,Goalkeeper,2019,goalkeeper,25,2250,0,0,0,0,0,0,0,1,6,0,1,0,100,66.0,17,0.68,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0,2250.0,238.0,1.0,49.0,386.0,1.0,1.0,59.0,115.0,1.0,236.0,246.0,395.0,7.0,1.0,13.0,697.0,1.0,310.0,17.0,243.0,135.0,1.0,191.0,1.0,2.0,214.0,25.0,1.0,52.0,932.0,25.0,1.0,13.0,6.0,418.0,1.0,10.0,11.0,144.0,6.0,32.0,19.0,7.0,13.0,21.0,33.0,2.0,25.0,1.0,1.0,65.0,2.0,143.0,295.0,454.0,7.0,9.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::73977448c290436b91cca653ba3a2c13,J. Williams,Wanderers,Goalkeeper,2019,goalkeeper,12,1028,0,0,0,0,0,0,0,1,2,0,1,1,100,68.0,19,1.66,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,1028.0,113.0,,21.0,143.0,,,31.0,48.0,1.0,85.0,92.0,149.0,2.0,1.0,5.0,267.0,1.0,129.0,15.0,87.0,52.0,,60.0,,1.0,119.0,12.0,,27.0,397.0,12.0,1.0,6.0,4.0,151.0,,10.0,5.0,51.0,2.0,14.0,11.0,4.0,8.0,10.0,27.0,1.0,12.0,,1.0,24.0,3.0,64.0,104.0,180.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d7a3107cbc0c426399a5c65c18e39d14,N. Giantsopoulos,Vancouver FC,Goalkeeper,2019,goalkeeper,5,450,0,0,0,0,0,0,0,0,4,0,0,0,100,74.0,4,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,450.0,57.0,,6.0,67.0,,,8.0,12.0,,30.0,32.0,77.0,1.0,1.0,,116.0,,67.0,1.0,31.0,16.0,1.0,18.0,,,48.0,5.0,,13.0,178.0,5.0,,1.0,2.0,57.0,,10.0,4.0,18.0,4.0,11.0,4.0,2.0,4.0,2.0,9.0,1.0,5.0,,,10.0,,43.0,54.0,85.0,2.0,3.0,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7c054612559b45f2a7ef690616b61862,T. Henry,Forge,Goalkeeper,2019,goalkeeper,22,1980,0,0,0,0,0,0,0,1,8,0,3,0,100,71.0,17,0.77,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,1980.0,219.0,,21.0,349.0,,,53.0,82.0,3.0,178.0,184.0,382.0,3.0,2.0,9.0,616.0,1.0,338.0,14.0,181.0,130.0,,141.0,1.0,1.0,185.0,22.0,2.0,40.0,825.0,22.0,,14.0,7.0,331.0,,10.0,15.0,97.0,8.0,26.0,19.0,10.0,17.0,22.0,28.0,3.0,22.0,1.0,1.0,59.0,2.0,155.0,273.0,435.0,10.0,9.0,2.0,5.0,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::16b384ec036b4bccb9be3e98bf2b8088,M. Village,Pacific,Goalkeeper,2019,goalkeeper,16,1440,0,0,0,0,0,0,1,1,4,0,1,0,100,67.0,22,1.38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,1440.0,176.0,,31.0,291.0,2.0,,60.0,79.0,1.0,170.0,178.0,280.0,2.0,2.0,2.0,512.0,1.0,240.0,18.0,172.0,93.0,,138.0,,1.0,146.0,16.0,,34.0,679.0,16.0,,12.0,5.0,292.0,,10.0,7.0,100.0,4.0,23.0,13.0,3.0,8.0,5.0,24.0,2.0,16.0,,1.0,57.0,1.0,127.0,214.0,340.0,3.0,4.0,1.0,4.0,4.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7517829ba9bc4c5f89f19a60bcaa4cc8,D. Powley,Edmonton,Goalkeeper,2019,goalkeeper,6,540,0,0,0,0,0,0,0,0,1,0,0,0,100,62.0,9,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,540.0,59.0,,22.0,127.0,,,35.0,43.0,,82.0,85.0,99.0,1.0,2.0,,217.0,,80.0,8.0,83.0,38.0,1.0,61.0,,1.0,49.0,6.0,1.0,22.0,271.0,6.0,,2.0,1.0,148.0,,10.0,3.0,54.0,1.0,5.0,4.0,2.0,3.0,2.0,15.0,2.0,6.0,,1.0,22.0,,31.0,86.0,134.0,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::c838c44902a6469485723a328e0d5531,M. Silva,York,Goalkeeper,2019,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,1,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90.0,10.0,,1.0,21.0,,,2.0,2.0,,7.0,7.0,24.0,,,,33.0,,22.0,1.0,7.0,4.0,,6.0,,,2.0,1.0,,1.0,34.0,1.0,,,,18.0,,10.0,,4.0,,,,,,,,,1.0,,,2.0,,11.0,17.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7767100bdddf4f7caae2877d0d835da6,C. Vance,York,Goalkeeper,2019,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,100,73.0,2,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,90.0,13.0,,3.0,15.0,,,4.0,2.0,,6.0,7.0,12.0,,,,22.0,,10.0,1.0,6.0,2.0,1.0,5.0,,1.0,13.0,1.0,,1.0,42.0,1.0,,3.0,,15.0,,10.0,1.0,6.0,,1.0,3.0,1.0,1.0,1.0,3.0,,1.0,,,2.0,,5.0,12.0,16.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::1eb98b2bea804d4d8d782dc585fc4124,T. Farago,Valour,Goalkeeper,2019,goalkeeper,16,1440,0,0,0,0,0,0,0,0,3,0,0,0,80,57.0,30,1.88,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,1440.0,158.0,,24.0,227.0,,,58.0,75.0,,207.0,213.0,215.0,3.0,3.0,1.0,483.0,,177.0,26.0,210.0,70.0,3.0,179.0,,2.0,164.0,16.0,1.0,31.0,644.0,16.0,,14.0,5.0,328.0,,10.0,6.0,96.0,3.0,16.0,10.0,4.0,10.0,7.0,30.0,3.0,16.0,,3.0,85.0,3.0,85.0,156.0,273.0,5.0,2.0,4.0,2.0,4.0,,,,1.0,,,2.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::0665c6ea0ce84bd49b9ebba2cf80c8e2,N. Wirth,Pacific,Goalkeeper,2019,goalkeeper,12,1080,0,0,0,0,0,0,0,0,0,0,0,0,100,65.0,24,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,1080.0,146.0,,23.0,235.0,1.0,,31.0,73.0,,147.0,150.0,233.0,,3.0,4.0,411.0,,180.0,22.0,147.0,85.0,,104.0,,,116.0,12.0,1.0,43.0,568.0,12.0,,6.0,,219.0,,10.0,1.0,84.0,,27.0,18.0,1.0,1.0,15.0,32.0,3.0,12.0,,4.0,38.0,,107.0,165.0,264.0,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
